CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,5,NOGALES,30,NOGALES,178,2,2,75,11,4,,,47,,,,10,2,1,1,0,,249,45,,,,,,445,0,16,461,1193
1,26,SONORA,5,NOGALES,30,NOGALES,179,2,2,52,28,4,,,42,,,,8,1,2,0,0,,281,75,,,,,,493,0,11,504,1332
1,26,SONORA,5,NOGALES,30,NOGALES,180,4,4,77,30,8,,,47,,,,17,8,2,1,0,,438,152,,,,,,780,1,31,812,2380
1,26,SONORA,5,NOGALES,30,NOGALES,181,2,2,39,11,4,,,28,,,,4,0,0,0,0,,176,21,,,,,,283,0,7,290,810
1,26,SONORA,5,NOGALES,30,NOGALES,182,2,2,51,18,1,,,49,,,,6,1,4,2,0,,222,72,,,,,,426,0,14,440,1170
1,26,SONORA,5,NOGALES,30,NOGALES,183,2,2,78,33,4,,,59,,,,9,6,1,0,0,,155,27,,,,,,372,3,13,388,938
1,26,SONORA,5,NOGALES,30,NOGALES,184,2,2,74,39,5,,,87,,,,12,11,3,2,0,,249,69,,,,,,551,1,13,565,1312
1,26,SONORA,5,NOGALES,30,NOGALES,185,3,3,183,84,8,,,143,,,,30,16,5,0,0,,405,116,,,,,,990,1,16,1007,2209
1,26,SONORA,5,NOGALES,30,NOGALES,186,2,2,31,25,3,,,35,,,,5,3,0,0,0,,152,43,,,,,,297,1,4,302,830
1,26,SONORA,5,NOGALES,30,NOGALES,187,4,4,136,56,16,,,124,,,,43,9,3,0,1,,584,214,,,,,,1186,0,23,1209,2504
1,26,SONORA,5,NOGALES,30,NOGALES,188,2,2,86,43,1,,,64,,,,11,10,2,0,0,,276,75,,,,,,568,1,19,588,1462
1,26,SONORA,5,NOGALES,30,NOGALES,189,2,2,48,29,7,,,48,,,,4,0,0,0,0,,189,40,,,,,,365,0,4,369,1012
