ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,71,BENITO JUAREZ,12,27,28,33,1249,27,522,56,577,2808,,2586,1571,,,,,,,9429,0,454,9883,16548,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BENITO%20JUAREZ.pdf
26,SONORA,14,BENJAMIN HILL,4,8,8,733,213,,165,120,60,271,97,97,503,,,,,,,2259,0,65,2324,3761,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BENJAMIN%20HILL.pdf
26,SONORA,46,CABORCA,36,110,111,3341,3600,596,4581,3331,878,7496,2706,2706,480,,,,,,,29715,4,818,30537,67684,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CABORCA.pdf
26,SONORA,59,CAJEME,237,577,580,15478,23634,3585,22465,16338,14584,36760,13274,13274,3953,,,,,,,163345,69,3755,167169,330895,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CAJEME.pdf
26,SONORA,15,CANANEA,19,53,54,2335,1464,235,1299,945,3286,2126,767,767,464,,,,,,,13688,17,381,14086,31011,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CANANEA.pdf
26,SONORA,47,CARBO,2,6,6,14,35,735,296,216,146,485,174,174,19,,,,,,,2294,0,74,2368,3911,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CARBO.pdf
26,SONORA,16,CUCURPE,1,2,2,,,337,108,77,,176,63,63,,,,,,,,824,0,0,824,1009,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CUCURPE.pdf
26,SONORA,17,CUMPAS,8,12,12,374,764,142,1237,,920,,,,53,,,,,,,3490,1,75,3566,5686,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_CUMPAS.pdf
26,SONORA,18,DIVISADEROS,1,2,2,0,1,0,136,99,471,222,79,79,0,,,,,,,1087,0,7,1094,1332,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_DIVISADEROS.pdf
26,SONORA,60,EMPALME,30,72,72,866,438,2008,2297,1671,3758,3758,1356,1356,837,,,,,,,18345,38,606,18989,41658,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_EMPALME.pdf
26,SONORA,63,ETCHOJOA,40,83,84,229,954,177,2768,2013,6254,4530,1635,1635,2461,,2199,,,,,24855,32,863,25750,46371,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ETCHOJOA.pdf
26,SONORA,19,FRONTERAS,5,13,13,460,342,43,346,252,1890,566,204,204,,,,,,,,4307,2,99,4408,6884,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_FRONTERAS.pdf
26,SONORA,70,GENERAL PLUTARCO ELIAS CALLES,8,19,19,305,523,42,450,327,859,736,265,265,2068,,,,,,,5840,0,144,5984,10737,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_GENERAL%20PLUTARCO%20ELIAS%20CALLES.pdf
