CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_RSP_PANALT,MORENA_PANALT,MORENA_RSP,RSP_PANALT,CAND_IND01,CAND_IND02,CAND_IND03,CAND_IND04,CAND_IND05,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,URNA_ELECTRONICA,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,561,C,3,0,C03,6,105,89,8,118,36,13,77,5,16,2,6,0,0,0,0,0,0,0,0,0,0,481,12,493,0,677,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,562,B,1,0,B,6,97,44,7,96,36,4,93,15,25,2,2,0,0,0,0,0,0,0,0,0,0,427,15,442,0,613,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,562,C,1,0,C01,8,94,52,0,71,35,11,92,15,20,5,3,0,0,0,0,0,0,0,0,0,0,406,11,417,0,613,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,562,C,2,0,C02,5,100,60,13,105,33,9,84,15,15,3,4,0,0,0,0,0,0,0,0,0,0,446,13,459,0,613,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,562,C,3,0,C03,11,94,46,5,97,37,7,78,13,0,4,4,0,0,0,0,0,0,0,0,0,0,396,14,410,0,613,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,563,B,1,0,B,11,62,31,3,70,123,10,61,17,19,2,1,0,0,0,0,0,0,0,0,0,0,410,12,422,0,578,ACTA CASILLA,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,563,C,1,0,C01,11,80,50,2,46,108,15,62,11,10,7,4,0,0,0,0,0,0,0,0,0,0,406,21,427,0,578,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,563,C,2,0,C02,14,82,17,6,70,107,6,64,6,17,2,4,0,0,0,0,0,0,0,0,0,0,395,18,413,0,578,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,563,C,3,0,C03,13,104,23,7,54,128,4,50,9,11,2,3,0,0,0,0,0,0,0,0,0,0,408,19,427,0,577,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,564,B,1,0,B,17,93,19,21,72,90,7,117,19,8,4,0,0,0,0,0,0,0,0,0,0,0,467,28,495,0,736,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,564,C,1,0,C01,13,109,26,23,60,84,6,118,27,8,4,4,0,0,0,0,0,0,0,0,0,0,482,17,499,0,736,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,564,C,2,0,C02,25,94,33,10,56,93,5,145,14,17,0,0,0,0,0,0,0,0,0,0,0,0,492,14,506,0,736,ACTA CASILLA,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,565,B,1,0,B,10,50,10,12,45,61,1,130,10,8,4,4,0,0,0,0,0,0,0,0,0,0,345,15,360,0,576,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,565,C,1,0,C01,15,58,10,17,30,80,4,122,5,10,4,2,0,0,0,0,0,0,0,0,0,0,357,18,375,0,576,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,565,C,2,0,C02,13,58,18,12,45,72,2,124,7,10,1,0,0,0,0,0,0,0,0,0,0,3,362,22,387,0,575,ACTA CASILLA,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,566,B,1,0,B,5,104,21,3,51,24,6,106,10,33,2,2,0,0,0,0,0,0,0,0,0,0,367,29,396,0,510,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,566,C,1,0,C01,2,90,18,13,53,36,1,103,4,31,1,3,0,0,0,0,0,0,0,0,0,0,355,30,385,0,509,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,41,PAPALOTLA DE XICOHTENCATL,566,C,2,0,C02,5,125,67,7,49,29,4,81,7,21,2,0,0,0,0,0,0,0,0,0,0,0,397,26,423,0,509,GRUPO DE RECUENTO,,,
