CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_RSP_PANALT,MORENA_PANALT,MORENA_RSP,RSP_PANALT,CAND_IND01,CAND_IND02,CAND_IND03,CAND_IND04,CAND_IND05,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,3,SANTIAGO TETLA,54,EMILIANO ZAPATA,607,4,4,50,837,0,10,494,230,2,294,2,0,17,47,0,0,0,0,0,0,0,0,0,5,1983,83,2071,2482
4,29,TLAXCALA,3,SANTIAGO TETLA,54,EMILIANO ZAPATA,608,2,2,2,76,0,4,88,430,1,77,1,0,3,2,0,0,0,0,0,0,0,0,0,0,684,12,696,842
4,29,TLAXCALA,3,SANTIAGO TETLA,55,LAZARO CARDENAS,402,1,1,4,0,38,65,72,28,34,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,246,6,252,316
4,29,TLAXCALA,3,SANTIAGO TETLA,55,LAZARO CARDENAS,606,4,4,23,3,375,564,487,147,106,13,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1729,57,1786,2273
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,56,SAN JERONIMO ZACUALPAN,432,2,2,0,0,0,501,0,87,52,561,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,15,1218,1445
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,56,SAN JERONIMO ZACUALPAN,433,3,3,0,0,0,633,0,177,59,642,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,29,1542,1831
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,57,SAN LUCAS TECOPILCO,551,3,3,0,0,0,0,523,0,0,126,161,227,0,0,14,4,16,1,0,0,0,0,0,0,1072,39,1111,1599
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,57,SAN LUCAS TECOPILCO,552,2,2,0,0,0,0,290,0,0,95,121,119,0,0,5,2,13,1,0,0,0,0,0,0,646,24,670,1020
4,29,TLAXCALA,13,ZACATELCO,58,SANTA ANA NOPALUCAN,254,5,5,12,5,415,677,0,5,517,149,553,0,0,0,0,0,0,0,0,0,0,0,0,2,2333,78,2413,3179
4,29,TLAXCALA,13,ZACATELCO,58,SANTA ANA NOPALUCAN,255,5,5,4,4,456,634,0,10,441,130,475,0,0,0,0,0,0,0,0,0,0,0,0,0,2154,95,2249,3158
4,29,TLAXCALA,13,ZACATELCO,59,SAN LORENZO AXOCOMANITLA,586,3,3,3,11,3,527,0,478,83,695,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1810,69,1879,2240
4,29,TLAXCALA,13,ZACATELCO,59,SAN LORENZO AXOCOMANITLA,587,3,3,1,13,2,484,0,529,53,529,8,3,4,2,0,0,0,0,0,0,0,0,0,0,1628,64,1692,2029
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,60,BENITO JUAREZ,295,5,5,5,10,9,1065,0,5,15,693,9,134,0,2,0,0,0,0,0,0,0,0,0,0,1947,75,2022,3029
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,60,BENITO JUAREZ,296,3,3,2,4,5,694,0,4,1,432,1,58,1,0,0,0,0,0,0,0,0,0,0,0,1202,38,1240,1872
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,60,BENITO JUAREZ,645,1,1,1,1,4,181,0,0,3,131,0,19,0,0,0,0,0,0,0,0,0,0,0,0,340,7,347,528
