ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_RSP_PANALT,CAND_IND01,CAND_IND02,CAND_IND03,CAND_IND04,CAND_IND05,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,32,TETLATLAHUCA,7,18,19,29,20,11,3318,0,36,530,3552,42,33,0,0,,,,,,,0,7571,154,7725,10362,
29,TLAXCALA,33,TLAXCALA,40,129,130,6823,5181,1682,1429,1910,9778,5110,18325,660,364,1611,501,,,,,,,43,53374,2146,55563,81284,
29,TLAXCALA,34,TLAXCO,36,66,67,3748,830,0,4003,285,1492,180,11364,,,131,134,,,,,,,17,22167,856,23040,34717,
29,TLAXCALA,35,TOCATLAN,3,8,9,132,397,8,391,,,10,1209,,10,1303,46,,,,,,,1,3506,85,3592,4899,
29,TLAXCALA,36,TOTOLAC,12,31,32,3433,451,184,239,474,1079,1108,4096,613,111,742,146,,,,,,,4,12676,507,13187,18463,
29,TLAXCALA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,7,13,13,41,125,0,913,92,1938,13,1720,47,39,0,,,,,,,,14,4928,244,5186,7136,
29,TLAXCALA,38,TZOMPANTEPEC,8,21,22,158,165,369,819,366,796,2405,1650,186,1690,66,23,,,,,,,4,8693,408,9105,13042,
29,TLAXCALA,39,XALOZTOC,9,30,31,3132,341,296,2390,0,1388,63,3062,2352,0,159,,,,,,,,6,13183,376,13565,18974,
29,TLAXCALA,40,XALTOCAN,9,17,17,192,641,514,565,1815,25,448,730,8,26,1226,,,,,,,,2,6190,279,6471,9072,
29,TLAXCALA,41,PAPALOTLA DE XICOHTENCATL,12,40,40,,,1985,343,2933,2037,274,3682,514,795,119,4155,,,,,,,5,16837,743,17585,24791,
29,TLAXCALA,42,XICOHTZINCO,5,18,19,148,211,125,1384,363,553,238,1388,1401,0,16,14,,,,,1556,1034,3,8431,236,8670,11966,
29,TLAXCALA,43,YAUHQUEMEHCAN,14,45,46,2748,526,1441,1922,0,2084,3496,4132,469,254,0,167,,,,,,,4,17239,656,17899,28219,
29,TLAXCALA,44,ZACATELCO,14,58,58,1816,1357,59,4116,713,726,7714,3746,3073,606,1777,238,,,,,,,6,25941,1464,27411,36982,
29,TLAXCALA,45,SANTA APOLONIA TEACALCO,2,6,6,0,4,1215,582,301,2,81,528,7,0,493,,,,,,,,0,3213,99,3312,3958,
29,TLAXCALA,46,SANTA CRUZ QUILEHTLA,3,9,9,0,0,158,1426,0,4,0,669,818,0,1128,,,,,,,,1,4203,151,4355,5712,
29,TLAXCALA,47,SAN JUAN HUACTZINCO,2,9,9,8,10,103,314,11,1512,47,981,1330,155,134,0,,,,,,,4,4605,145,4754,5894,
29,TLAXCALA,48,SANTA CATARINA AYOMETLA,4,11,11,230,,1993,629,110,698,154,458,1736,12,16,,,,,,,,1,6036,209,6246,7699,
29,TLAXCALA,49,SANTA ISABEL XILOXOXTLA,2,6,7,,,458,69,,444,468,312,,493,241,496,,,,,,,0,2981,149,3130,3723,
29,TLAXCALA,50,SAN JOSE TEACALCO,5,8,8,55,330,262,677,603,82,176,864,222,114,42,29,,,,,,,0,3456,94,3550,4769,
29,TLAXCALA,51,SAN FRANCISCO TETLANOHCAN,3,13,13,61,289,469,876,1281,552,778,735,368,210,867,8,,,,,,,3,6494,297,6794,9009,
29,TLAXCALA,52,LA MAGDALENA TLALTELULCO,5,22,22,2232,230,120,190,2222,1724,28,893,948,57,2799,,,,,,,,0,11443,418,11861,15171,
29,TLAXCALA,53,SAN DAMIAN TEXOLOC,2,8,8,84,221,41,818,,10,918,1466,12,8,,11,,,,,,,1,3589,57,3647,4901,
29,TLAXCALA,54,EMILIANO ZAPATA,4,8,8,,,0,14,656,705,5,421,3,0,23,1092,,,,,,,5,2919,104,3028,3624,
29,TLAXCALA,55,LAZARO CARDENAS,2,5,5,27,3,413,629,559,175,140,13,14,0,0,2,,,,,,,0,1975,63,2038,2589,
29,TLAXCALA,56,SAN JERONIMO ZACUALPAN,2,5,5,,,,1134,,264,111,1203,4,,,,,,,,,,0,2716,44,2760,3276,
29,TLAXCALA,57,SAN LUCAS TECOPILCO,2,5,5,,,,,813,,,,,,,,905,,,,,,0,1718,63,1781,2619,
29,TLAXCALA,58,SANTA ANA NOPALUCAN,2,10,10,16,9,871,1311,0,15,958,279,1028,0,0,,,,,,,,2,4487,173,4662,6337,
29,TLAXCALA,59,SAN LORENZO AXOCOMANITLA,2,6,7,4,24,5,1011,,1007,136,1224,10,5,7,5,,,,,,,0,3438,132,3570,4270,
29,TLAXCALA,60,BENITO JUAREZ,3,9,9,8,15,18,1940,0,9,19,1256,10,211,1,2,,,,,,,0,3489,120,3609,5429,
