CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,CASILLAS,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,128,SECCION SEPTIMA,271,3,3,0,0,52,206,268,93,142,257,148,16,8,0,0,0,0,88,1190,83,1361,1910
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,128,SECCION SEPTIMA,283,3,3,0,0,31,223,350,66,59,230,138,24,9,0,0,0,0,40,1130,61,1231,1687
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,129,SECCION SEGUNDA,272,5,5,0,469,194,505,0,0,89,500,573,24,48,0,0,0,0,5,2402,101,2508,3462
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,130,SECCION 9A COLHUACA,274,2,2,0,0,299,38,0,442,0,146,0,76,0,0,0,0,0,1,1001,40,1042,1355
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,131,SECCION 3A SAN MIGUEL XALTIPAN,275,3,3,0,0,269,233,191,139,60,251,144,30,60,0,0,0,0,0,1377,66,1443,1977
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,131,SECCION 3A SAN MIGUEL XALTIPAN,276,3,3,0,0,358,261,179,162,57,190,177,41,94,0,0,0,0,2,1519,56,1577,2174
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,132,SECCION 8A STA. MARIA AQUIAHUAC,277,1,1,0,130,0,92,0,13,24,127,0,31,0,0,0,0,0,0,417,17,434,538
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,19,TEPETITLA DE LARDIZABAL,133,VILLALTA,289,3,3,0,0,0,353,87,19,45,172,0,132,418,0,0,0,0,28,1226,53,1307,1786
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,19,TEPETITLA DE LARDIZABAL,133,VILLALTA,632,3,3,0,0,0,150,148,66,9,240,0,61,172,0,0,0,0,19,846,26,891,1601
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,19,TEPETITLA DE LARDIZABAL,133,VILLALTA,633,3,3,0,0,0,492,205,17,36,136,0,170,425,0,0,0,0,8,1481,34,1523,2121
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,19,TEPETITLA DE LARDIZABAL,134,SAN MATEO AYECAC,290,5,5,0,0,0,853,340,596,82,397,0,0,0,0,0,0,0,0,2268,89,2357,3158
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,19,TEPETITLA DE LARDIZABAL,134,SAN MATEO AYECAC,291,1,1,0,0,0,58,15,25,8,32,0,0,0,0,0,0,0,0,138,113,251,368
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,19,TEPETITLA DE LARDIZABAL,135,GUADALUPE VICTORIA,291,1,1,0,0,0,60,0,0,3,46,105,0,53,0,0,0,0,5,267,6,278,342
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,20,SANCTORUM DE LAZARO CARDENAS,136,LA PROVIDENCIA,293,1,1,0,73,0,1,5,0,0,17,30,0,0,0,0,0,0,0,126,3,129,155
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,137,FRANCISCO VILLA,297,3,3,181,0,0,4,116,0,163,333,130,0,133,0,0,0,0,0,1060,33,1093,1587
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,137,FRANCISCO VILLA,298,2,2,72,0,0,12,102,0,87,230,121,0,89,0,0,0,0,1,713,19,733,1054
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,138,FRANCISCO I MADERO,304,2,2,11,120,0,29,195,0,0,273,137,0,0,0,0,0,0,0,765,21,786,1112
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,139,TEPUENTE,306,1,1,0,0,18,85,5,0,0,57,0,0,0,0,0,0,0,0,165,4,169,208
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,140,SAN FELIPE HIDALGO,308,2,2,449,6,0,448,0,0,0,82,0,0,0,0,0,0,0,4,985,33,1022,1400
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,141,SECCION 1A ACUAMANALA,309,2,2,253,0,93,0,0,186,72,204,351,0,0,0,0,0,0,1,1159,55,1215,1477
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,142,SECCION 3A CHIMALPA,310,3,3,0,0,851,116,0,56,110,222,37,0,0,0,0,0,0,3,1392,55,1450,1716
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,143,SECCION 2A GUADALUPE HIDALGO,311,2,2,0,0,231,204,0,0,276,268,35,0,0,0,0,0,0,2,1014,90,1106,1333
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,144,SECCION 4A OLEXTLA DE JUAREZ,312,2,2,14,0,103,0,0,138,31,153,74,0,0,0,0,0,0,169,513,23,705,821
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,145,SAN JOSE ATOYATENCO,325,3,3,0,127,0,340,0,300,120,75,22,0,1,0,0,0,0,44,985,52,1081,1520
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,146,SAN RAFAEL TENANYECAC,326,4,4,0,56,0,195,0,79,330,150,0,0,8,0,0,0,0,940,818,102,1860,2490
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,147,SAN MIGUEL XOCHITECATITLA,327,3,3,0,0,0,686,0,0,0,0,52,0,75,0,0,0,0,391,813,73,1277,1857
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,148,SANTIAGO MICHAC,329,3,3,0,0,0,28,0,37,17,567,85,0,497,0,0,0,0,0,1231,34,1265,1738
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,148,SANTIAGO MICHAC,330,2,2,0,0,0,15,0,33,15,472,52,0,382,0,0,0,0,0,969,27,996,1359
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,149,SAN MIGUEL ANALCO,331,2,2,0,0,0,82,0,246,53,0,259,0,275,0,0,0,0,0,915,55,970,1462
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,150,COLONIA EMILIANO ZAPATA,335,1,1,6,0,13,0,1,7,9,14,4,14,0,0,0,0,0,0,68,3,71,90
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,150,COLONIA EMILIANO ZAPATA,336,5,5,52,32,71,0,23,199,185,197,53,149,0,0,0,0,0,1,961,41,1003,1415
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,151,SAN TADEO HUILOAPAN,338,4,4,10,24,51,29,755,0,340,315,74,0,0,0,0,0,0,1,1598,114,1713,2669
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,152,SANTA CATARINA APATLAHCO,341,1,1,0,0,0,1,79,0,0,55,0,0,4,0,0,0,0,0,139,4,143,172
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,153,SAN FRANCISCO TEMEZONTLA,342,3,3,0,156,211,16,55,0,200,517,1,21,222,0,0,0,0,3,1399,68,1470,2023
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,154,SAN AMBROSIO TEXANTLA,343,2,2,0,1,0,204,199,3,34,19,0,8,149,0,0,0,0,1,617,16,634,774
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,155,JESUS ACATITLA,344,2,2,0,179,89,0,60,0,3,275,0,6,0,0,0,0,0,2,612,17,631,817
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,156,SANTA CRUZ TECHACHALCO,345,3,3,0,283,190,29,282,0,10,285,47,20,89,0,0,0,0,13,1235,51,1299,1806
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,157,SAN JORGE TEZOQUIPAN,346,3,3,0,311,208,112,92,0,56,163,25,92,0,0,0,0,0,156,1059,60,1275,1760
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,157,SAN JORGE TEZOQUIPAN,347,3,3,0,282,303,212,142,0,57,155,21,72,0,0,0,0,0,131,1244,59,1434,2092
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,158,BARRIO DE SAN COSME,348,6,6,320,418,114,231,362,295,179,380,197,224,151,0,0,0,0,0,2871,77,2948,3933
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,159,BARRIO DE SANTIAGO,349,6,6,45,428,5,132,460,561,153,308,414,449,28,0,0,0,0,2,2983,131,3116,4155
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,160,BARRIO DE CRISTO,637,1,1,82,56,2,34,42,16,2,58,9,30,44,0,0,0,0,0,375,20,395,626
