ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,8,SAN BERNARDINO CONTLA,1,AMAXAC DE GUERRERO,1,SAN DAMIAN TLACOCALPAN,1,1,,15,42,,120,,17,284,,141,6,,,,,0,625,16,641,758,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,2,TLATEMPA,1,4,594,,,19,547,194,238,269,,,241,,,,,0,2102,63,2165,2780,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,3,SAN MATIAS TEPETOMATITLAN,1,4,496,,48,25,111,291,538,406,,,,,,,,1,1915,84,2000,2781,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,4,BELEN ATZITZIMITITLAN,1,4,750,,,117,286,69,823,241,,,47,,,,,3,2333,63,2399,3022,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,2,APETATITLAN DE ANTONIO CARVAJAL,5,BARRIO DE TECOLOTLA,1,2,244,148,,,14,86,110,129,,3,,,,,,0,734,23,757,950,
29,TLAXCALA,4,APIZACO,3,APIZACO,6,COLONIA CERRITO DE GUADALUPE,1,4,349,261,200,30,80,32,86,213,,4,221,223,,,,0,1699,67,1766,2451,
29,TLAXCALA,4,APIZACO,3,APIZACO,7,SAN LUIS APIZAQUITO,1,7,1494,,471,57,49,62,464,659,,8,,,139,,,5,3403,103,3511,5196,
29,TLAXCALA,2,TLAXCO DE MORELOS,3,APIZACO,8,COLONIA JOSE MARIA MORELOS,1,2,8,6,275,77,,22,12,131,212,4,,,,,,0,747,35,782,1114,
29,TLAXCALA,4,APIZACO,3,APIZACO,9,GUADALUPE TEXCALAC,1,2,18,88,2,327,,100,201,153,,,,,,,,0,889,41,930,1275,
29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,3,10,1189,145,825,126,,61,270,1241,,24,,,,316,,9,4197,147,4353,6318,
29,TLAXCALA,4,APIZACO,3,APIZACO,11,SANTA ANITA HUILOAC,4,10,533,246,31,557,123,911,319,1223,,164,,,,,827,1,4934,200,5135,7738,
29,TLAXCALA,4,APIZACO,3,APIZACO,12,COLONIA SAN ISIDRO APIZAQUITO,1,3,510,306,6,102,63,,93,288,,10,,,,,,0,1378,56,1434,2070,
29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,13,SANTA CLARA OZUMBA,1,1,,133,,,,120,,45,6,,3,,,,,0,307,6,313,388,
29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,14,SANTIAGO VILLALTA,1,1,,78,,3,,111,,34,,,55,,,,,0,281,0,281,373,
29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,15,COLONIA AGRICOLA SAN LUIS,1,1,1,,,,,65,,,39,,,,,,,0,105,1,106,120,
29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,16,ZUMPANGO,1,1,,192,,,188,172,,65,45,,187,,,,,1,849,29,879,1203,
29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,17,BENITO JUAREZ TEZOYO,1,1,,88,,,,91,,156,,,12,,,,,0,347,5,352,462,
29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,18,COLONIA LA TRASQUILA,1,1,8,35,,30,,33,,34,40,,88,,,,,0,268,10,278,385,
29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,19,SAN PEDRO ECACTEPEC,1,2,,170,,43,,284,,220,177,,73,,,,,0,967,41,1008,1318,
29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,20,COLONIA VILLA DE LAS FLORES,1,1,76,2,,,,64,,36,,,53,,,,,0,231,12,243,337,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,21,BARRIO DE GUADALUPE,1,2,188,139,,27,21,12,34,73,15,83,29,,,,,0,621,18,639,600,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,22,BARRIO DE LA CONCEPCION,1,2,107,130,,,,14,,80,7,,,,,,,6,338,12,356,462,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,23,BARRIO DE SANTIAGO,1,2,212,89,,3,84,65,9,105,17,9,,,,,,0,593,24,617,793,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,24,LA GARITA,1,1,1,87,,7,,24,21,45,71,,,,,,,0,256,17,273,354,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,25,SAN JOSE BUENAVISTA,1,2,6,67,,,,13,,70,,,,,,,,0,156,4,160,200,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,26,LAZARO CARDENAS,1,1,4,130,,2,,27,2,111,21,,4,,,,,0,301,10,311,366,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,27,SAN ANTONIO TECOPILCO,1,1,5,106,,4,11,5,13,143,,,17,,,,,0,304,19,323,385,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,28,SAN JUAN OCOTITLA,1,1,58,,,,,92,,42,,,,,,,,0,192,6,198,233,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,29,SAN JOSE PILANCON,1,1,,13,,66,,3,41,90,,,,,,,,0,213,8,221,247,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,30,XALTITLA,3,4,41,61,,13,125,27,34,108,19,,,,,,,0,428,23,451,629,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,31,MESA REDONDA,1,1,2,5,,,,15,106,93,,,,,,,,0,221,5,226,261,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,32,CONCEPCION HIDALGO,1,3,857,203,,118,70,125,,224,,,46,,,,,0,1643,59,1702,2254,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,33,FELIPE CARRILLO PUERTO,1,2,4,,,11,9,495,,143,49,1,,,,,,0,712,20,732,937,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,34,NEXNOPALA,1,1,20,79,,111,62,113,,65,,,,,,,,0,450,13,463,567,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,35,RANCHERIA POCITOS,1,2,78,167,,12,271,123,7,115,,,,,,,,0,773,42,815,1070,
29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,36,SANTA MARIA LAS CUEVAS,1,1,8,22,,16,8,183,4,162,179,,,,,,,0,582,30,612,742,
