CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,5,BARRIO DE TECOLOTLA,11,C,1,0,C01,0,115,84,0,0,6,41,64,62,0,0,0,0,0,0,0,0,372,9,381,475,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,6,COLONIA CERRITO DE GUADALUPE,13,B,1,0,B,0,105,65,65,7,24,5,22,47,0,2,50,55,0,0,0,0,447,15,462,613,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,6,COLONIA CERRITO DE GUADALUPE,13,C,1,0,C01,0,77,61,56,6,24,6,21,55,0,2,54,42,0,0,0,0,404,14,418,613,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,6,COLONIA CERRITO DE GUADALUPE,13,C,2,0,C02,0,82,66,42,4,19,5,25,45,0,0,56,69,0,0,0,0,413,15,428,613,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,6,COLONIA CERRITO DE GUADALUPE,13,C,3,0,C03,0,85,69,37,13,13,16,18,66,0,0,61,57,0,0,0,0,435,23,458,612,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,7,SAN LUIS APIZAQUITO,14,B,1,0,B,0,227,0,63,3,4,8,64,93,0,2,0,0,19,0,0,3,483,14,500,742,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,7,SAN LUIS APIZAQUITO,14,C,1,0,C01,0,193,0,77,9,12,12,66,88,0,1,0,0,15,0,0,0,473,10,483,742,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,7,SAN LUIS APIZAQUITO,14,C,2,0,C02,0,220,0,70,11,11,7,61,89,0,0,0,0,19,0,0,0,488,17,505,742,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,7,SAN LUIS APIZAQUITO,14,C,3,0,C03,0,212,0,66,12,3,12,59,100,0,2,0,0,23,0,0,0,489,10,499,742,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,7,SAN LUIS APIZAQUITO,14,C,4,0,C04,0,216,0,77,6,4,9,69,94,0,2,0,0,17,0,0,2,494,10,506,742,GRUPO DE RECUENTO,,,
