CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,CAND_IND1,CAND_IND2,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,37,2,2,11,52,6,13,11,311,124,6,5,3,1,,,0,7,4,1,2,557,0,14,571,974
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,0,0,1,0,1,0,0,0,1,4,0,0,0,0,,,0,0,0,0,0,6,0,0,6,9
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,123,2,2,14,77,4,31,18,179,153,6,0,0,3,,,0,6,10,1,4,506,0,19,525,827
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,124,7,7,179,251,10,76,38,1513,663,13,21,17,7,,,3,52,12,14,3,2872,0,60,2932,4781
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,129,3,3,9,210,7,95,25,354,482,1,3,1,2,,,2,30,10,16,1,1248,0,43,1291,1693
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,130,1,1,5,37,0,6,4,187,72,0,0,0,1,,,0,2,0,0,0,314,0,11,325,524
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,131,1,1,5,48,0,8,7,73,79,0,0,0,0,,,0,0,1,1,0,222,0,4,226,279
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,132,1,1,5,37,6,4,2,59,42,1,0,0,0,,,0,2,0,0,1,159,0,3,162,215
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,136,1,1,1,39,0,4,2,62,55,0,1,0,0,,,0,2,1,0,0,167,0,8,175,217
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,139,5,5,30,291,13,162,47,548,490,6,4,2,5,,,2,16,12,17,2,1647,0,77,1724,3120
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,140,2,2,20,78,2,18,10,286,159,4,9,8,1,,,0,5,5,4,1,610,1,17,628,958
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,141,2,2,4,119,0,16,14,290,122,1,3,3,4,,,3,7,5,4,0,595,0,22,617,942
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,142,4,4,158,207,10,73,22,798,468,2,1,4,2,,,3,16,15,10,5,1794,0,98,1892,2918
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,144,1,1,2,26,0,23,2,48,56,1,0,1,0,,,0,2,0,4,0,165,0,6,171,248
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,145,2,2,18,63,2,30,21,110,192,2,0,2,1,,,2,21,5,10,5,484,0,24,508,873
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,146,1,1,16,86,4,18,6,117,128,3,0,1,2,,,1,4,3,3,0,392,0,5,397,517
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,548,2,2,42,85,2,20,11,422,208,6,9,12,2,,,1,17,2,3,0,842,0,13,855,1314
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,549,4,4,67,206,4,31,21,838,361,7,8,4,7,,,4,17,0,2,4,1581,1,29,1611,2582
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,550,2,2,42,93,1,11,11,437,158,1,11,8,1,,,2,5,0,1,1,783,1,15,799,1187
