CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,CAND_IND1,CAND_IND2,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,75,C,1,0,C01,0,43,78,2,8,0,207,131,1,1,3,2,,,2,8,1,2,2,491,0,10,501,714,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0075C1-CIPR.pdf
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,75,C,2,0,C02,0,37,83,3,2,8,183,129,4,2,0,0,,,2,9,2,0,1,465,0,9,474,714,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0075C2-CIPR.pdf
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,76,B,1,0,B,0,25,68,11,4,5,131,84,1,1,0,0,,,0,6,0,0,0,336,0,13,349,481,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0076B-CIPR.pdf
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,76,C,1,0,C01,0,23,69,5,3,7,143,69,1,6,1,3,,,0,4,2,0,0,336,0,6,342,480,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0076C1-CIPR.pdf
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,77,B,1,0,B,0,24,43,0,6,7,162,70,1,7,2,1,,,1,6,0,1,2,333,0,7,340,466,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0077B-AEC.pdf
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,77,C,1,0,C01,0,24,57,1,1,12,158,87,0,2,3,0,,,1,3,3,2,0,354,0,5,359,466,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0077C1-CIPR.pdf
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,78,B,1,0,B,0,11,42,1,5,8,130,92,2,3,1,3,,,0,2,0,1,1,302,0,9,311,461,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0078B-CIPR.pdf
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,78,C,1,0,C01,0,5,42,2,9,7,183,67,0,2,1,1,,,2,5,0,1,0,327,0,2,329,460,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0078C1-CIPR.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,B,1,0,B,0,29,36,1,10,5,180,101,2,1,3,0,,,1,5,2,1,0,377,0,9,386,723,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079B-AEC.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,C,1,0,C01,0,14,40,0,14,7,207,101,2,2,4,1,,,0,3,1,1,2,399,0,15,414,723,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079C1-CIPR.pdf
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,79,C,2,0,C02,0,13,31,3,10,10,213,107,4,1,3,0,,,0,4,1,0,1,401,0,9,410,722,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0079C2-CIPR.pdf
