ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,41,KANASIN,29,129,129,24546,593,401,1688,1091,861,16753,1118,47051,25,1638,48714,87400,
31,YUCATAN,42,KANTUNIL,3,7,7,746,974,0,507,25,0,848,357,3457,0,87,3544,4223,
31,YUCATAN,43,KAUA,1,4,4,8,1266,0,0,0,0,1101,2,2377,0,30,2407,2586,
31,YUCATAN,44,KINCHIL,4,10,10,1305,44,5,1659,670,0,701,339,4723,0,227,4950,5527,
31,YUCATAN,45,KOPOMA,2,4,4,429,479,0,15,30,0,802,47,1802,0,29,1831,2163,
31,YUCATAN,46,MAMA,2,5,5,1331,784,3,9,6,0,131,5,2269,0,62,2331,2627,
31,YUCATAN,47,MANI,3,8,8,2582,97,0,34,42,0,920,11,3686,1,84,3771,4534,
31,YUCATAN,48,MAXCANU,12,32,32,2748,284,0,5727,217,0,4394,526,13896,0,393,14289,18241,
31,YUCATAN,49,MAYAPAN,2,5,5,1190,439,0,23,46,0,981,0,2679,0,43,2722,2992,
31,YUCATAN,50,MERIDA,501,1316,1316,226485,27031,2684,17286,13665,35891,174434,4960,502436,315,12111,514862,782863,
31,YUCATAN,51,MOCOCHA,4,5,5,518,1367,0,0,0,0,692,47,2624,0,51,2675,2960,
31,YUCATAN,52,MOTUL,19,49,49,8866,2473,38,958,414,996,6819,116,20680,5,780,21465,28192,
31,YUCATAN,53,MUNA,7,18,18,2666,315,35,97,71,144,1242,3155,7725,162,374,8261,10528,
31,YUCATAN,54,MUXUPIP,3,5,5,998,4,19,65,24,6,1117,0,2233,0,25,2258,2519,
31,YUCATAN,55,OPICHEN,3,8,8,2639,13,0,0,0,0,1882,0,4534,3,71,4608,5416,
31,YUCATAN,56,OXKUTZCAB,16,41,41,908,6245,67,357,683,100,6788,1253,16401,11,512,16924,24194,
31,YUCATAN,57,PANABA,6,11,11,2364,218,0,0,0,0,2624,27,5233,1,67,5301,6083,
31,YUCATAN,58,PETO,17,31,31,1971,1713,0,2022,364,2684,4448,61,13263,5,361,13629,18070,
31,YUCATAN,59,PROGRESO,30,78,78,13637,935,186,317,722,460,13077,90,29424,16,1626,31066,49340,
31,YUCATAN,60,QUINTANA ROO,1,2,2,422,5,0,205,2,0,48,183,865,0,15,880,966,
31,YUCATAN,61,RIO LAGARTOS,3,6,6,805,163,0,301,28,0,1342,8,2647,1,55,2703,3031,
31,YUCATAN,62,SACALUM,3,7,7,609,15,0,0,1234,1325,192,0,3375,0,108,3483,3968,
31,YUCATAN,63,SAMAHIL,3,8,8,105,13,65,1757,33,0,259,1655,3887,0,75,3962,4425,
31,YUCATAN,64,SANAHCAT,1,2,2,509,5,0,2,2,217,93,550,1378,0,24,1402,1482,
31,YUCATAN,65,SAN FELIPE,2,4,4,50,1024,0,29,22,0,567,0,1692,0,40,1732,1946,
31,YUCATAN,66,SANTA ELENA,3,6,6,1554,19,0,0,0,0,854,148,2575,0,38,2613,3294,
31,YUCATAN,67,SEYE,5,13,13,2441,21,1606,76,101,126,2148,6,6525,0,168,6693,8041,
31,YUCATAN,68,SINANCHE,3,5,5,836,86,0,698,493,278,31,3,2425,0,64,2489,2750,
31,YUCATAN,69,SOTUTA,7,12,12,153,40,0,3338,36,0,1560,67,5194,0,112,5306,6738,
31,YUCATAN,70,SUCILA,2,5,5,1189,1033,0,20,20,0,376,6,2644,15,74,2733,3150,
31,YUCATAN,71,SUDZAL,2,3,3,761,4,0,257,9,0,467,0,1498,0,22,1520,1657,
31,YUCATAN,72,SUMA,2,4,4,1,3,0,11,18,540,162,676,1411,0,43,1454,1710,
31,YUCATAN,73,TAHDZIU,1,5,5,555,13,10,42,56,0,742,1737,3155,0,91,3246,3631,
31,YUCATAN,74,TAHMEK,2,5,5,1232,0,0,1405,4,0,218,0,2859,0,44,2903,3215,
