ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,22,CHIKINDZONOT,3,6,6,50,1512,0,0,20,0,1617,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3218,0,34,3252,3457,
31,YUCATAN,23,CHOCHOLA,3,6,6,358,1931,0,35,37,0,841,13,0,0,0,0,0,0,0,0,0,0,0,29,5,8,5,3262,0,67,3329,3867,
31,YUCATAN,24,CHUMAYEL,2,5,5,123,6,0,1031,4,0,705,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1871,0,28,1899,2776,
31,YUCATAN,25,DZAN,2,7,7,1231,1524,63,15,39,0,897,0,0,0,0,0,0,0,0,0,38,0,0,16,0,3,7,3833,0,81,3914,4534,
31,YUCATAN,26,DZEMUL,3,6,6,370,7,0,0,0,1910,678,1,0,0,3,0,0,7,0,1,0,0,0,0,0,0,0,2977,0,62,3039,3354,
31,YUCATAN,27,DZIDZANTUN,5,12,12,2048,143,0,0,0,152,2978,108,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,5473,1,120,5594,6832,
31,YUCATAN,28,DZILAM DE BRAVO,2,4,4,35,7,0,13,68,875,217,781,0,0,0,0,0,0,0,0,0,0,0,17,3,3,9,2028,0,94,2122,2404,
31,YUCATAN,29,DZILAM GONZALEZ,5,10,10,80,12,0,0,0,0,1729,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3557,0,82,3639,5278,
31,YUCATAN,30,DZITAS,4,6,6,1170,89,0,34,23,0,906,0,0,0,0,0,0,0,0,0,0,0,0,23,12,15,1,2273,0,30,2303,3137,
31,YUCATAN,31,DZONCAUICH,3,6,6,182,1288,0,6,16,10,1191,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,2,2707,0,32,2739,3007,
