CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,6,MERIDA,50,MERIDA,651,1,1,128,9,1,21,10,17,180,1,0,0,0,0,0,3,0,0,0,0,0,4,2,7,3,386,0,13,399,562
3,31,YUCATAN,6,MERIDA,50,MERIDA,652,5,5,589,154,6,51,33,64,911,10,0,0,3,0,0,37,0,1,0,0,0,45,8,16,11,1939,1,78,2018,2590
3,31,YUCATAN,6,MERIDA,50,MERIDA,653,6,6,575,194,10,73,56,73,1033,8,0,0,5,0,0,22,0,0,0,0,0,55,8,12,15,2139,0,54,2193,3555
3,31,YUCATAN,6,MERIDA,50,MERIDA,654,3,3,454,62,3,11,27,62,624,3,0,0,1,0,0,13,0,0,0,0,0,39,0,3,5,1307,0,21,1328,1860
3,31,YUCATAN,6,MERIDA,50,MERIDA,655,2,2,211,118,7,29,20,25,379,4,0,0,1,0,0,20,0,0,0,0,0,22,6,4,6,852,0,36,888,1100
3,31,YUCATAN,6,MERIDA,50,MERIDA,656,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715
3,31,YUCATAN,2,MERIDA,50,MERIDA,1060,2,2,434,37,7,13,8,95,217,6,0,0,9,0,0,11,0,1,0,0,0,17,0,2,3,860,0,18,878,1223
3,31,YUCATAN,2,MERIDA,50,MERIDA,1061,2,2,384,34,7,18,6,80,202,4,0,0,11,0,0,3,0,1,0,0,0,15,1,1,1,768,1,23,792,1055
3,31,YUCATAN,2,MERIDA,50,MERIDA,1062,2,2,452,28,4,18,5,68,199,4,0,0,7,0,0,7,0,0,0,0,0,11,0,1,3,807,2,10,819,1119
3,31,YUCATAN,2,MERIDA,50,MERIDA,1063,2,2,371,40,6,23,10,84,229,3,0,0,16,0,0,5,0,1,0,0,0,11,0,1,4,804,6,14,824,1247
3,31,YUCATAN,2,MERIDA,50,MERIDA,1064,2,2,352,35,3,13,13,68,149,8,0,0,10,0,0,9,0,1,0,0,0,9,0,1,3,674,0,11,685,901
3,31,YUCATAN,2,MERIDA,50,MERIDA,1065,2,2,312,32,4,15,12,84,168,4,0,0,6,0,0,7,0,0,0,0,0,19,0,3,2,668,0,12,680,963
3,31,YUCATAN,2,MERIDA,50,MERIDA,1066,2,2,387,30,5,16,7,78,172,4,0,0,5,0,0,8,0,0,0,0,0,12,0,1,0,725,0,22,747,935
3,31,YUCATAN,2,MERIDA,50,MERIDA,1067,2,2,382,43,1,35,5,34,131,4,0,0,8,0,0,7,0,0,0,6,0,21,0,2,2,681,2,16,699,897
3,31,YUCATAN,2,MERIDA,50,MERIDA,1068,2,2,353,32,4,9,4,67,129,4,0,0,4,0,0,7,0,1,0,0,0,16,0,2,1,633,1,13,647,849
3,31,YUCATAN,2,MERIDA,50,MERIDA,1069,1,1,279,23,1,12,6,50,108,3,0,0,4,0,0,7,0,0,0,0,0,7,0,3,0,503,0,14,517,719
3,31,YUCATAN,2,MERIDA,50,MERIDA,1070,2,2,441,38,7,8,8,76,176,7,0,0,8,0,0,8,0,0,0,0,0,17,0,1,3,798,2,10,810,1059
3,31,YUCATAN,2,MERIDA,50,MERIDA,1071,2,2,413,43,4,16,8,85,146,0,0,0,6,0,0,5,0,0,0,0,0,15,0,0,0,741,0,14,755,993
3,31,YUCATAN,2,MERIDA,50,MERIDA,1072,2,2,357,36,2,13,6,52,155,4,0,0,6,0,0,8,0,1,0,0,0,8,0,0,2,650,0,10,660,900
3,31,YUCATAN,2,MERIDA,50,MERIDA,1073,2,2,322,34,2,8,8,72,193,4,0,0,7,0,0,7,0,0,0,0,0,18,1,0,2,678,1,18,697,909
3,31,YUCATAN,2,MERIDA,50,MERIDA,1074,2,2,322,40,5,20,18,68,231,11,0,0,10,0,0,6,0,0,0,0,0,17,0,0,3,751,0,10,761,1048
3,31,YUCATAN,2,MERIDA,50,MERIDA,1075,2,2,322,37,5,17,13,62,161,4,0,0,5,0,0,10,0,0,0,0,0,11,0,0,0,647,0,16,663,888
3,31,YUCATAN,2,MERIDA,50,MERIDA,1076,2,2,171,18,2,14,4,50,199,3,0,0,200,0,0,6,0,1,0,0,0,10,0,1,1,680,0,11,691,928
3,31,YUCATAN,2,MERIDA,50,MERIDA,1077,2,2,260,26,6,22,13,66,207,5,0,0,3,0,0,5,0,0,0,0,0,22,0,3,1,639,1,21,661,975
3,31,YUCATAN,2,MERIDA,50,MERIDA,1078,2,2,571,28,2,7,7,73,197,0,0,0,11,0,0,12,0,0,0,0,0,7,0,3,5,923,4,10,937,1229
3,31,YUCATAN,2,MERIDA,50,MERIDA,1079,2,2,293,39,5,10,16,74,215,2,0,0,6,0,0,6,0,1,0,0,0,2,0,0,2,671,0,18,689,964
3,31,YUCATAN,2,MERIDA,50,MERIDA,1080,2,2,302,27,4,13,8,67,206,3,0,0,8,0,0,8,0,0,0,0,0,15,1,2,1,665,0,17,682,950
3,31,YUCATAN,2,MERIDA,50,MERIDA,1081,2,2,421,30,4,14,11,71,256,4,0,0,6,0,0,7,0,0,0,0,0,23,0,3,1,851,0,17,868,1132
3,31,YUCATAN,7,MERIDA,50,MERIDA,1082,3,3,217,23,6,19,20,67,376,3,0,0,6,0,0,0,0,0,0,0,0,19,0,0,3,759,0,11,770,1505
3,31,YUCATAN,7,MERIDA,50,MERIDA,1083,2,2,297,30,3,21,23,72,388,4,0,0,8,0,0,9,0,0,0,0,0,21,0,6,7,889,0,15,904,1451
3,31,YUCATAN,7,MERIDA,50,MERIDA,1084,1,1,105,13,0,10,7,35,186,3,0,0,0,0,0,5,0,0,0,0,0,18,0,0,1,383,1,11,395,614
3,31,YUCATAN,7,MERIDA,50,MERIDA,1085,1,1,148,20,3,7,11,44,176,7,0,0,3,0,0,6,0,0,0,0,0,10,0,3,0,438,3,11,452,643
3,31,YUCATAN,7,MERIDA,50,MERIDA,1086,2,2,173,18,3,12,14,52,235,0,0,0,2,0,0,11,0,2,0,0,0,19,0,4,2,547,0,9,556,818
3,31,YUCATAN,7,MERIDA,50,MERIDA,1087,1,1,106,18,2,9,9,32,175,1,0,0,7,0,0,6,0,0,0,0,0,9,0,0,0,374,0,12,386,591
3,31,YUCATAN,7,MERIDA,50,MERIDA,1088,2,2,275,32,3,18,10,69,293,8,0,0,2,0,0,6,0,0,0,0,0,13,1,1,1,732,1,14,747,1101
3,31,YUCATAN,7,MERIDA,50,MERIDA,1089,1,1,148,18,3,10,9,48,198,7,0,0,2,0,0,3,0,0,0,0,0,10,0,7,1,464,0,11,475,747
3,31,YUCATAN,7,MERIDA,50,MERIDA,1090,1,1,162,25,3,9,10,48,173,6,0,0,2,0,0,5,0,0,0,0,0,17,0,6,1,467,0,10,477,713
3,31,YUCATAN,7,MERIDA,50,MERIDA,1091,2,2,203,38,3,25,21,40,291,6,0,0,2,0,0,7,0,0,0,0,0,31,0,7,5,679,1,33,713,1149
3,31,YUCATAN,7,MERIDA,50,MERIDA,1092,1,1,166,11,5,15,7,46,163,4,0,0,4,0,0,5,0,0,0,1,0,10,0,1,1,439,0,7,446,667
3,31,YUCATAN,7,MERIDA,50,MERIDA,1093,2,2,145,20,3,13,8,69,135,5,0,0,5,0,0,1,0,0,0,1,0,16,11,5,4,441,0,12,453,803
3,31,YUCATAN,7,MERIDA,50,MERIDA,1094,1,1,104,18,0,11,9,34,147,4,0,0,1,0,0,3,0,0,0,0,0,12,0,1,2,346,0,7,353,504
3,31,YUCATAN,7,MERIDA,50,MERIDA,1095,2,2,191,21,5,12,12,65,289,3,0,0,0,0,0,6,0,0,0,0,0,18,0,4,3,629,0,10,639,937
3,31,YUCATAN,7,MERIDA,50,MERIDA,1096,2,2,130,23,6,17,18,39,221,4,0,0,2,0,0,1,0,0,0,0,0,21,0,6,6,494,0,17,511,788
3,31,YUCATAN,7,MERIDA,50,MERIDA,1097,1,1,99,13,0,13,12,26,180,1,0,0,2,0,0,5,0,0,0,0,0,18,1,3,1,374,0,11,385,676
3,31,YUCATAN,7,MERIDA,50,MERIDA,1098,2,2,126,16,2,11,7,38,216,6,0,0,2,0,0,3,0,0,0,0,0,20,0,7,2,456,0,20,476,805
3,31,YUCATAN,7,MERIDA,50,MERIDA,1099,1,1,122,12,7,17,11,31,206,3,0,0,1,0,0,1,0,0,0,0,0,13,0,3,1,428,0,17,445,722
