ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,33,HALACHO,10,26,26,4612,0,0,0,381,2635,0,0,0,0,0,0,0,0,0,0,0,1972,0,0,0,3110,0,12710,0,342,13052,16044,
31,YUCATAN,34,HOCABA,5,10,10,0,0,0,0,0,19,2200,5,0,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,4172,0,92,4264,4984,
31,YUCATAN,35,HOCTUN,5,10,10,0,0,2018,0,0,15,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,2283,4432,1,119,4552,5132,
31,YUCATAN,36,HOMUN,6,11,11,0,0,8,0,0,0,0,0,0,0,3146,0,0,0,0,0,0,0,0,2356,0,0,0,5510,7,169,5686,6470,
31,YUCATAN,37,HUHI,3,8,8,0,1174,0,0,0,0,564,0,0,0,0,0,0,0,0,1005,0,0,0,0,890,0,0,3633,0,82,3715,4346,
31,YUCATAN,38,HUNUCMA,16,42,42,0,0,877,1559,3422,0,4881,2761,0,0,0,0,0,4952,0,0,0,0,0,0,0,0,0,18452,5,680,19137,26413,
31,YUCATAN,39,IXIL,2,6,6,0,0,0,99,1022,41,857,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,2912,0,59,2971,3400,
31,YUCATAN,40,IZAMAL,15,38,38,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9325,0,0,0,11280,15,372,11667,21687,
31,YUCATAN,41,KANASIN,29,129,129,0,593,401,0,0,861,0,0,0,0,0,0,0,0,0,25664,0,0,0,19532,0,0,0,47051,25,1638,48714,87400,
31,YUCATAN,42,KANTUNIL,3,7,7,746,974,0,507,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,3457,0,87,3544,4223,
31,YUCATAN,43,KAUA,1,4,4,0,1266,0,0,0,0,1101,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2377,0,30,2407,2586,
31,YUCATAN,44,KINCHIL,4,10,10,1305,44,5,1659,670,0,701,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4723,0,227,4950,5527,
31,YUCATAN,45,KOPOMA,2,4,4,429,479,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,847,0,0,0,1802,0,29,1831,2163,
31,YUCATAN,46,MAMA,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1336,787,0,0,146,0,0,0,2269,0,62,2331,2627,
31,YUCATAN,47,MANI,3,8,8,2582,97,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,996,0,0,0,3686,1,84,3771,4534,
31,YUCATAN,48,MAXCANU,12,32,32,2748,0,0,5727,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,4611,13896,0,393,14289,18241,
31,YUCATAN,49,MAYAPAN,2,5,5,1190,439,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,2679,0,43,2722,2992,
31,YUCATAN,50,MERIDA,501,1316,1316,0,0,2684,0,0,35891,0,0,0,0,258476,0,0,0,0,0,0,0,0,205385,0,0,0,502436,315,12111,514862,782863,
31,YUCATAN,51,MOCOCHA,4,5,5,0,1367,0,0,0,0,692,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,2624,0,51,2675,2960,
