CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,MORENA,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,665,B,1,0,B,0,96,69,9,51,0,12,11,3,0,0,0,88,339,1,9,349,641,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,666,B,1,0,B,0,98,72,7,36,0,9,10,2,1,0,0,77,312,0,9,321,622,ACTA CASILLA,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,666,C,1,0,C01,0,121,62,7,34,0,17,16,4,0,0,0,79,340,0,10,350,621,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,667,B,1,0,B,0,87,42,4,33,0,10,9,4,0,0,0,73,262,0,3,265,590,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,667,C,1,0,C01,0,93,58,6,41,0,2,2,1,1,0,0,96,300,1,9,310,590,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,668,B,1,0,B,0,67,25,9,43,0,5,13,2,1,0,0,61,226,0,8,234,510,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,668,C,1,0,C01,0,61,33,5,38,0,9,8,3,1,0,0,64,222,1,8,231,509,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,668,C,2,0,C02,0,74,32,3,35,0,8,7,3,0,0,0,61,223,0,4,227,509,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,669,B,1,0,B,0,100,16,7,39,0,13,3,1,1,1,0,72,253,0,7,260,570,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,669,C,1,0,C01,0,80,21,9,47,0,9,4,0,1,0,0,85,256,1,12,269,570,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,669,C,2,0,C02,0,70,25,6,44,0,7,4,0,0,0,0,71,227,1,2,230,570,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,671,B,1,0,B,0,80,44,3,28,0,8,11,0,0,0,0,42,216,0,3,219,387,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,672,B,1,0,B,0,102,40,3,25,0,15,11,4,1,0,0,67,268,0,9,277,608,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,673,B,1,0,B,0,90,51,6,62,0,24,11,0,1,0,0,80,325,0,10,335,748,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,674,B,1,0,B,0,73,40,6,36,0,10,8,0,1,0,0,77,251,0,8,259,572,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,675,B,1,0,B,0,66,40,2,41,0,10,4,0,0,0,0,53,216,0,7,223,547,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,676,B,1,0,B,0,67,49,1,24,0,4,3,2,0,1,0,76,227,0,4,231,434,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,676,C,1,0,C01,0,66,31,2,28,0,0,7,4,1,0,0,60,199,0,7,206,433,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,677,B,1,0,B,0,77,49,9,38,0,8,7,1,0,0,0,82,271,0,10,281,621,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,677,C,1,0,C01,0,88,40,9,35,0,7,9,1,0,0,0,73,262,0,7,269,620,GRUPO DE RECUENTO,,,
