CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,71,C,1,0,C01,0,56,5,1,3,28,164,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,282,0,18,300,583,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,71,C,2,0,C02,0,68,22,2,6,39,154,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,315,0,10,325,583,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,71,E,1,0,E01,0,35,43,3,8,17,208,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,10,342,565,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,72,B,1,0,B,0,83,9,12,7,17,237,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,393,0,10,403,587,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,72,C,1,0,C01,0,75,7,11,14,16,230,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,370,1,27,398,587,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,72,C,2,0,C02,0,67,7,10,19,22,209,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,351,1,9,361,587,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,72,E,1,0,E01,0,69,13,82,5,21,216,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,420,0,27,447,639,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,73,B,1,0,B,0,81,10,2,1,5,210,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,326,0,44,370,601,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,73,C,1,0,C01,0,92,4,0,3,11,204,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,329,0,35,364,601,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,73,C,2,0,C02,0,109,4,1,4,7,181,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,319,0,38,357,601,ACTA CASILLA,,,
