CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3
5,22,QUERETARO,12,TEQUISQUIAPAN,17,TEQUISQUIAPAN,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
5,22,QUERETARO,12,TEQUISQUIAPAN,11,PEDRO ESCOBEDO,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,9
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
5,22,QUERETARO,15,JALPAN DE SERRA,8,JALPAN DE SERRA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,22,QUERETARO,15,JALPAN DE SERRA,9,LANDA DE MATAMOROS,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,22,QUERETARO,15,JALPAN DE SERRA,13,PINAL DE AMOLES,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,22,QUERETARO,9,AMEALCO DE BONFIL,7,HUIMILPAN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,22,QUERETARO,0,VOTO ANTICIPADO,5,CORREGIDORA,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6
5,22,QUERETARO,0,VOTO ANTICIPADO,10,EL MARQUES,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,11
5,22,QUERETARO,0,VOTO ANTICIPADO,14,QUERETARO,0,0,3,16,4,0,1,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,41,0,3,44,47
5,22,QUERETARO,0,VOTO ANTICIPADO,16,SAN JUAN DEL RIO,0,0,1,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,10
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,1,2,2,86,122,14,363,21,86,5,8,0,0,0,0,0,0,0,0,9,1,2,0,0,21,0,0,738,0,31,769,1071
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,2,2,2,113,140,6,290,16,62,7,5,0,0,0,0,0,0,0,0,10,1,0,0,0,16,0,0,666,1,20,687,1013
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,3,3,3,112,146,11,485,19,146,12,8,0,0,0,0,0,0,0,0,18,1,1,1,0,31,0,0,991,0,45,1036,1642
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,4,3,3,143,181,13,513,25,141,17,2,0,0,0,0,0,0,0,0,20,6,0,0,0,25,0,0,1086,3,41,1130,1824
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,5,5,5,164,242,15,747,41,198,11,4,0,0,0,0,0,0,0,0,14,5,4,1,0,32,0,0,1478,3,51,1532,1709
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,6,2,2,107,123,12,151,18,78,10,4,0,0,0,0,0,0,0,0,5,2,1,1,0,19,0,0,531,0,31,562,1032
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,7,2,2,63,93,4,179,15,54,8,4,0,0,0,0,0,0,0,0,7,2,3,0,0,20,0,0,452,0,25,477,871
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,8,2,2,84,156,7,239,15,93,13,2,0,0,0,0,0,0,0,0,14,0,3,2,0,28,0,0,656,0,40,696,1381
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,9,4,4,295,210,7,204,31,97,19,1,0,0,0,0,0,0,0,0,9,4,3,0,0,35,0,0,915,0,47,962,2093
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,10,2,2,81,112,7,263,19,95,7,2,0,0,0,0,0,0,0,0,14,7,1,0,0,31,0,0,639,0,34,673,1238
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,11,3,3,131,131,12,481,31,178,18,5,0,0,0,0,0,0,0,0,18,8,2,2,0,17,0,0,1034,0,50,1084,1714
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,12,2,2,67,104,13,180,28,108,11,2,0,0,0,0,0,0,0,0,11,4,3,2,0,21,0,0,554,0,29,583,912
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,13,4,4,143,125,9,528,39,159,16,8,0,0,0,0,0,0,0,0,19,6,4,0,0,24,0,0,1080,0,56,1136,1787
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,14,4,4,197,211,15,727,37,159,16,7,0,0,0,0,0,0,0,0,11,10,7,2,0,51,0,0,1450,7,104,1561,2692
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,15,5,5,157,151,20,330,53,359,31,5,0,0,0,0,0,0,0,0,96,17,14,3,0,36,0,0,1272,2,87,1361,2432
