CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,19,NAVOJOA,65,NAVOJOA,1288,3,3,,,,,,73,,,,122,,,,,37,452,684,0,17,701,1596
1,26,SONORA,19,NAVOJOA,65,NAVOJOA,1289,7,7,,,,,,304,,,,373,,,,,375,1157,2209,0,35,2244,4853
1,26,SONORA,19,NAVOJOA,65,NAVOJOA,1302,1,1,,,,,,23,,,,35,,,,,34,221,313,0,20,333,660
1,26,SONORA,19,NAVOJOA,65,NAVOJOA,1304,2,2,,,,,,85,,,,64,,,,,124,282,555,0,5,560,893
1,26,SONORA,19,NAVOJOA,65,NAVOJOA,1305,1,1,,,,,,69,,,,75,,,,,118,149,411,0,6,417,644
1,26,SONORA,19,NAVOJOA,65,NAVOJOA,1625,2,2,,,,,,32,,,,44,,,,,7,387,470,0,4,474,1276
1,26,SONORA,19,NAVOJOA,65,NAVOJOA,1626,4,4,,,,,,111,,,,120,,,,,71,924,1226,0,36,1262,2800
1,26,SONORA,19,NAVOJOA,65,NAVOJOA,1627,4,4,,,,,,97,,,,119,,,,,64,944,1224,1,22,1247,2944
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,0,0,1,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,1
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1142,2,2,9,125,12,,,71,394,,,90,0,1,1,0,,,703,0,34,737,1289
1,26,SONORA,20,ETCHOJOA,71,BENITO JUAREZ,1146,2,2,12,64,4,,,55,304,,,64,3,0,0,0,,,506,0,28,534,881
