CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,189,B,1,0,B,0,99,27,5,12,10,33,3,100,2,3,7,0,2,4,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,313,0,12,325,574,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,189,C,1,0,C01,0,107,14,4,15,15,35,4,114,2,5,7,3,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,337,2,20,359,573,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,189,C,2,0,C02,0,103,10,6,13,8,45,4,118,2,3,10,3,6,7,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,347,0,21,368,573,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,B,1,0,B,0,99,18,1,12,9,53,8,138,1,1,9,6,0,8,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,369,0,18,387,649,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,C,1,0,C01,0,95,22,10,7,15,60,4,139,2,4,6,2,6,3,0,1,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,381,0,25,406,649,ACTA LEVANTADA EN EL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,C,2,0,C02,0,85,16,2,18,10,40,2,133,1,1,7,7,0,8,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,336,0,31,367,649,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,C,3,0,C03,0,96,7,3,9,8,57,4,147,2,0,12,7,5,6,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,367,0,21,388,649,GRUPO DE RECUENTO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,C,4,0,C04,0,88,18,10,11,14,39,3,146,2,2,8,3,0,6,0,0,0,9,0,0,0,0,0,0,2,2,0,0,0,2,1,0,0,0,0,366,0,36,402,648,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,B,1,0,B,0,106,26,8,20,12,62,7,149,4,0,6,3,1,4,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,416,0,25,441,704,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,C,1,0,C01,0,112,21,5,11,13,79,9,160,2,2,7,6,7,11,1,1,0,2,1,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,457,0,15,472,704,ACTA DEL CONSEJO,,,
