CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO
5,16,MICHOACAN,12,HIDALGO,,,,,DIP_LOC_MR,PT_PVEM_MORENA,1,ANA BELINDA HURTADO MARIN,2,CANDIDATURAS DE DISCAPACIDAD,,PT
5,16,MICHOACAN,13,ZITACUARO,,,,,DIP_LOC_MR,PT_PVEM_MORENA,1,EMMA RIVERA CAMACHO,2,,,MORENA
5,16,MICHOACAN,14,URUAPAN,,,,,DIP_LOC_MR,CAND_IND8,1,CONRADO PAZ TORRES,1,,,CAND_IND8
5,16,MICHOACAN,15,PATZCUARO,,,,,DIP_LOC_MR,PT_PVEM_MORENA,1,ANTONIO SALVADOR MENDOZA TORRES,1,,,MORENA
5,16,MICHOACAN,16,MORELIA,,,,,DIP_LOC_MR,PT_PVEM_MORENA,1,JUAN CARLOS BARRAGAN VELEZ,1,,,MORENA
5,16,MICHOACAN,17,MORELIA,,,,,DIP_LOC_MR,PT_PVEM_MORENA,1,NALLELI JULIETA PEDRAZA HUERTA,2,,,MORENA
5,16,MICHOACAN,18,HUETAMO,,,,,DIP_LOC_MR,PT_PVEM_MORENA,1,ANABET FRANCO CARRIZALES,2,,,MORENA
5,16,MICHOACAN,19,TACAMBARO,,,,,DIP_LOC_MR,PT_PVEM_MORENA,1,VICENTE GOMEZ NUÑEZ,1,,,MORENA
5,16,MICHOACAN,20,URUAPAN,,,,,DIP_LOC_MR,CAND_IND7,1,CARLOS ALEJANDRO BAUTISTA TAFOLLA,1,,,CAND_IND7
5,16,MICHOACAN,21,COALCOMAN DE VAZQUEZ PALLARES,,,,,DIP_LOC_MR,PT_PVEM_MORENA,1,ABRAHAM ESPINOZA VILLA,1,,,PVEM
5,16,MICHOACAN,22,MUGICA,,,,,DIP_LOC_MR,PT_PVEM_MORENA,1,J. REYES GALINDO PEDRAZA,1,,,PT
5,16,MICHOACAN,23,APATZINGAN,,,,,DIP_LOC_MR,PT_PVEM_MORENA,1,SANDRA OLIMPIA GARIBAY ESQUIVEL,2,,,MORENA
5,16,MICHOACAN,24,LAZARO CARDENAS,,,,,DIP_LOC_MR,MORENA,1,MARIA ITZE CAMACHO ZAPIAIN,2,,,MORENA
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PAN,1,ANA VANESSA CARATACHEA SANCHEZ,2,,,PAN
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PAN,2,ALFONSO JANITZIO CHAVEZ ANDRADE,1,,,PAN
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PAN,3,TERESITA DE JESUS HERRERA MALDONADO,2,,,PAN
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PRI,4,GUILLERMO VALENCIA REYES,1,,,PRI
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PRI,5,ADRIANA CAMPOS HUIRACHE,2,,,PRI
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PRI,6,XOCHITL GABRIELA RUIZ GONZALEZ,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PRI
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PRD,7,OCTAVIO OCAMPO CORDOVA,1,,,PRD
5,16,MICHOACAN,,,,,,,DIP_LOC_RP,PRD,8,BRISSA IRERI ARROYO MARTINEZ,2,,,PRD
