ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,0,VOTO EN EL EXTRANJERO,0,0,7,2777,365,249,433,584,154,75,4830,175,210,9852,17,98,9967,12407,
21,PUEBLA,1,XICOTEPEC DE JUAREZ,135,349,352,19001,7907,1931,14416,5857,4558,4011,52068,1739,1991,113479,28,4915,118422,187870,
21,PUEBLA,2,HUAUCHINANGO DE DEGOLLADO,97,311,312,17701,12900,4552,10759,7322,4808,3853,45869,2902,2225,112891,45,6638,119574,187031,
21,PUEBLA,3,CHIGNAHUAPAN,129,338,338,14796,26475,3881,14131,10484,2892,1536,47536,1951,6737,130419,31,5684,136134,188641,
21,PUEBLA,4,ZACAPOAXTLA,137,342,349,10811,19787,2704,20906,14032,4995,2666,45615,4107,3197,128820,44,5443,134307,198400,
21,PUEBLA,5,LIBRES,103,299,299,14676,10717,1412,21532,10850,10009,3137,37209,3869,1939,115350,24,4958,120332,175492,
21,PUEBLA,6,TEZIUTLAN,100,285,289,18929,13660,1895,8909,11573,6382,1676,42619,2567,3142,111352,29,4157,115538,170751,
21,PUEBLA,7,SAN MARTIN TEXMELUCAN DE LABASTIDA,97,312,313,19669,8117,1875,8732,13401,9355,1654,50636,2466,1364,117269,44,5068,122381,201620,
21,PUEBLA,8,HUEJOTZINGO,84,285,285,22145,6256,3103,10885,9221,9850,1745,46788,2995,2335,115323,39,3730,119092,182327,
21,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,69,301,303,41331,5283,1806,5492,5316,4808,1259,49864,1589,1330,118078,43,2364,120485,199813,
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,136,367,368,39068,6540,2115,7046,6190,6006,2087,58140,1821,1840,130853,70,2791,133714,220036,
21,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,59,284,285,26875,5008,1664,5373,5526,4413,1317,49308,1611,1519,102614,56,2434,105104,190723,
21,PUEBLA,12,AMOZOC DE MOTA,67,262,263,21242,4503,1583,7628,12133,5354,2328,46097,2146,1530,104544,35,3698,108277,171493,
21,PUEBLA,13,TEPEACA,76,275,275,19548,5009,1416,11679,6879,3548,2331,50791,2051,1932,105184,26,3451,108661,170246,
21,PUEBLA,14,CIUDAD SERDAN,110,302,304,17345,4937,3204,8643,13948,10486,1915,46689,3051,3902,114120,93,4822,119035,174363,
21,PUEBLA,15,TECAMACHALCO,82,285,286,13299,5323,1419,9569,9373,4609,13398,51511,1411,1431,111343,24,4524,115891,177796,
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,143,364,365,49263,7107,2626,5863,6135,5321,2123,52563,2922,2696,136619,78,2687,139384,215792,
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,235,465,466,71784,9061,2898,6422,6510,5832,2186,57633,2113,1713,166152,131,2617,168900,249735,
21,PUEBLA,18,CHOLULA DE RIVADAVIA,90,355,357,58909,6656,2905,6450,5969,7611,1465,50438,2435,1566,144404,130,3283,147817,226185,
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,101,311,312,38259,6168,2352,5532,5529,4816,1114,47931,1510,1217,114428,528,2622,117578,194267,
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,90,300,301,32112,6389,1856,4585,5298,3720,971,44155,1512,1156,101754,40,2406,104200,188359,
21,PUEBLA,21,ATLIXCO,102,304,304,28151,7959,1359,7538,6714,3848,1443,50504,1649,1967,111132,37,3189,114358,187102,
21,PUEBLA,22,IZUCAR DE MATAMOROS,126,326,326,10611,14474,1055,18534,7596,2925,3991,44226,3933,3671,111016,39,4176,115231,181301,
21,PUEBLA,23,ACATLAN DE OSORIO,182,388,388,12102,19570,1699,10856,11886,2035,2050,57175,3816,2037,123226,8,4216,127450,193316,
21,PUEBLA,24,TEHUACAN,109,310,312,19527,6150,1208,9506,9508,4451,3813,57337,2794,2725,117019,18,4310,121347,184809,
21,PUEBLA,25,TEHUACAN,76,281,282,18136,4799,1032,14396,8255,4344,1182,52947,1385,1270,107746,43,3582,111371,179742,
21,PUEBLA,26,AJALPAN,112,318,322,25177,11005,4478,10816,15743,2947,3244,44082,7335,1433,126260,68,5925,132253,181526,
