ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,143,364,365,46684,5192,1360,3908,3986,5321,1572,49055,2071,1958,2492,2219,149,88,16,1011,211,40,27,21,37,2798,438,233,648,263,238,1662,127,40,161,133,19,122,75,23,158,277,708,33,25,631,51,23,109,176,30,136619,78,2687,139384,215792,
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,235,465,466,68677,6820,1272,4454,4456,5832,1469,53996,1357,1099,2992,2834,211,129,56,995,248,82,31,43,70,3102,466,240,120,211,207,1839,151,48,126,97,26,98,69,35,141,281,632,70,56,543,60,39,179,144,49,166152,131,2617,168900,249735,
21,PUEBLA,18,CHOLULA DE RIVADAVIA,90,355,357,56511,4936,1652,4944,4411,7611,951,47441,1842,1097,2283,2233,147,143,36,715,209,50,31,23,15,2286,539,199,127,171,145,1172,96,30,93,120,29,94,44,33,125,236,578,35,36,509,41,34,140,182,29,144404,130,3283,147817,226185,
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,101,311,312,35993,4547,1220,3706,3703,4816,569,44726,900,676,2329,1871,172,98,24,739,182,72,22,32,23,2536,441,267,113,179,226,1689,104,45,92,107,29,89,94,24,126,286,585,39,24,583,29,19,87,169,26,114428,528,2622,117578,194267,
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,90,300,301,30207,4976,890,3068,3582,3720,514,41375,987,677,2002,1527,131,70,35,719,135,28,25,11,58,2235,436,256,136,125,174,1502,105,48,70,70,29,84,46,24,90,241,498,31,46,490,17,26,95,120,23,101754,40,2406,104200,188359,
21,PUEBLA,21,ATLIXCO,102,304,304,26864,7102,911,6285,5537,3848,1258,48037,1330,1609,930,968,95,31,23,530,135,31,15,7,12,1570,214,143,85,124,120,1072,60,28,62,113,8,68,56,9,85,246,573,24,28,522,28,28,84,199,25,111132,37,3189,114358,187102,
21,PUEBLA,22,IZUCAR DE MATAMOROS,126,326,326,9987,13816,884,17033,6457,2925,3831,42047,3420,3150,544,392,78,20,36,334,46,66,45,38,14,1952,171,151,111,94,123,836,88,60,64,96,23,68,49,50,59,332,378,56,53,559,70,56,126,181,47,111016,39,4176,115231,181301,
21,PUEBLA,23,ACATLAN DE OSORIO,182,388,388,11463,18926,1459,10061,10902,2035,1949,55234,3539,1846,555,405,32,23,3,374,155,13,31,21,12,1026,154,101,68,82,58,647,53,35,56,62,6,63,45,12,54,307,492,45,40,426,54,23,116,126,37,123226,8,4216,127450,193316,
21,PUEBLA,24,TEHUACAN,109,310,312,18620,5658,1000,8356,8385,4451,3620,54925,2409,2387,569,447,62,44,19,318,166,54,22,77,22,1251,222,140,48,104,99,887,78,25,82,77,21,79,53,14,89,323,524,32,47,608,73,33,194,271,34,117019,18,4310,121347,184809,
21,PUEBLA,25,TEHUACAN,76,281,282,17295,4362,817,12777,7249,4344,1118,50566,1105,1024,467,556,49,29,17,290,85,18,21,5,20,1193,342,144,72,75,125,1066,91,43,56,74,7,71,65,17,70,337,503,26,24,860,42,30,49,132,18,107746,43,3582,111371,179742,
21,PUEBLA,26,AJALPAN,112,318,322,24532,10607,4284,10301,14929,2947,3123,42726,7018,1266,427,249,54,20,19,320,114,66,47,32,10,589,97,43,241,46,41,407,51,9,43,82,16,25,11,15,42,187,610,51,22,219,59,14,126,91,32,126260,68,5925,132253,181526,
