ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,0,VOTO EN EL EXTRANJERO,0,0,7,2611,209,105,117,215,154,24,4422,25,44,192,257,1,5,0,38,16,3,1,3,1,609,34,32,6,13,15,441,1,1,4,5,2,1,2,0,35,15,127,0,2,33,0,1,5,24,1,9852,17,98,9967,12407,
21,PUEBLA,1,ACAJETE,20,75,76,4017,1058,409,3502,1413,1585,628,11607,320,214,276,176,32,15,7,82,36,10,9,2,60,372,68,62,21,35,21,194,27,14,21,19,5,24,15,4,27,62,101,5,8,190,12,3,32,33,6,26839,11,910,27760,48801,
21,PUEBLA,2,ACATENO,8,15,15,663,347,334,1040,212,73,15,2252,32,26,22,79,2,0,0,22,20,0,3,0,0,39,14,5,4,2,3,127,1,0,1,1,0,2,3,0,4,30,9,1,0,67,1,0,2,0,0,5458,0,204,5662,7466,
21,PUEBLA,3,ACATLAN,18,54,54,1334,1145,161,2090,2510,200,234,7944,796,160,77,116,1,5,0,39,4,2,3,2,1,191,38,25,19,11,12,133,19,9,23,14,3,14,12,1,7,73,94,13,21,87,13,5,35,23,7,17726,5,437,18168,29270,
21,PUEBLA,4,ACATZINGO,17,67,67,3603,944,254,2931,1475,546,1294,8956,408,201,426,230,51,19,8,73,29,55,5,8,18,995,86,54,328,18,39,155,28,14,17,22,9,30,18,4,16,95,138,15,9,146,19,4,27,41,18,23879,5,740,24624,41293,
21,PUEBLA,5,ACTEOPAN,3,5,5,290,394,18,47,92,14,550,348,11,12,4,3,1,1,0,3,2,35,6,1,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,1844,0,106,1950,2319,
21,PUEBLA,6,AHUACATLAN,7,19,19,1005,665,290,149,3094,96,267,2625,40,41,24,12,6,1,0,16,3,0,4,0,0,24,5,32,532,50,16,23,117,4,214,5,2,2,0,0,0,12,40,3,5,4,1,1,0,4,1,9435,0,334,9769,11390,
21,PUEBLA,7,AHUATLAN,4,5,5,333,234,15,41,36,19,13,805,4,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1520,0,35,1555,2400,
21,PUEBLA,8,AHUAZOTEPEC,4,15,15,365,870,115,195,1030,143,67,1873,219,74,34,45,7,1,2,23,3,3,5,3,1,61,14,5,6,2,5,34,4,4,2,4,2,2,2,1,4,23,36,2,5,11,1,3,5,5,9,5330,0,267,5597,8532,
21,PUEBLA,9,AHUEHUETITLA,1,4,4,21,24,4,236,409,15,5,513,10,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,2,1,0,0,2,0,1,0,0,1,3,3,0,0,4,0,0,1,2,0,1263,0,28,1291,1865,
