CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,88,JALPAN,766,2,2,35,16,6,64,17,18,0,362,2,27,1,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,3,5,0,0,2,0,2,0,0,0,573,0,34,607,816
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,88,JALPAN,767,3,3,127,48,34,58,51,18,0,650,5,108,6,5,2,0,1,3,1,0,0,1,1,8,3,1,2,0,3,6,1,0,1,2,0,1,2,1,1,3,5,0,1,10,1,2,0,4,0,1177,0,30,1207,1841
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,88,JALPAN,768,4,4,212,50,51,47,97,29,10,1076,20,17,1,5,0,0,0,11,0,0,1,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1635,0,56,1691,2330
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,88,JALPAN,769,1,1,41,22,8,19,22,10,2,269,1,17,2,3,0,0,0,9,2,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,2,0,1,0,0,1,439,0,24,463,624
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,91,JOPALA,779,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,91,JOPALA,780,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,91,JOPALA,781,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,91,JOPALA,782,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,91,JOPALA,783,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1678
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,91,JOPALA,784,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,91,JOPALA,785,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,101,NAUPAN,830,2,2,25,163,0,10,17,7,4,213,2,7,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,457,0,21,478,1316
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,101,NAUPAN,831,4,4,54,739,3,27,29,13,5,473,4,20,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,1383,0,67,1450,1814
