CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,8,CHIHUAHUA,2,JUAREZ,37,JUAREZ,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5
1,8,CHIHUAHUA,3,JUAREZ,37,JUAREZ,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,4
1,8,CHIHUAHUA,4,JUAREZ,37,JUAREZ,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1
1,8,CHIHUAHUA,5,JUAREZ,37,JUAREZ,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1
1,8,CHIHUAHUA,6,JUAREZ,37,JUAREZ,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,8
1,8,CHIHUAHUA,7,JUAREZ,37,JUAREZ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,3
1,8,CHIHUAHUA,8,JUAREZ,37,JUAREZ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,8,CHIHUAHUA,9,JUAREZ,37,JUAREZ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1
1,8,CHIHUAHUA,11,MEOQUI,45,MEOQUI,0,0,1,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,6
1,8,CHIHUAHUA,11,MEOQUI,52,OJINAGA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8,CHIHUAHUA,12,CHIHUAHUA,19,CHIHUAHUA,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5
1,8,CHIHUAHUA,13,GUERRERO,31,GUERRERO,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,8,CHIHUAHUA,14,CUAUHTEMOC,17,CUAUHTEMOC,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,7,7
1,8,CHIHUAHUA,15,CHIHUAHUA,19,CHIHUAHUA,0,0,2,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,1,11,19
1,8,CHIHUAHUA,16,CHIHUAHUA,19,CHIHUAHUA,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,5,9
1,8,CHIHUAHUA,17,CHIHUAHUA,19,CHIHUAHUA,0,0,2,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
1,8,CHIHUAHUA,18,CHIHUAHUA,19,CHIHUAHUA,0,0,2,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,12
1,8,CHIHUAHUA,19,DELICIAS,21,DELICIAS,0,0,1,2,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,12
1,8,CHIHUAHUA,20,CAMARGO,36,JIMENEZ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,8,CHIHUAHUA,21,HIDALGO DEL PARRAL,32,HIDALGO DEL PARRAL,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,7,0,0,7,7
1,8,CHIHUAHUA,22,GUACHOCHI,7,BALLEZA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,60,3,3,108,60,84,62,19,150,217,4,3,5,2,2,0,4,0,0,0,0,720,0,65,785,1737
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,61,3,3,102,77,90,93,22,167,264,1,8,18,0,1,2,6,0,0,0,0,851,18,35,904,1669
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,62,1,1,38,54,14,28,12,48,93,0,2,2,0,0,0,5,0,0,0,0,296,0,19,315,580
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,63,2,2,102,63,82,64,15,113,173,2,3,6,4,0,0,7,0,0,0,0,634,1,47,682,1388
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,64,2,2,152,48,50,39,10,61,122,5,6,5,3,0,0,7,0,0,0,0,508,0,28,536,1074
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,65,1,1,41,34,16,16,7,56,97,1,0,3,0,0,0,5,0,0,0,0,276,0,19,295,519
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,66,1,1,47,45,31,27,13,38,91,0,2,4,2,0,0,1,0,0,0,0,301,0,23,324,567
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,67,1,1,56,47,22,24,12,58,108,0,5,11,2,0,0,6,0,0,0,0,351,0,18,369,703
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,68,2,2,59,59,47,58,20,105,144,2,1,12,1,0,0,17,0,0,0,0,525,0,31,556,1044
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,69,1,1,32,43,27,24,15,76,105,1,5,4,1,1,0,3,0,0,0,0,337,0,24,361,690
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,70,3,3,179,73,82,71,26,228,218,0,3,15,8,6,1,12,0,0,0,0,922,0,105,1027,2667
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,71,2,2,68,33,29,31,15,93,114,2,4,9,1,1,0,4,0,0,0,0,404,0,31,435,764
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,72,3,3,83,89,40,84,29,29,233,1,5,10,2,3,1,7,0,0,0,0,616,0,58,674,1643
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,73,1,1,24,42,10,16,2,13,72,0,4,5,1,0,0,1,0,0,0,0,190,0,21,211,534
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,74,2,2,57,41,18,28,11,25,146,4,6,3,2,0,1,7,0,0,0,0,349,0,26,375,605
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,75,2,2,62,46,22,44,10,11,140,3,2,4,1,0,0,4,0,0,0,0,349,0,33,382,988
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,76,2,2,65,61,38,38,13,22,199,3,4,11,3,0,0,8,0,0,0,0,465,2,37,504,1261
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,78,2,2,35,18,36,36,55,99,214,0,0,4,3,1,2,17,0,0,0,0,520,0,32,552,901
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,79,2,2,39,20,42,43,14,112,186,1,4,7,0,0,0,12,0,0,0,0,480,0,34,514,970
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,5,ASCENSION,80,1,1,80,18,7,11,3,14,14,0,0,1,1,0,0,2,0,0,0,0,151,0,3,154,455
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,149,1,1,68,110,1,5,12,15,75,24,2,2,6,0,0,2,0,0,0,0,322,0,16,338,615
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,150,1,1,38,84,3,6,2,17,63,29,7,3,2,1,0,4,0,0,0,0,259,0,20,279,559
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,151,1,1,56,113,1,7,13,22,89,27,2,2,3,0,1,3,0,0,0,0,339,0,16,355,653
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,152,1,1,75,94,1,3,8,16,60,19,2,2,4,0,0,1,0,0,0,0,285,0,19,304,542
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,153,3,3,106,226,8,14,20,41,232,62,8,5,12,1,0,6,0,0,0,0,741,0,56,797,1678
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,154,1,1,34,55,2,2,3,13,103,15,1,0,1,0,0,0,0,0,0,0,229,0,26,255,501
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,155,1,1,16,48,0,1,5,9,46,9,0,1,4,0,0,4,0,0,0,0,143,0,13,156,293
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,156,2,2,71,180,6,13,22,26,210,33,5,3,6,0,0,8,0,0,0,0,583,0,35,618,1351
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,157,2,2,40,106,13,20,33,5,228,13,6,2,8,1,0,9,0,0,0,0,484,0,36,520,1108
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,158,2,2,23,138,7,14,24,11,231,7,2,5,1,0,0,7,0,0,0,0,470,0,35,505,1033
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,159,1,1,22,55,5,7,15,1,129,8,1,4,4,0,0,3,0,0,0,0,254,0,12,266,457
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,160,2,2,29,92,5,18,30,2,183,8,1,4,1,0,0,6,0,0,0,0,379,0,43,422,880
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,161,2,2,21,116,7,8,22,5,276,6,6,8,6,0,1,5,0,0,0,0,487,0,31,518,1055
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,162,1,1,17,43,1,4,17,4,129,5,1,1,0,0,0,2,0,0,0,0,224,0,14,238,475
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,163,1,1,38,129,14,4,19,8,106,11,0,1,2,0,0,3,0,0,0,0,335,0,17,352,612
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,164,2,2,18,87,13,3,10,6,80,9,2,2,3,0,0,1,0,0,0,0,234,0,10,244,908
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,165,1,1,8,30,0,0,6,1,28,3,2,2,1,0,0,2,0,0,0,0,83,0,16,99,169
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,166,1,1,12,99,7,3,13,2,96,8,0,5,2,0,1,6,0,0,0,0,254,0,31,285,501
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,167,2,2,48,129,6,20,47,13,213,3,4,5,3,0,0,13,0,0,0,0,504,0,53,557,1120
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,168,2,2,55,159,6,14,31,6,145,8,3,2,2,0,1,7,0,0,0,0,439,0,48,487,947
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,169,1,1,81,28,1,1,1,6,17,1,0,1,3,0,0,0,0,0,0,0,140,0,3,143,566
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,170,2,2,468,22,1,2,1,4,14,0,0,4,1,0,0,0,0,0,0,0,517,0,7,524,1040
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,171,1,1,7,42,2,2,5,0,48,0,0,0,0,0,0,5,0,0,0,0,111,0,9,120,222
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,172,3,3,123,231,6,18,20,45,155,19,6,7,9,1,1,3,0,0,0,0,644,0,64,708,1509
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,173,2,2,91,149,8,9,5,20,72,28,1,8,10,0,1,2,0,0,0,0,404,0,33,437,760
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,10,BUENAVENTURA,174,1,1,38,148,2,6,15,3,152,5,1,2,0,0,0,5,0,0,0,0,377,0,33,410,742
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,238,2,2,106,116,14,14,22,43,170,4,4,19,8,1,0,6,0,0,0,0,527,0,32,559,1070
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,239,2,2,108,121,13,17,34,44,198,0,10,15,8,1,0,7,0,0,0,0,576,0,30,606,1143
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,240,2,2,144,130,16,21,29,63,248,5,3,12,7,1,2,5,0,0,0,0,686,1,37,724,1249
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,241,5,5,371,321,48,43,61,129,420,16,12,48,22,4,2,6,0,0,0,0,1503,0,80,1583,3691
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,242,2,2,20,118,4,7,8,36,76,2,3,1,4,0,1,3,0,0,0,0,283,0,9,292,572
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,243,2,2,56,95,16,9,15,33,193,2,2,8,1,1,1,4,0,0,0,0,436,1,27,464,967
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,244,1,1,23,39,17,4,7,7,49,0,1,2,4,1,3,0,0,0,0,0,157,0,14,171,346
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,245,2,2,146,83,12,14,12,36,170,2,4,12,2,1,0,7,0,0,0,0,501,0,40,541,1110
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,248,1,1,36,61,5,7,12,15,32,1,0,16,8,0,0,0,0,0,0,0,193,0,16,209,416
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,249,1,1,19,22,8,2,1,0,27,2,0,7,0,0,0,1,0,0,0,0,89,0,5,94,212
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,250,1,1,11,14,2,4,4,7,45,0,0,1,2,0,0,4,0,0,0,0,94,0,11,105,230
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,13,CASAS GRANDES,251,2,2,151,122,41,40,28,18,193,1,2,15,6,0,0,6,0,0,0,0,623,0,46,669,1170
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,23,GALEANA,1042,2,2,180,30,6,7,1,168,77,7,3,4,2,1,0,4,0,0,0,0,490,0,28,518,891
