CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,971,2,2,218,15,2,8,6,48,197,12,2,0,0,8,1,6,0,523,1,9,533,863
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,972,3,3,634,28,2,15,8,62,230,12,5,0,0,16,0,2,1,1015,1,7,1023,1177
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,973,7,7,1156,65,13,39,62,277,765,15,8,1,5,28,4,3,2,2443,0,36,2479,4813
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,974,2,2,220,17,3,18,9,75,239,6,0,0,0,0,2,0,6,595,0,16,611,1153
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,975,2,2,220,14,8,18,15,54,335,0,5,0,0,33,3,0,0,705,0,27,732,1493
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,976,1,1,218,20,2,5,4,22,122,10,1,2,0,7,3,1,0,417,0,6,423,679
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,977,2,2,204,9,3,14,7,42,193,9,0,0,0,12,2,4,1,500,0,4,504,921
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,978,2,2,244,8,2,14,18,59,248,9,4,2,0,16,2,2,0,628,0,13,641,1057
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,979,2,2,161,8,1,27,2,40,281,8,1,0,0,19,4,6,0,558,0,6,564,1010
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,980,12,12,1172,59,14,61,69,246,1890,22,20,0,0,44,5,18,8,3628,0,55,3683,8861
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,982,4,4,436,28,6,14,22,87,356,18,5,1,1,9,3,2,0,988,0,19,1007,810
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,983,2,2,252,28,0,5,7,42,155,8,1,0,0,4,4,0,1,507,0,7,514,772
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,984,1,1,163,12,1,5,8,34,159,0,0,0,0,0,0,0,0,382,0,6,388,680
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,985,1,1,139,7,4,5,6,22,78,3,0,0,0,4,0,0,0,268,0,7,275,416
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,986,1,1,172,8,1,5,2,23,103,5,1,1,0,4,0,2,0,327,4,1,332,474
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,987,9,9,1958,99,20,54,41,267,1079,49,12,2,1,37,11,6,1,3637,1,37,3675,6161
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,988,1,1,296,26,1,1,3,18,53,9,0,0,0,6,0,1,0,414,0,1,415,513
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,989,2,2,330,16,0,1,2,28,127,6,0,0,0,7,1,0,0,518,0,7,525,768
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,990,1,1,129,11,7,4,6,21,137,2,3,1,0,0,1,1,0,323,0,2,325,552
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,991,1,1,210,11,4,8,5,23,115,6,0,0,0,9,0,0,0,391,0,17,408,702
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,992,2,2,265,18,3,7,4,31,158,5,3,1,0,3,1,0,0,499,2,16,517,787
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,993,2,2,310,29,0,12,6,35,141,8,3,0,0,5,1,1,0,551,1,8,560,947
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,994,2,2,250,12,5,7,9,30,231,7,3,0,0,9,0,5,3,571,0,16,587,1061
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,995,2,2,203,19,6,4,7,33,164,5,0,1,0,0,3,1,2,448,0,6,454,811
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,996,1,1,145,9,2,8,3,18,61,2,3,0,0,4,1,0,1,257,0,4,261,455
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,997,2,2,194,14,3,17,8,39,275,5,0,0,0,9,1,2,0,567,0,16,583,1053
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1006,2,2,300,12,1,10,3,41,242,15,0,0,0,14,3,5,0,646,0,22,668,950
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1007,2,2,279,14,3,15,8,41,247,10,3,0,0,14,1,4,0,639,0,12,651,978
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1008,3,3,501,37,10,21,8,75,350,21,5,1,1,25,2,3,0,1060,0,25,1085,2001
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1009,2,2,247,7,7,17,8,37,207,6,2,0,0,8,1,2,1,550,0,8,558,912
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1010,2,2,302,14,7,16,12,45,189,11,2,0,0,10,1,1,1,611,1,5,617,944
