CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNAM,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,PT_PVEM_MORENA_PNAM_PES_MAS,PT_PVEM_MORENA_PNAM_PES,PT_PVEM_MORENA_PNAM_MAS,PT_PVEM_MORENA_PES_MAS,PT_PVEM_PNAM_PES_MAS,PT_MORENA_PNAM_PES_MAS,PVEM_MORENA_PNAM_PES_MAS,PT_PVEM_MORENA_PNAM,PT_PVEM_MORENA_PES,PT_PVEM_MORENA_MAS,PT_PVEM_PNAM_PES,PT_PVEM_PNAM_MAS,PT_PVEM_PES_MAS,PT_MORENA_PNAM_PES,PT_MORENA_PNAM_MAS,PT_MORENA_PES_MAS,PT_PNAM_PES_MAS,PVEM_MORENA_PNAM_PES,PVEM_MORENA_PNAM_MAS,PVEM_MORENA_PES_MAS,PVEM_PNAM_PES_MAS,MORENA_PNAM_PES_MAS,PT_PVEM_MORENA,PT_PVEM_PNAM,PT_PVEM_PES,PT_PVEM_MAS,PT_MORENA_PNAM,PT_MORENA_PES,PT_MORENA_MAS,PT_PNAM_PES,PT_PNAM_MAS,PT_PES_MAS,PVEM_MORENA_PNAM,PVEM_MORENA_PES,PVEM_MORENA_MAS,PVEM_PNAM_PES,PVEM_PNAM_MAS,PVEM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,PT_PVEM,PT_MORENA,PT_PNAM,PT_PES,PT_MAS,PVEM_MORENA,PVEM_PNAM,PVEM_PES,PVEM_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,MC_PROGRESA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,305,4,4,399,97,31,28,29,191,410,7,1,4,25,8,31,21,1,1,0,7,1,1,1,0,1,10,12,6,0,0,1,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,8,1,0,0,5,1,1,0,1,0,3,1,0,0,0,0,1,1,0,0,0,6,0,0,0,3,2,0,0,4,1,1,0,0,0,10,1380,2,41,1423,2336
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,306,3,3,170,46,20,30,26,193,342,7,1,3,28,9,13,2,1,0,0,1,0,0,0,0,0,7,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,4,1,0,0,12,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,6,936,1,32,969,1663
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,307,2,2,198,79,11,17,13,153,266,5,4,2,17,5,6,8,0,0,0,2,0,0,1,0,0,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,831,0,22,853,1179
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,308,2,2,233,79,12,25,24,174,219,10,0,5,38,16,7,9,2,0,0,3,1,0,0,1,0,10,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,3,0,0,0,1,0,14,904,1,24,929,1382
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,309,5,5,363,103,37,57,65,343,628,8,6,7,68,18,12,25,0,0,0,11,2,0,0,0,0,15,0,3,1,0,0,1,2,3,2,0,0,0,0,0,1,0,2,0,1,0,1,16,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,3,0,1,0,5,12,0,1,0,14,1,0,0,1,0,0,0,1,0,16,1863,3,45,1911,3034
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,310,2,2,236,71,13,11,12,77,162,3,3,9,10,10,1,7,0,0,0,3,2,0,0,0,0,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,645,1,11,657,992
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,311,2,2,222,42,10,17,28,106,266,5,2,2,9,7,0,22,1,0,0,9,1,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,2,0,0,2,0,0,0,1,0,1,0,0,0,3,788,0,20,808,1388
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,312,2,2,156,52,15,15,31,109,293,4,2,3,25,2,24,4,2,0,0,2,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,777,1,5,783,1231
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,313,1,1,62,19,13,3,9,34,84,1,0,1,3,1,4,4,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,256,0,0,256,403
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,314,2,2,92,33,5,17,21,87,194,3,2,3,13,2,2,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,2,496,0,56,552,957
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,315,2,2,190,53,15,20,21,119,219,11,4,2,16,8,8,8,0,0,0,4,1,0,0,0,0,6,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,723,0,18,741,1097
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,316,2,2,119,39,36,18,23,120,236,7,7,6,53,18,5,12,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,0,0,1,0,0,0,0,8,739,0,17,756,1269
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,317,3,3,215,55,21,14,36,188,352,8,4,15,36,18,10,9,1,0,0,3,2,0,1,0,0,5,1,1,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,11,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,1,2,1030,1,28,1059,1755
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,318,2,2,122,39,12,19,16,137,269,9,5,8,34,12,19,8,0,0,0,0,1,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,731,0,14,745,1417
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,319,1,1,52,22,9,4,7,44,62,0,0,2,14,3,0,4,0,0,0,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,236,0,4,240,363
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,320,3,3,224,74,36,36,55,208,385,7,5,16,42,7,10,23,1,2,0,7,2,0,1,0,0,12,1,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,2,19,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,2,1,0,0,0,1,13,1218,0,26,1244,2090
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,321,2,2,164,36,23,16,16,114,273,12,2,18,14,6,5,15,0,0,0,1,0,0,1,0,0,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,2,0,0,0,3,0,1,0,0,0,5,750,0,23,773,1193
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,322,2,2,250,59,24,8,20,119,250,8,3,10,23,15,17,12,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,2,848,0,16,864,1289
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,323,1,1,60,25,7,7,7,54,120,1,0,3,11,9,4,3,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,325,0,7,332,561
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,324,2,2,156,48,12,10,8,65,177,4,0,1,12,5,13,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,546,2,13,561,925
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,325,1,1,77,15,4,6,0,43,58,1,0,1,7,1,4,9,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,241,0,6,247,403
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,326,1,1,46,19,13,1,6,22,46,0,0,0,3,0,3,3,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,173,0,5,178,277
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,327,2,2,215,49,13,20,18,73,180,3,2,4,24,8,9,20,0,0,0,6,1,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,2,0,1,0,0,0,2,673,0,13,686,982
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,328,2,2,162,37,17,13,19,84,186,3,3,5,26,4,11,9,1,0,0,3,1,0,0,0,0,9,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,608,0,8,616,909
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,329,1,1,210,34,6,7,9,46,71,2,1,1,4,6,15,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,7,433,585
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,330,4,4,172,31,7,9,10,76,125,1,0,4,7,6,1,1,2,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,469,1,19,489,951
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,331,2,2,82,19,6,3,7,51,70,3,0,2,12,4,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,283,0,8,291,862
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,332,3,3,294,76,12,19,33,177,319,2,3,4,23,3,5,21,0,11,0,6,2,0,0,0,0,15,0,0,1,8,1,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,6,0,0,0,9,0,1,0,2,1,1,0,0,0,6,1092,3,23,1118,1661
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,333,3,3,287,102,23,43,19,205,340,7,3,6,28,9,32,9,0,0,0,2,1,0,0,0,0,28,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,3,0,0,0,3,0,2,0,0,1,7,1174,2,25,1201,1872
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,334,3,3,222,61,21,19,20,209,347,8,1,3,31,7,5,20,0,0,0,3,2,0,0,0,0,12,0,0,4,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,4,0,0,0,1,0,0,0,1,1,0,0,0,0,11,1043,1,25,1069,1764
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,335,3,3,237,62,18,27,36,183,360,9,4,7,28,7,40,11,1,0,0,1,0,0,0,0,0,36,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1087,0,28,1115,1793
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,336,2,2,201,53,17,20,14,140,274,4,3,1,20,7,3,15,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,8,815,0,13,828,1241
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,337,4,4,253,78,17,34,24,203,355,5,4,4,34,20,31,3,0,0,0,2,8,0,2,0,0,25,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,14,1134,1,27,1162,1199
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,338,4,4,317,120,42,57,48,289,470,16,7,6,43,22,8,30,0,0,0,7,4,0,0,0,0,7,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,10,0,0,0,2,0,1,0,0,0,15,1542,0,37,1579,2679
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,339,2,2,148,50,14,30,19,154,275,3,2,4,24,5,17,5,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,782,0,20,802,1437
4,17,MORELOS,2,CUERNAVACA,7,CUERNAVACA,340,3,3,255,74,23,30,38,219,394,3,4,0,34,17,11,32,0,0,0,0,0,0,0,0,0,19,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,15,1210,0,28,1238,2052
