ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNAM,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,PT_PVEM_MORENA_PNAM_PES_MAS,PT_PVEM_MORENA_PNAM_PES,PT_PVEM_MORENA_PNAM_MAS,PT_PVEM_MORENA_PES_MAS,PT_PVEM_PNAM_PES_MAS,PT_MORENA_PNAM_PES_MAS,PVEM_MORENA_PNAM_PES_MAS,PT_PVEM_MORENA_PNAM,PT_PVEM_MORENA_PES,PT_PVEM_MORENA_MAS,PT_PVEM_PNAM_PES,PT_PVEM_PNAM_MAS,PT_PVEM_PES_MAS,PT_MORENA_PNAM_PES,PT_MORENA_PNAM_MAS,PT_MORENA_PES_MAS,PT_PNAM_PES_MAS,PVEM_MORENA_PNAM_PES,PVEM_MORENA_PNAM_MAS,PVEM_MORENA_PES_MAS,PVEM_PNAM_PES_MAS,MORENA_PNAM_PES_MAS,PT_PVEM_MORENA,PT_PVEM_PNAM,PT_PVEM_PES,PT_PVEM_MAS,PT_MORENA_PNAM,PT_MORENA_PES,PT_MORENA_MAS,PT_PNAM_PES,PT_PNAM_MAS,PT_PES_MAS,PVEM_MORENA_PNAM,PVEM_MORENA_PES,PVEM_MORENA_MAS,PVEM_PNAM_PES,PVEM_PNAM_MAS,PVEM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,PT_PVEM,PT_MORENA,PT_PNAM,PT_PES,PT_MAS,PVEM_MORENA,PVEM_PNAM,PVEM_PES,PVEM_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,MC_PROGRESA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,0,VOTO EN EL EXTRANJERO,0,0,1,853,109,52,38,63,143,1303,11,6,7,42,10,45,123,2,1,1,15,2,1,0,0,4,146,5,4,12,1,2,0,1,4,0,1,0,1,0,0,0,0,3,0,1,0,8,137,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,2,0,0,0,4,24,0,1,0,10,0,0,0,4,4,0,1,0,0,26,3239,4,38,3281,3960,
17,MORELOS,1,AMACUZAC,11,24,24,708,655,211,475,1257,625,2469,222,45,38,345,139,38,65,0,0,0,14,5,0,3,1,2,49,20,0,0,0,3,3,1,2,0,0,0,0,4,0,1,0,0,0,0,0,0,45,1,1,0,0,3,0,0,1,0,1,3,0,0,0,1,2,0,0,0,17,35,5,2,0,15,2,0,0,5,0,1,0,0,2,21,7563,1,326,7890,13796,
17,MORELOS,2,ATLATLAHUCAN,14,34,34,3785,510,231,1507,481,1777,3874,168,77,62,361,182,103,105,4,6,15,37,10,4,5,0,2,93,7,9,2,2,22,9,5,8,3,2,0,1,2,7,2,2,18,0,0,1,15,30,6,1,0,6,2,0,2,2,0,5,9,1,0,1,0,3,6,2,2,20,47,3,1,0,42,10,2,1,13,5,3,1,1,1,55,13799,5,487,14291,20395,
17,MORELOS,3,AXOCHIAPAN,20,47,47,2081,675,341,633,1876,3662,6209,158,76,37,843,265,79,76,11,2,2,26,13,1,1,0,1,73,8,0,5,2,4,10,4,7,1,2,1,0,1,2,1,0,3,1,1,0,1,83,5,0,0,6,4,2,0,1,1,3,5,0,0,0,0,0,2,1,0,24,44,3,1,2,46,2,2,0,17,7,4,0,1,1,49,17511,3,675,18189,28452,
17,MORELOS,4,AYALA,43,113,113,6818,1633,837,1165,928,3519,13055,848,1011,273,2826,465,467,304,31,10,3,128,46,19,14,5,6,429,18,17,14,5,27,41,20,23,5,11,7,2,7,6,9,9,13,9,7,7,72,165,29,8,6,18,12,16,6,8,2,57,29,2,7,5,0,38,7,8,5,44,86,12,21,3,83,35,16,5,76,60,24,33,7,9,259,36370,39,1224,37633,67404,
17,MORELOS,5,COATLAN DEL RIO,11,18,18,651,386,209,243,512,438,1792,130,269,27,148,189,46,55,3,1,0,18,33,3,2,1,1,44,1,3,0,0,5,2,4,4,0,0,0,0,1,1,1,0,1,0,0,0,3,13,0,2,0,4,6,0,0,0,0,4,2,1,0,0,0,0,0,1,0,11,15,2,3,1,11,2,1,0,3,7,2,4,1,0,15,5338,1,241,5580,8361,
17,MORELOS,6,CUAUTLA,92,252,253,12444,5517,2548,2733,3565,14871,28499,1023,581,219,4347,1156,823,1007,86,14,9,247,97,24,40,8,15,757,56,57,63,22,52,50,79,59,16,9,2,7,18,9,16,3,22,8,9,2,45,700,20,16,7,53,23,12,1,5,1,67,75,8,7,1,2,23,11,8,19,145,365,12,7,7,340,13,10,3,92,64,26,4,3,4,1049,84437,31,2728,87196,151072,
17,MORELOS,7,CUERNAVACA,211,554,555,54483,12839,3813,4948,5555,30345,60987,1447,683,1147,4985,1923,2049,2918,140,38,12,787,239,50,61,20,12,2084,249,127,81,36,130,213,164,120,55,20,13,9,30,28,18,8,50,35,27,8,147,1531,46,21,17,96,76,22,1,11,4,105,124,52,11,3,4,49,29,14,15,292,665,35,11,14,584,22,18,13,183,95,54,3,11,29,1378,198771,194,4557,203522,327763,
17,MORELOS,8,EMILIANO ZAPATA,25,108,108,10017,1903,657,5185,2139,5577,10709,373,165,531,1511,483,463,376,24,14,11,115,44,11,2,7,7,337,28,22,11,8,36,55,15,18,4,3,0,0,12,11,2,5,11,10,2,1,83,198,15,3,6,29,10,4,3,4,0,23,22,7,7,1,1,12,15,5,3,86,108,8,5,2,144,24,3,9,41,25,45,3,5,9,294,42177,18,1190,43385,71856,
17,MORELOS,9,HUITZILAC,11,29,29,1346,1820,254,502,493,2234,3418,199,155,49,354,230,238,99,16,1,2,27,19,2,14,1,0,141,4,9,2,4,8,11,8,4,2,2,0,0,2,2,0,1,0,0,3,0,4,58,4,2,0,7,4,0,0,1,0,10,3,1,0,0,4,1,0,0,0,3,29,0,0,3,21,3,2,0,19,2,5,1,0,15,177,12055,3,535,12593,17055,
