ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNAM,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,PT_PVEM_MORENA_PNAM_PES_MAS,PT_PVEM_MORENA_PNAM_PES,PT_PVEM_MORENA_PNAM_MAS,PT_PVEM_MORENA_PES_MAS,PT_PVEM_PNAM_PES_MAS,PT_MORENA_PNAM_PES_MAS,PVEM_MORENA_PNAM_PES_MAS,PT_PVEM_MORENA_PNAM,PT_PVEM_MORENA_PES,PT_PVEM_MORENA_MAS,PT_PVEM_PNAM_PES,PT_PVEM_PNAM_MAS,PT_PVEM_PES_MAS,PT_MORENA_PNAM_PES,PT_MORENA_PNAM_MAS,PT_MORENA_PES_MAS,PT_PNAM_PES_MAS,PVEM_MORENA_PNAM_PES,PVEM_MORENA_PNAM_MAS,PVEM_MORENA_PES_MAS,PVEM_PNAM_PES_MAS,MORENA_PNAM_PES_MAS,PT_PVEM_MORENA,PT_PVEM_PNAM,PT_PVEM_PES,PT_PVEM_MAS,PT_MORENA_PNAM,PT_MORENA_PES,PT_MORENA_MAS,PT_PNAM_PES,PT_PNAM_MAS,PT_PES_MAS,PVEM_MORENA_PNAM,PVEM_MORENA_PES,PVEM_MORENA_MAS,PVEM_PNAM_PES,PVEM_PNAM_MAS,PVEM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,PT_PVEM,PT_MORENA,PT_PNAM,PT_PES,PT_MAS,PVEM_MORENA,PVEM_PNAM,PVEM_PES,PVEM_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,MC_PROGRESA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,10,JANTETELCO,8,23,23,1431,642,386,638,781,806,3682,93,42,76,305,414,74,68,14,4,6,15,10,4,9,2,2,54,8,3,5,0,4,4,3,6,0,0,0,1,0,0,7,0,0,1,0,0,0,19,1,0,0,1,2,0,0,1,0,0,3,1,1,1,0,1,1,0,1,15,35,2,1,0,23,1,0,1,3,4,4,0,0,0,38,9760,1,245,10006,13907,
17,MORELOS,11,JIUTEPEC,77,271,272,18390,6111,2582,4392,3159,16016,36364,1052,397,286,2940,2683,1176,1177,80,17,5,283,116,49,25,13,18,1017,138,80,58,14,74,104,109,82,13,15,15,4,10,17,11,3,24,14,9,4,62,886,39,26,7,50,30,8,3,6,5,110,80,11,4,6,1,40,13,7,10,173,378,18,3,4,465,45,22,5,131,36,22,7,4,11,893,102767,61,2622,105450,174370,
17,MORELOS,12,JOJUTLA,36,85,86,3424,1967,1627,826,1701,2534,11585,300,87,240,779,1067,238,260,12,3,2,40,19,2,12,2,8,238,27,11,23,0,10,12,11,13,2,3,1,3,2,12,4,2,1,4,2,0,8,187,6,40,1,13,9,4,1,2,1,14,14,2,20,0,1,5,2,3,0,39,105,4,1,1,57,5,2,2,29,5,2,1,4,5,89,27800,19,756,28575,49229,
17,MORELOS,13,JONACATEPEC,11,22,22,1848,586,446,757,334,771,2992,91,73,29,263,173,62,55,14,2,2,28,7,3,2,1,0,26,0,1,0,1,1,1,22,1,1,0,0,2,0,0,2,0,1,0,1,0,1,21,2,1,0,4,1,1,1,0,0,1,4,1,0,0,0,0,1,0,5,6,25,2,1,3,17,3,2,0,3,6,2,0,1,0,40,8754,1,277,9032,12736,
17,MORELOS,14,MAZATEPEC,7,15,15,462,406,177,162,322,347,1742,233,201,124,123,93,29,29,1,3,1,3,4,0,3,1,0,27,2,3,3,0,8,2,0,3,0,0,4,1,0,1,2,0,3,1,1,0,0,11,1,0,1,3,1,0,0,2,1,3,2,0,1,7,0,2,0,0,0,3,12,2,2,3,14,2,2,0,6,5,2,0,2,1,5,4623,1,165,4789,8414,
17,MORELOS,15,MIACATLAN,9,24,24,658,485,203,180,279,1400,4785,56,49,33,116,176,83,18,11,1,5,9,4,0,1,2,1,74,0,1,1,0,1,1,0,4,0,4,6,0,2,0,0,0,2,0,0,0,3,30,1,3,0,4,8,1,1,0,0,1,0,3,0,0,0,2,0,0,0,8,21,1,0,0,15,0,0,1,6,18,0,0,1,0,25,8804,0,174,8978,12704,
17,MORELOS,16,OCUITUCO,10,24,24,1620,244,172,256,383,1828,3386,132,132,536,294,113,41,39,5,6,2,21,18,5,2,1,1,58,2,1,5,1,13,4,6,3,8,1,1,0,1,0,2,0,0,4,1,2,5,9,1,0,3,4,3,2,0,1,0,2,8,0,0,1,0,1,0,0,0,5,19,1,1,6,20,0,0,1,9,7,6,0,3,0,71,9539,4,227,9770,14275,
17,MORELOS,17,PUENTE DE IXTLA,25,53,53,2259,1397,593,422,604,2000,8784,194,105,72,1354,424,108,114,3,5,1,47,9,3,7,6,4,129,13,6,2,1,10,4,10,11,1,0,0,0,2,1,1,1,1,3,0,1,7,77,8,1,1,11,3,1,1,0,0,4,11,0,0,1,0,2,1,5,2,20,60,1,0,1,51,5,0,0,16,8,9,1,5,2,92,19119,20,520,19659,31910,
17,MORELOS,18,TEMIXCO,49,150,150,8146,4435,1435,1496,2640,6458,16483,487,184,185,1079,1378,783,501,34,15,2,151,41,21,10,26,8,855,18,27,30,3,31,15,30,34,23,0,10,2,10,11,8,2,8,8,1,2,8,259,12,7,4,28,14,7,1,1,1,12,16,5,1,0,1,7,6,2,1,106,184,5,2,6,135,12,3,3,42,24,16,1,5,1,227,48291,17,1246,49554,92580,
17,MORELOS,19,TEPALCINGO,16,39,39,1415,709,548,668,1094,1354,4878,530,132,87,822,341,79,64,8,0,1,22,9,2,4,2,0,90,6,11,3,3,13,4,5,11,2,1,1,0,3,3,0,2,0,2,0,1,13,39,1,2,0,7,1,2,1,0,1,7,5,0,0,1,0,2,1,0,1,18,30,4,3,2,34,11,0,1,17,11,4,2,2,1,49,13203,4,470,13677,21473,
17,MORELOS,20,TEPOZTLAN,20,57,57,2277,1279,686,769,1527,4543,6703,219,122,91,1130,513,228,147,13,5,2,35,33,5,4,3,2,234,16,18,13,3,13,5,11,8,7,1,0,1,6,1,1,2,4,2,1,0,3,89,4,1,1,10,10,0,0,2,1,5,5,1,0,0,1,0,3,4,0,33,82,8,3,1,37,4,3,1,14,8,4,1,2,8,248,21280,12,760,22052,33512,
17,MORELOS,21,TETECALA,6,14,14,362,280,160,90,271,544,2196,28,21,18,86,78,12,21,5,3,0,8,6,0,9,1,0,30,0,2,3,0,1,4,0,7,2,2,0,0,1,2,0,0,1,2,0,0,2,14,1,1,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,3,15,0,0,1,8,2,0,1,3,2,2,0,1,0,22,4340,0,130,4470,6517,
17,MORELOS,22,TETELA DEL VOLCAN,4,16,16,957,452,236,502,369,2678,1410,102,220,117,228,186,52,27,5,2,1,8,10,2,1,2,0,28,4,4,2,0,2,18,1,1,1,1,0,0,2,0,2,2,0,1,0,0,4,9,1,0,0,1,0,1,0,0,0,0,6,1,2,0,0,3,1,1,1,6,9,1,0,0,8,1,1,1,3,11,2,0,0,2,65,7777,0,298,8075,10756,
17,MORELOS,23,TLALNEPANTLA,4,9,9,623,319,175,126,264,484,935,38,216,13,244,159,57,19,1,1,0,8,5,0,2,0,0,50,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,6,2,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,8,7,0,2,0,5,0,2,0,0,3,0,1,0,1,22,3811,0,98,3909,5607,
17,MORELOS,24,TLALTIZAPAN DE ZAPATA,27,69,69,3041,1452,1228,3713,902,2038,8447,368,183,313,654,451,189,163,13,6,3,27,20,5,10,1,2,230,15,7,11,2,18,28,14,7,3,2,2,1,4,0,2,2,10,8,5,6,56,120,10,3,0,3,1,4,0,4,1,11,13,1,4,0,0,9,10,7,2,53,47,7,0,2,96,15,2,6,53,14,19,6,6,18,91,24300,6,734,25040,40087,
17,MORELOS,25,TLAQUILTENANGO,25,52,52,1440,940,860,438,558,1100,6832,120,86,75,297,1664,148,96,12,3,4,97,9,6,6,2,6,113,10,9,14,0,4,8,7,7,5,1,1,0,0,0,0,0,5,1,0,0,16,67,7,1,2,6,7,2,1,1,0,3,5,1,0,0,0,4,1,1,0,17,44,2,1,2,38,5,5,0,7,11,2,2,0,3,47,15295,15,365,15675,26079,
17,MORELOS,26,TLAYACAPAN,9,25,25,1022,562,330,295,495,2017,3625,189,328,98,366,154,86,108,4,1,0,12,11,0,1,5,1,116,5,6,3,0,4,5,2,2,1,0,1,1,1,0,1,0,4,0,0,0,0,36,2,3,2,2,2,1,1,2,0,5,9,4,0,0,1,2,0,1,1,16,18,1,1,1,17,5,8,2,9,9,1,3,0,2,64,10093,2,303,10398,15264,
17,MORELOS,27,TOTOLAPAN,7,16,16,831,570,274,579,817,578,1522,124,76,26,222,118,32,30,1,0,0,8,4,1,1,1,1,32,0,2,3,2,3,0,2,4,0,1,1,0,0,1,2,0,3,0,0,1,2,14,2,2,0,1,2,0,0,0,1,5,4,0,0,0,0,0,1,0,0,10,13,4,0,2,12,3,0,0,3,1,3,0,1,0,24,5983,4,332,6319,8976,
17,MORELOS,28,XOCHITEPEC,24,89,89,3453,5238,701,833,2694,3701,9471,264,177,94,645,722,357,257,46,3,7,130,34,6,20,18,3,299,25,13,30,1,17,15,28,5,7,0,1,2,10,6,10,4,7,13,3,4,40,148,8,2,4,47,11,6,0,10,0,15,6,10,2,0,0,5,2,6,0,57,111,7,3,3,66,6,1,5,27,18,11,1,4,1,146,30163,18,873,31054,57024,
17,MORELOS,29,YAUTEPEC,55,142,143,5722,2887,1250,1619,2805,7130,14705,2204,718,225,1793,689,371,351,23,14,0,104,32,17,22,6,6,580,60,21,16,11,32,43,56,33,3,7,6,1,15,12,5,2,15,14,10,8,56,272,30,14,2,59,12,3,7,4,3,40,34,6,8,1,1,30,17,7,2,108,179,14,11,0,135,48,4,7,185,39,9,19,11,16,355,45391,13,1522,46926,83073,
17,MORELOS,30,YECAPIXTLA,19,64,64,5538,693,431,648,1047,3070,8387,195,179,117,709,308,229,202,25,4,9,73,25,8,9,3,5,205,37,17,4,5,13,17,7,8,9,5,6,1,3,3,2,3,8,2,1,1,21,134,11,4,3,18,15,5,4,6,0,21,17,3,0,0,0,13,9,4,5,51,70,6,11,3,85,5,7,5,33,20,13,2,2,5,168,23050,12,759,23821,40063,
17,MORELOS,31,ZACATEPEC,26,53,53,1769,1189,479,638,1052,2182,7927,189,76,665,536,366,115,95,8,7,2,74,13,4,14,13,16,158,3,6,9,3,13,17,8,2,7,1,1,0,4,1,4,0,0,3,2,0,5,88,2,0,1,7,2,2,0,1,0,5,6,3,0,0,0,9,2,3,4,27,48,5,2,4,32,4,5,1,31,13,10,2,1,1,65,18062,6,429,18497,30262,
17,MORELOS,32,ZACUALPAN DE AMILPAS,6,13,13,769,431,221,340,573,672,2084,35,34,87,187,126,39,39,4,3,0,7,8,0,1,0,3,38,3,3,6,3,5,2,4,3,0,0,1,0,1,0,0,1,2,0,1,0,0,13,0,1,0,5,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,15,24,0,2,0,13,0,2,1,11,1,4,0,1,2,25,5862,0,265,6127,7896,
17,MORELOS,33,TEMOAC,6,19,19,692,1311,228,1105,712,1107,2620,60,50,29,208,134,64,57,7,2,1,17,5,2,4,2,1,42,2,0,2,1,4,3,4,3,0,0,1,0,1,2,0,1,2,0,2,0,2,39,2,0,0,0,1,1,0,0,0,4,9,1,1,0,0,0,0,0,1,13,24,3,1,0,30,2,1,1,7,5,1,0,1,0,43,8681,0,266,8947,12066,
17,MORELOS,34,COATETELCO,5,13,13,309,329,212,122,294,277,1881,41,29,22,53,148,20,25,4,5,0,10,5,1,1,0,1,10,1,24,3,19,3,11,2,11,0,0,0,0,0,1,1,0,1,2,2,0,1,18,2,0,1,4,2,0,0,1,0,1,3,0,0,0,0,2,0,0,0,9,31,1,0,0,13,1,0,1,12,3,3,0,0,1,5,3995,0,140,4135,8381,
17,MORELOS,35,XOXOCOTLA,8,31,31,541,532,264,260,567,946,5345,53,46,32,244,142,45,63,17,1,1,19,8,2,9,1,2,102,19,9,0,1,5,7,6,8,3,26,0,0,2,2,1,0,1,1,1,4,10,103,2,0,1,4,2,0,0,1,0,4,11,1,0,0,0,3,3,0,1,15,63,3,6,0,37,24,0,1,15,2,2,0,1,0,57,9710,2,204,9916,20476,
17,MORELOS,36,HUEYAPAN,4,10,10,418,171,109,165,185,555,1298,48,22,15,116,69,39,28,5,0,1,19,8,2,0,0,0,33,4,1,1,0,0,3,2,1,0,0,0,0,1,0,2,0,0,1,1,0,0,15,2,1,0,3,1,1,0,0,0,1,5,0,1,0,0,0,1,1,0,13,16,1,0,0,14,3,0,0,3,1,3,0,0,3,32,3444,4,135,3583,5814,
