ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNAM,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,PT_PVEM_MORENA_PNAM_PES_MAS,PT_PVEM_MORENA_PNAM_PES,PT_PVEM_MORENA_PNAM_MAS,PT_PVEM_MORENA_PES_MAS,PT_PVEM_PNAM_PES_MAS,PT_MORENA_PNAM_PES_MAS,PVEM_MORENA_PNAM_PES_MAS,PT_PVEM_MORENA_PNAM,PT_PVEM_MORENA_PES,PT_PVEM_MORENA_MAS,PT_PVEM_PNAM_PES,PT_PVEM_PNAM_MAS,PT_PVEM_PES_MAS,PT_MORENA_PNAM_PES,PT_MORENA_PNAM_MAS,PT_MORENA_PES_MAS,PT_PNAM_PES_MAS,PVEM_MORENA_PNAM_PES,PVEM_MORENA_PNAM_MAS,PVEM_MORENA_PES_MAS,PVEM_PNAM_PES_MAS,MORENA_PNAM_PES_MAS,PT_PVEM_MORENA,PT_PVEM_PNAM,PT_PVEM_PES,PT_PVEM_MAS,PT_MORENA_PNAM,PT_MORENA_PES,PT_MORENA_MAS,PT_PNAM_PES,PT_PNAM_MAS,PT_PES_MAS,PVEM_MORENA_PNAM,PVEM_MORENA_PES,PVEM_MORENA_MAS,PVEM_PNAM_PES,PVEM_PNAM_MAS,PVEM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,PT_PVEM,PT_MORENA,PT_PNAM,PT_PES,PT_MAS,PVEM_MORENA,PVEM_PNAM,PVEM_PES,PVEM_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,MC_PROGRESA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,0,VOTO EN EL EXTRANJERO,0,0,1,853,109,52,38,63,143,1303,11,6,7,42,10,45,123,2,1,1,15,2,1,0,0,4,146,5,4,12,1,2,0,1,4,0,1,0,1,0,0,0,0,3,0,1,0,8,137,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,2,0,0,0,4,24,0,1,0,10,0,0,0,4,4,0,1,0,0,26,3239,4,38,3281,3960,
17,MORELOS,0,VOTO ANTICIPADO,0,0,5,14,5,2,1,0,1,24,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53,0,1,54,0,
17,MORELOS,1,CUERNAVACA,120,275,275,29229,6721,2027,2257,2655,14445,28580,771,346,592,2338,971,985,1631,74,15,4,408,122,22,39,12,9,902,182,70,49,11,70,113,61,55,22,8,4,4,14,13,7,5,36,15,10,4,68,761,20,5,11,35,38,10,0,4,2,42,59,11,4,3,3,25,13,5,5,116,324,12,7,7,284,10,10,5,87,52,28,0,6,11,627,98618,126,2181,100925,157792,
17,MORELOS,2,CUERNAVACA,89,267,267,24886,5907,1730,2581,2756,15371,31010,628,322,533,2531,898,987,1263,65,23,6,377,114,26,22,8,3,1102,64,55,30,25,56,99,102,62,33,12,9,3,15,15,10,3,14,18,17,4,79,738,26,16,5,59,37,12,1,7,2,62,64,41,7,0,1,23,15,9,10,170,329,20,3,6,281,12,7,8,88,43,25,2,5,17,721,96746,68,2254,99068,162308,
17,MORELOS,3,TLAYACAPAN,62,162,162,9344,4956,1903,3324,3957,11175,19192,910,953,318,2566,1336,719,498,39,14,10,119,80,12,24,10,5,654,32,43,23,11,45,27,26,26,12,5,3,3,10,8,6,4,17,3,4,1,19,226,20,10,3,27,19,3,2,7,2,30,27,8,0,1,6,7,9,5,3,83,189,16,7,7,117,19,17,4,56,27,14,7,3,27,572,64026,26,2388,66440,96038,
17,MORELOS,4,TETELA DEL VOLCAN,75,189,189,9611,4977,2515,4808,5924,11605,25173,1117,649,477,2972,1708,488,414,68,15,14,142,70,16,22,9,7,384,35,23,24,10,33,45,45,33,5,4,4,3,9,7,14,6,8,6,6,1,21,238,14,5,0,27,11,9,2,2,2,16,41,4,5,2,0,6,7,3,9,110,207,16,9,7,185,23,8,5,64,46,24,2,6,9,341,74992,13,2631,77636,113100,
17,MORELOS,5,TEMIXCO,60,186,186,9164,5128,1693,1786,3063,8387,22657,591,248,240,1309,1608,943,543,46,16,9,162,48,23,11,28,9,1009,21,30,33,3,36,17,31,41,23,4,16,4,13,11,9,2,10,10,1,2,11,321,13,10,5,34,23,8,2,1,1,14,17,8,1,0,1,10,7,2,1,120,217,9,3,7,169,12,4,4,56,42,17,2,6,2,282,60480,17,1542,62039,112947,
17,MORELOS,6,JIUTEPEC,60,204,204,14681,4663,1904,3503,2329,12241,26740,646,291,220,2154,1904,889,910,63,11,3,218,89,35,20,8,15,777,99,65,45,8,42,81,83,64,10,9,12,4,5,14,7,3,17,9,7,4,54,628,26,4,4,31,25,7,1,3,4,87,65,8,3,4,0,32,4,4,3,137,295,9,3,3,356,30,12,5,75,20,18,5,0,7,696,77570,48,1801,79419,129097,
17,MORELOS,7,CUAUTLA,92,252,252,12442,5517,2548,2732,3565,14871,28496,1023,581,219,4346,1156,823,1007,86,14,9,247,97,24,40,8,15,757,56,57,63,22,52,50,79,59,16,9,2,7,18,9,16,3,22,8,9,2,45,700,20,16,7,53,23,12,1,5,1,67,75,8,7,1,2,23,11,8,19,145,365,12,7,7,340,13,10,3,92,64,26,4,3,4,1049,84430,31,2728,87189,151072,
17,MORELOS,8,XOCHITEPEC,61,180,180,5778,7171,1723,1710,4660,6253,22427,749,743,317,1299,1372,509,450,76,16,9,188,90,12,44,22,7,512,48,54,39,21,39,41,40,38,12,28,5,3,14,13,15,4,14,19,7,8,56,307,14,5,7,62,23,7,0,14,2,29,25,12,3,7,0,12,5,7,1,98,247,15,14,8,149,37,4,8,66,37,22,5,9,3,250,58169,22,1753,59944,109173,
17,MORELOS,9,EMILIANO ZAPATA,52,177,177,13058,3355,1885,8898,3041,7615,19156,741,348,844,2165,934,652,539,37,20,14,142,64,16,12,8,9,567,43,29,22,10,54,83,29,25,7,5,2,1,16,11,4,7,21,18,7,7,139,318,25,6,6,32,11,8,3,8,1,34,35,8,11,1,1,21,25,12,5,139,155,15,5,4,240,39,5,15,94,39,64,9,11,27,385,66477,24,1924,68425,111943,
