CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2862,2,2,56,14,2,35,12,28,366,5,3,0,1,0,1,23,0,1,0,3,6,2,1,0,1,560,0,11,571,1188
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2863,2,2,65,9,2,33,9,32,337,4,0,2,0,0,0,9,0,1,1,0,10,0,2,2,0,518,0,20,538,1087
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2864,1,1,35,10,0,14,7,8,163,0,2,2,0,0,1,12,0,0,0,1,4,0,4,0,0,263,0,10,273,506
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2865,2,2,27,6,3,8,5,11,121,1,1,1,0,0,1,6,0,0,0,0,5,0,0,0,0,196,0,3,199,882
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2866,1,1,22,15,1,16,4,2,84,3,0,1,0,0,0,4,0,0,0,2,4,0,0,6,0,164,0,4,168,256
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2867,1,1,53,13,2,15,6,11,188,2,0,0,0,0,0,15,0,0,0,2,9,0,0,0,0,316,0,7,323,485
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2868,2,2,112,36,4,22,9,18,329,15,5,3,0,0,5,10,0,1,1,3,1,0,0,0,0,574,0,7,581,1024
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2869,2,2,63,29,3,24,10,16,347,9,3,1,0,0,3,20,0,4,1,1,7,0,2,0,2,545,0,18,563,977
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2870,1,1,46,23,5,5,3,10,216,7,2,6,0,0,2,10,0,0,0,0,2,0,2,0,0,339,0,9,348,598
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2871,2,2,77,38,0,14,7,22,423,9,5,0,0,0,2,11,0,0,1,4,11,0,3,0,2,629,0,12,641,1041
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2872,1,1,10,20,0,9,0,3,73,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,124,0,1,125,235
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2873,2,2,76,101,4,27,14,21,357,7,3,4,0,0,1,12,0,0,0,2,14,1,4,0,0,648,0,15,663,1026
