ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,83,IXHUATLAN DEL CAFE,11,32,32,1877,1068,173,249,322,707,4053,172,142,42,6,0,27,166,25,8,8,40,49,6,36,4,14,9194,1,316,9511,17433,
30,VERACRUZ,147,SOCHIAPA,2,5,5,692,224,14,122,19,167,592,13,50,22,1,0,4,16,4,0,0,4,11,1,2,0,0,1958,0,36,1994,3075,
30,VERACRUZ,161,TENAMPA,3,9,9,472,257,20,101,45,134,1376,447,43,20,2,2,19,30,8,8,4,10,22,10,6,4,37,3077,2,119,3198,5293,
30,VERACRUZ,164,TEPATLAXCO,3,13,13,1227,734,17,411,251,169,1478,63,103,26,2,0,7,69,6,2,5,13,15,4,16,2,7,4627,0,121,4748,6915,
30,VERACRUZ,178,TLACOTEPEC DE MEJIA,2,6,6,487,190,152,40,30,115,957,28,39,14,2,3,8,37,1,0,4,4,12,3,5,2,2,2135,0,38,2173,3445,
30,VERACRUZ,185,TOMATLAN,4,9,9,567,301,52,100,151,361,1654,37,48,15,1,1,11,84,8,1,3,18,16,0,21,1,5,3456,0,88,3544,5616,
30,VERACRUZ,187,TOTUTLA,10,23,23,2088,872,265,1122,97,748,2235,107,157,65,10,2,8,90,12,6,2,35,63,7,13,1,6,8011,0,255,8266,13295,
30,VERACRUZ,200,ZENTLA,9,18,18,1798,606,42,243,135,503,2216,156,111,41,5,3,9,88,4,5,3,21,41,5,22,3,14,6074,2,186,6262,10079,
30,VERACRUZ,14,AMATLAN DE LOS REYES,26,57,57,2750,1709,127,505,325,1297,11052,199,218,64,4,6,76,419,6,17,15,34,119,3,76,11,34,19066,5,403,19474,32419,
30,VERACRUZ,46,CORDOBA,118,287,287,20644,9726,1051,2976,1288,9055,47826,895,1527,465,38,24,430,2214,78,99,127,155,622,40,389,37,104,99810,58,2039,101907,164377,
