ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ACATLAN,12,30,31,710,1154,354,993,4351,0,1810,974,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10596,5,490,11091,17871,
13,HIDALGO,2,ACAXOCHITLAN,21,57,57,1036,1683,517,0,1162,746,7344,3953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16441,28,881,17350,33593,
13,HIDALGO,3,ACTOPAN,34,83,85,1756,2854,878,1139,6625,7108,5791,3117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29268,22,1146,30436,49022,
13,HIDALGO,4,AGUA BLANCA DE ITURBIDE,12,19,19,213,523,2302,439,0,0,1427,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5671,3,231,5905,8048,
13,HIDALGO,5,AJACUBA,11,25,25,0,260,24,317,3494,2141,2300,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9773,1,349,10123,14659,
13,HIDALGO,6,ALFAJAYUCAN,22,35,35,224,758,0,3463,2082,0,2323,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10100,3,426,10529,15869,
13,HIDALGO,7,ALMOLOYA,13,20,21,0,1666,0,596,0,0,1407,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,217,0,0,5048,1142,320,6510,9869,
13,HIDALGO,8,APAN,25,64,65,4293,2507,679,3927,2720,863,4375,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21719,22,886,22627,36678,
13,HIDALGO,9,ATITALAQUIA,10,34,34,1179,1731,1445,2403,1819,2071,3050,1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15340,6,635,15981,23170,
13,HIDALGO,10,ATLAPEXCO,16,30,31,70,113,34,4516,1324,435,2833,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10850,0,711,11561,15605,
13,HIDALGO,11,ATOTONILCO EL GRANDE,28,49,50,142,231,70,7701,539,527,3395,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14433,8,603,15044,24770,
13,HIDALGO,12,ATOTONILCO DE TULA,25,70,70,245,399,122,2901,3641,4821,3683,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2213,5615,0,0,0,0,25622,6,1149,26777,41982,
13,HIDALGO,13,CALNALI,15,24,24,19,32,9,5459,161,92,2753,1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10007,3,331,10341,12981,
13,HIDALGO,14,CARDONAL,17,29,29,82,135,41,1447,1692,4231,1355,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9712,3,523,10238,15164,
13,HIDALGO,15,CUAUTEPEC DE HINOJOSA,24,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46252,
13,HIDALGO,16,CHAPANTONGO,10,17,17,326,530,162,1083,3577,276,1132,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7695,2,304,8001,10523,
13,HIDALGO,17,CHAPULHUACAN,25,35,35,539,3771,1239,385,0,143,2579,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10044,61,506,10611,17250,
13,HIDALGO,18,CHILCUAUTLA,15,27,28,253,411,126,1610,1147,2577,2170,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9462,5,488,9955,14619,
13,HIDALGO,19,EL ARENAL,11,26,26,0,3774,35,1246,1064,258,2336,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9970,1,384,10355,15198,
13,HIDALGO,20,ELOXOCHITLAN,7,9,9,1,3,1,1167,0,0,745,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2317,0,20,2337,2862,
13,HIDALGO,21,EMILIANO ZAPATA,8,20,20,353,224,0,1461,1885,1099,1776,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7753,5,316,8074,12125,
13,HIDALGO,22,EPAZOYUCAN,11,23,23,1927,617,506,245,808,411,2231,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7946,1,406,8353,13294,
13,HIDALGO,23,FRANCISCO I. MADERO,17,48,48,392,637,195,2905,2885,808,4390,2363,0,0,0,4293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18868,5,799,19672,29325,
13,HIDALGO,24,HUASCA DE OCAMPO,19,30,30,267,434,133,3452,192,277,2701,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8909,3,404,9316,15194,
13,HIDALGO,25,HUAUTLA,26,35,35,0,409,0,6997,303,306,2032,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11140,5,447,11592,16136,
13,HIDALGO,26,HUAZALINGO,10,19,19,84,250,1801,2877,0,0,1336,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7066,0,339,7405,9716,
13,HIDALGO,27,HUEHUETLA,16,33,33,0,292,477,809,326,5913,2921,1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12310,0,516,12826,17686,
13,HIDALGO,28,HUEJUTLA DE REYES,55,168,169,954,3473,0,1760,20705,3653,16029,8630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55204,14,3360,58578,96923,
13,HIDALGO,29,HUICHAPAN,37,69,70,2106,3423,1052,2093,3652,881,5156,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,22035,0,889,22924,37199,
13,HIDALGO,30,IXMIQUILPAN,65,138,140,1843,2996,921,13386,3647,1502,12698,6837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43830,50,2124,46004,76229,
13,HIDALGO,31,JACALA DE LEDEZMA,19,24,25,761,1237,380,1362,0,0,1576,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6164,2,357,6523,9934,
13,HIDALGO,32,JALTOCAN,12,17,19,1893,216,0,181,157,782,1312,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5247,0,300,5547,8014,
13,HIDALGO,33,JUAREZ HIDALGO,4,5,5,317,515,158,0,0,113,603,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030,2,59,2091,2666,
13,HIDALGO,34,LA MISION,11,17,17,21,87,2715,1890,0,0,407,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5338,0,274,5612,8150,
13,HIDALGO,35,LOLOTLA,8,18,19,742,1207,371,668,175,0,1239,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5068,0,274,5342,7168,
13,HIDALGO,36,METEPEC,9,20,20,646,1050,322,747,0,1990,1120,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6478,6,275,6759,9959,
13,HIDALGO,37,METZTITLAN,26,39,39,0,4102,815,1405,0,0,3141,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11153,2,518,11673,17335,
13,HIDALGO,38,MINERAL DEL CHICO,11,17,17,758,1232,378,424,0,227,1310,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5033,2,231,5266,7626,
13,HIDALGO,39,MINERAL DEL MONTE,12,22,23,314,511,156,920,2031,343,1959,1054,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7616,5,333,7954,11745,
13,HIDALGO,40,MINERAL DE LA REFORMA,94,252,252,14170,7963,812,4350,3697,15010,27559,14838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88399,138,3969,92506,149695,
13,HIDALGO,41,MIXQUIAHUALA DE JUAREZ,22,60,61,616,1035,122,6264,720,4673,2108,1134,0,0,0,0,5960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22632,10,941,23583,35507,
13,HIDALGO,42,MOLANGO DE ESCAMILLA,15,19,20,0,127,168,471,771,1550,1847,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5928,2,293,6223,8460,
13,HIDALGO,43,NICOLAS FLORES,19,20,20,1900,65,0,0,0,0,1196,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804,3,95,3902,5430,
13,HIDALGO,44,NOPALA DE VILLAGRAN,10,21,21,478,778,239,1175,1819,1329,1384,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7947,5,362,8314,12175,
13,HIDALGO,45,OMITLAN DE JUAREZ,10,14,14,419,681,209,490,454,84,1718,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4980,5,209,5194,7749,
13,HIDALGO,46,PACULA,10,11,11,1173,20,0,218,0,0,936,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2850,0,87,2937,4259,
13,HIDALGO,47,PACHUCA DE SOTO,141,410,413,12905,20971,6451,10058,5920,15978,52684,28367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153334,299,6754,160387,248574,
13,HIDALGO,48,PISAFLORES,20,28,28,0,3446,21,390,3673,60,338,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8109,7,465,8581,13712,
13,HIDALGO,49,PROGRESO DE OBREGON,12,31,31,661,1075,330,6097,1212,505,1737,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12552,9,459,13020,19237,
13,HIDALGO,50,SAN AGUSTIN METZQUITITLAN,13,18,19,51,84,25,1622,825,0,1810,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5391,6,185,5582,7913,
13,HIDALGO,51,SAN AGUSTIN TLAXIACA,18,46,47,410,666,204,1133,2409,6616,4013,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17611,96,751,18458,27388,
13,HIDALGO,52,SAN BARTOLO TUTOTEPEC,17,30,30,1025,1667,512,0,535,0,3394,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8960,11,610,9581,13626,
13,HIDALGO,53,SAN FELIPE ORIZATLAN,24,55,56,1535,1837,0,8763,1838,263,3128,1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19048,3,1023,20074,29468,
13,HIDALGO,54,SAN SALVADOR,24,49,49,2271,988,0,4193,1397,431,5503,2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17745,39,757,18541,28057,
13,HIDALGO,55,SANTIAGO DE ANAYA,19,29,29,147,240,73,2313,296,1979,1990,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8109,566,496,9171,14066,
13,HIDALGO,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,11,44,44,0,5296,344,328,1353,498,3679,1980,0,0,0,0,0,0,0,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,16409,14,728,17151,28847,
13,HIDALGO,57,SINGUILUCAN,11,24,24,2781,527,0,2040,146,0,1935,1041,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,9267,1,590,9858,13768,
13,HIDALGO,58,TASQUILLO,19,30,30,230,375,115,587,1851,0,1378,742,1410,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8503,0,416,8919,15330,
13,HIDALGO,59,TECOZAUTLA,25,51,51,1282,2085,641,4201,3287,0,3466,1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16828,1,683,17512,29419,
13,HIDALGO,60,TENANGO DE DORIA,14,26,27,146,238,73,410,791,3118,2250,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8237,8,447,8692,13093,
13,HIDALGO,61,TEPEAPULCO,38,81,82,1736,2821,868,1800,3646,1711,5531,2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7163,0,28254,18,1198,29470,46963,
13,HIDALGO,62,TEPEHUACAN DE GUERRERO,33,47,48,1762,2864,881,1877,0,252,4294,2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14241,12,721,14974,21386,
13,HIDALGO,63,TEPEJI DEL RIO DE OCAMPO,33,111,112,2129,3461,1064,8453,8149,1830,10675,5748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41509,29,1609,43147,69049,
13,HIDALGO,64,TEPETITLAN,8,16,16,1728,110,0,2309,0,241,1119,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6109,3,225,6337,8469,
13,HIDALGO,65,TETEPANGO,7,16,16,25,41,12,2100,3149,0,1049,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6940,1,169,7110,9564,
13,HIDALGO,66,TEZONTEPEC DE ALDAMA,24,68,69,2447,3977,1223,4784,327,785,4864,2618,0,0,7020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28045,1,1071,29117,40537,
13,HIDALGO,67,TIANGUISTENGO,16,24,24,23,38,11,3416,158,82,3167,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8599,3,369,8971,11534,
13,HIDALGO,68,TIZAYUCA,54,194,195,6315,10262,3157,9613,2319,5893,18678,10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66294,51,2753,69098,122820,
13,HIDALGO,69,TLAHUELILPAN,9,25,26,216,352,108,3024,2189,458,1844,992,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,9687,4,392,10083,14384,
13,HIDALGO,70,TLAHUILTEPA,17,21,21,196,319,97,1937,0,0,1559,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4947,6,157,5110,7393,
13,HIDALGO,71,TLANALAPA,8,16,16,456,742,228,684,1177,318,1055,567,0,0,0,0,0,0,0,0,0,1102,0,0,0,0,0,0,0,0,0,0,0,6329,7,216,6552,9059,
13,HIDALGO,72,TLANCHINOL,26,55,56,7733,671,0,3224,0,517,3680,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17806,15,1170,18991,27038,
