CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,C_PAN_PRI_PRD,C_MORENA_NAH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,958,11,11,0,0,0,207,167,422,1448,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4411,4,155,4570,7043
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,959,8,8,0,0,0,188,121,355,525,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3018,6,154,3178,5516
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,960,19,19,0,0,0,463,288,873,2192,3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7636,16,300,7952,13370
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,961,3,3,0,0,0,56,28,125,541,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,36,1246,1580
4,13,HIDALGO,13,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1718,2,2,0,0,0,41,23,34,93,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,17,472,759
4,13,HIDALGO,13,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1794,3,3,0,0,0,92,43,175,601,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1449,1,42,1492,2037
4,13,HIDALGO,13,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1795,4,4,0,0,0,112,53,197,469,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881,0,55,1936,2878
4,13,HIDALGO,13,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1796,2,2,0,0,0,43,19,102,541,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,0,27,1053,1389
4,13,HIDALGO,13,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1797,4,4,0,0,0,140,84,202,474,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,1,59,1974,2903
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1798,3,3,0,0,0,51,43,61,170,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,1,62,923,1683
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1799,3,3,0,0,0,50,43,130,236,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,1,61,1349,2032
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1800,4,4,0,0,0,58,35,78,192,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,0,68,1119,2371
