CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,27,TABASCO,7,CENTRO,4,CENTRO,272,2,2,18,21,11,30,17,20,265,,,382,0,32,414,751
3,27,TABASCO,7,CENTRO,4,CENTRO,277,2,2,95,71,19,58,23,82,367,,,715,0,46,761,1113
3,27,TABASCO,7,CENTRO,4,CENTRO,278,2,2,79,71,39,21,18,57,255,,,540,0,22,562,796
3,27,TABASCO,7,CENTRO,4,CENTRO,279,1,1,70,53,14,14,14,41,149,,,355,0,21,376,559
3,27,TABASCO,7,CENTRO,4,CENTRO,280,2,2,19,42,12,53,67,46,571,,,810,1,62,873,1471
3,27,TABASCO,7,CENTRO,4,CENTRO,281,2,2,13,28,13,42,28,39,481,,,644,0,53,697,1259
3,27,TABASCO,7,CENTRO,4,CENTRO,285,1,1,19,25,5,21,12,24,180,,,286,3,14,303,547
3,27,TABASCO,7,CENTRO,4,CENTRO,286,2,2,38,45,17,22,11,35,293,,,461,1,31,493,828
3,27,TABASCO,7,CENTRO,4,CENTRO,287,1,1,30,44,9,17,15,24,211,,,350,0,27,377,608
3,27,TABASCO,7,CENTRO,4,CENTRO,288,4,4,35,38,15,29,14,48,268,,,447,1,26,474,774
3,27,TABASCO,7,CENTRO,4,CENTRO,289,1,1,41,38,17,25,14,38,250,,,423,0,18,441,669
3,27,TABASCO,7,CENTRO,4,CENTRO,294,1,1,19,57,11,22,23,51,272,,,455,0,32,487,738
3,27,TABASCO,7,CENTRO,4,CENTRO,295,1,1,19,23,14,24,12,27,241,,,360,0,34,394,656
3,27,TABASCO,7,CENTRO,4,CENTRO,296,2,2,17,37,18,30,19,49,318,,,488,1,24,513,841
3,27,TABASCO,7,CENTRO,4,CENTRO,297,2,2,23,24,12,29,21,30,311,,,450,2,29,481,773
3,27,TABASCO,7,CENTRO,4,CENTRO,298,1,1,15,25,3,8,10,22,124,,,207,0,5,212,309
3,27,TABASCO,7,CENTRO,4,CENTRO,299,2,2,50,54,16,48,27,54,386,,,635,2,47,684,1014
3,27,TABASCO,7,CENTRO,4,CENTRO,1154,1,1,5,7,6,8,16,12,202,,,256,0,30,286,555
3,27,TABASCO,7,CENTRO,4,CENTRO,1155,4,4,110,111,29,137,105,161,1068,,,1721,3,91,1815,2748
3,27,TABASCO,7,CENTRO,4,CENTRO,1156,4,4,57,74,26,124,114,120,974,,,1489,0,91,1580,2956
3,27,TABASCO,7,CENTRO,4,CENTRO,1157,3,3,69,68,26,82,70,106,736,,,1157,0,70,1227,1999
3,27,TABASCO,7,CENTRO,4,CENTRO,1158,4,4,55,66,17,75,82,79,810,,,1184,1,95,1280,2802
3,27,TABASCO,7,CENTRO,4,CENTRO,1159,4,4,23,52,15,77,98,71,907,,,1243,1,116,1360,2784
3,27,TABASCO,8,CENTRO,4,CENTRO,0,0,2,0,0,0,0,0,0,2,,,2,0,1,3,4
3,27,TABASCO,8,CENTRO,4,CENTRO,268,2,2,109,90,24,39,21,50,259,,,592,1,28,621,860
3,27,TABASCO,8,CENTRO,4,CENTRO,273,3,3,56,67,15,73,30,71,615,,,927,2,61,990,1622
3,27,TABASCO,8,CENTRO,4,CENTRO,274,2,2,64,70,24,60,31,55,495,,,799,1,38,838,1280
3,27,TABASCO,8,CENTRO,4,CENTRO,275,2,2,161,154,35,57,24,92,372,,,895,1,43,939,1312
3,27,TABASCO,8,CENTRO,4,CENTRO,276,2,2,110,76,29,25,27,56,216,,,539,0,33,572,838
3,27,TABASCO,8,CENTRO,4,CENTRO,302,2,2,73,49,19,51,50,56,483,,,781,0,43,824,1393
3,27,TABASCO,8,CENTRO,4,CENTRO,303,2,2,15,56,8,46,39,28,466,,,658,1,54,713,1104
3,27,TABASCO,8,CENTRO,4,CENTRO,304,3,3,29,72,16,99,48,74,614,,,952,0,70,1022,1683
3,27,TABASCO,8,CENTRO,4,CENTRO,314,5,5,80,142,32,95,118,115,1246,,,1828,1,125,1954,3577
3,27,TABASCO,8,CENTRO,4,CENTRO,315,3,3,56,58,23,89,40,82,483,,,831,6,67,904,1537
3,27,TABASCO,8,CENTRO,4,CENTRO,316,2,2,21,37,11,50,42,32,366,,,559,0,43,602,1024
3,27,TABASCO,8,CENTRO,4,CENTRO,327,2,2,16,22,10,46,25,45,404,,,568,0,41,609,1060
3,27,TABASCO,8,CENTRO,4,CENTRO,328,2,2,30,45,9,64,46,48,440,,,682,1,48,731,1270
3,27,TABASCO,8,CENTRO,4,CENTRO,342,3,3,55,84,22,40,36,55,406,,,698,0,65,763,860
3,27,TABASCO,8,CENTRO,4,CENTRO,343,2,2,27,42,14,42,44,38,427,,,634,0,59,693,1158
3,27,TABASCO,8,CENTRO,4,CENTRO,344,2,2,29,38,10,52,23,36,523,,,711,0,60,771,1423
3,27,TABASCO,8,CENTRO,4,CENTRO,345,3,3,43,69,27,97,57,80,725,,,1098,0,101,1199,2114
3,27,TABASCO,8,CENTRO,4,CENTRO,346,2,2,19,50,14,33,22,44,470,,,652,0,56,708,1204
3,27,TABASCO,8,CENTRO,4,CENTRO,347,2,2,12,29,7,47,35,37,373,,,540,0,47,587,950
3,27,TABASCO,8,CENTRO,4,CENTRO,348,2,2,11,32,7,50,19,38,389,,,546,0,43,589,916
3,27,TABASCO,8,CENTRO,4,CENTRO,349,2,2,24,38,10,46,32,42,344,,,536,0,46,582,899
3,27,TABASCO,8,CENTRO,4,CENTRO,366,1,1,24,47,7,35,25,38,267,,,443,0,43,486,718
3,27,TABASCO,8,CENTRO,4,CENTRO,367,2,2,34,38,17,52,34,38,398,,,611,2,43,656,1011
3,27,TABASCO,8,CENTRO,4,CENTRO,368,2,2,60,83,17,105,87,64,411,,,827,5,47,879,1303
3,27,TABASCO,8,CENTRO,4,CENTRO,369,2,2,59,63,29,76,57,67,495,,,846,0,51,897,1322
3,27,TABASCO,8,CENTRO,4,CENTRO,370,1,1,28,35,11,39,29,39,264,,,445,1,14,460,653
3,27,TABASCO,8,CENTRO,4,CENTRO,371,2,2,37,46,7,51,34,64,556,,,795,0,30,825,1241
3,27,TABASCO,8,CENTRO,4,CENTRO,372,11,11,107,323,73,321,245,242,2521,,,3832,7,304,4143,7877
3,27,TABASCO,8,CENTRO,4,CENTRO,373,2,2,13,46,24,68,40,45,468,,,704,0,51,755,1221
3,27,TABASCO,8,CENTRO,4,CENTRO,374,2,2,21,25,14,66,31,37,421,,,615,0,43,658,1065
3,27,TABASCO,8,CENTRO,4,CENTRO,375,2,2,34,47,13,59,39,49,396,,,637,0,42,679,1082
3,27,TABASCO,8,CENTRO,4,CENTRO,376,2,2,50,40,10,41,34,51,382,,,608,3,47,658,1045
3,27,TABASCO,8,CENTRO,4,CENTRO,392,4,4,21,47,17,47,37,35,435,,,639,0,45,684,1167
3,27,TABASCO,8,CENTRO,4,CENTRO,393,3,3,27,74,17,93,58,60,589,,,918,0,86,1004,1817
3,27,TABASCO,8,CENTRO,4,CENTRO,394,2,2,31,42,14,49,34,35,403,,,608,1,54,663,1180
3,27,TABASCO,8,CENTRO,4,CENTRO,395,2,2,13,29,14,56,35,33,369,,,549,1,50,600,1033
3,27,TABASCO,8,CENTRO,4,CENTRO,396,2,2,17,21,10,56,31,39,394,,,568,0,30,598,900
3,27,TABASCO,8,CENTRO,4,CENTRO,397,3,3,21,59,26,77,56,46,571,,,856,0,90,946,1634
3,27,TABASCO,8,CENTRO,4,CENTRO,398,7,7,227,179,73,231,158,234,1796,,,2898,1,181,3080,4908
3,27,TABASCO,8,CENTRO,4,CENTRO,399,2,2,34,69,26,62,30,46,407,,,674,1,41,716,1236
3,27,TABASCO,8,CENTRO,4,CENTRO,400,2,2,12,45,9,46,35,39,454,,,640,1,50,691,1263
3,27,TABASCO,8,CENTRO,4,CENTRO,408,2,2,32,58,27,79,38,46,530,,,810,1,46,857,1451
3,27,TABASCO,8,CENTRO,4,CENTRO,409,2,2,22,50,16,64,29,43,529,,,753,0,31,784,1305
3,27,TABASCO,8,CENTRO,4,CENTRO,410,5,5,69,79,38,140,60,101,1089,,,1576,0,144,1720,3133
3,27,TABASCO,8,CENTRO,4,CENTRO,452,13,13,633,438,118,315,174,418,2627,,,4723,2,289,5014,8778
3,27,TABASCO,8,CENTRO,4,CENTRO,453,3,3,41,45,13,79,68,61,778,,,1085,0,91,1176,2157
3,27,TABASCO,8,CENTRO,4,CENTRO,458,4,4,12,60,10,90,37,63,1165,,,1437,0,102,1539,2917
3,27,TABASCO,8,CENTRO,4,CENTRO,465,5,5,37,87,25,106,114,83,1308,,,1760,0,128,1888,3361
3,27,TABASCO,8,CENTRO,4,CENTRO,1166,3,3,18,36,6,72,42,46,635,,,855,0,92,947,1890
3,27,TABASCO,8,CENTRO,4,CENTRO,1167,3,3,13,43,16,75,39,29,746,,,961,0,81,1042,1965
3,27,TABASCO,9,CENTRO,4,CENTRO,0,0,2,0,3,1,1,0,0,7,,0,12,0,0,12,15
3,27,TABASCO,9,CENTRO,4,CENTRO,282,2,2,12,46,12,66,61,33,449,,14,693,1,70,764,1315
3,27,TABASCO,9,CENTRO,4,CENTRO,283,2,2,9,45,21,51,29,38,436,,3,632,0,30,662,1123
3,27,TABASCO,9,CENTRO,4,CENTRO,284,1,1,23,40,15,16,16,29,190,,8,337,0,8,345,650
3,27,TABASCO,9,CENTRO,4,CENTRO,290,3,3,18,65,17,58,71,39,636,,19,923,0,76,999,1713
3,27,TABASCO,9,CENTRO,4,CENTRO,291,3,3,34,79,34,64,42,72,532,,20,877,2,29,908,1501
3,27,TABASCO,9,CENTRO,4,CENTRO,292,2,2,31,65,30,30,17,31,244,,11,459,0,25,484,815
3,27,TABASCO,9,CENTRO,4,CENTRO,293,1,1,18,45,21,27,17,24,189,,4,345,0,21,366,592
3,27,TABASCO,9,CENTRO,4,CENTRO,300,2,2,18,53,35,58,43,41,391,,16,655,0,30,685,982
3,27,TABASCO,9,CENTRO,4,CENTRO,301,2,2,49,51,20,42,20,35,256,,9,482,2,33,517,802
3,27,TABASCO,9,CENTRO,4,CENTRO,305,2,2,39,61,32,60,30,48,331,,3,604,1,15,620,1003
3,27,TABASCO,9,CENTRO,4,CENTRO,306,2,2,33,59,20,31,45,40,375,,8,611,1,38,650,945
3,27,TABASCO,9,CENTRO,4,CENTRO,307,2,2,38,74,27,35,25,90,322,,3,614,1,28,643,995
3,27,TABASCO,9,CENTRO,4,CENTRO,308,1,1,13,25,22,45,10,20,224,,11,370,0,28,398,655
3,27,TABASCO,9,CENTRO,4,CENTRO,309,1,1,35,71,23,17,10,38,209,,0,403,0,24,427,647
3,27,TABASCO,9,CENTRO,4,CENTRO,310,2,2,18,77,30,34,24,33,238,,7,461,1,32,494,774
3,27,TABASCO,9,CENTRO,4,CENTRO,311,2,2,22,41,20,41,21,27,305,,6,483,1,26,510,798
3,27,TABASCO,9,CENTRO,4,CENTRO,312,2,2,59,61,35,62,24,48,418,,14,721,0,43,764,1223
3,27,TABASCO,9,CENTRO,4,CENTRO,313,1,1,38,33,15,21,24,18,198,,9,356,0,22,378,604
3,27,TABASCO,9,CENTRO,4,CENTRO,317,1,1,16,53,14,36,21,22,265,,9,436,1,17,454,745
3,27,TABASCO,9,CENTRO,4,CENTRO,318,1,1,10,37,11,20,8,21,156,,0,263,1,22,286,422
3,27,TABASCO,9,CENTRO,4,CENTRO,319,2,2,25,31,20,34,28,29,332,,5,504,1,24,529,805
3,27,TABASCO,9,CENTRO,4,CENTRO,320,2,2,28,62,27,67,37,55,505,,14,795,6,46,847,1348
3,27,TABASCO,9,CENTRO,4,CENTRO,321,1,1,50,57,22,40,16,41,200,,0,426,0,26,452,711
3,27,TABASCO,9,CENTRO,4,CENTRO,322,1,1,19,44,12,39,19,19,182,,1,335,1,26,362,569
3,27,TABASCO,9,CENTRO,4,CENTRO,323,2,2,20,56,13,41,15,34,306,,1,486,0,30,516,881
3,27,TABASCO,9,CENTRO,4,CENTRO,324,2,2,22,80,24,46,16,40,288,,8,524,1,31,556,948
3,27,TABASCO,9,CENTRO,4,CENTRO,325,2,2,21,51,21,41,16,38,289,,1,478,4,27,509,808
3,27,TABASCO,9,CENTRO,4,CENTRO,326,2,2,62,48,37,44,28,46,252,,3,520,0,37,557,871
3,27,TABASCO,9,CENTRO,4,CENTRO,329,2,2,16,59,27,36,36,34,329,,7,544,0,29,573,1003
3,27,TABASCO,9,CENTRO,4,CENTRO,330,2,2,13,63,26,41,32,32,326,,10,543,0,33,576,958
3,27,TABASCO,9,CENTRO,4,CENTRO,331,1,1,18,53,20,40,24,39,273,,9,476,0,21,497,742
3,27,TABASCO,9,CENTRO,4,CENTRO,332,2,2,31,64,21,43,25,38,371,,22,615,0,34,649,1071
3,27,TABASCO,9,CENTRO,4,CENTRO,333,1,1,25,55,15,29,15,22,216,,8,385,0,25,410,703
3,27,TABASCO,9,CENTRO,4,CENTRO,334,2,2,6,46,31,47,37,48,479,,13,707,2,75,784,1398
3,27,TABASCO,9,CENTRO,4,CENTRO,335,2,2,13,59,33,41,22,19,307,,15,509,2,23,534,781
3,27,TABASCO,9,CENTRO,4,CENTRO,336,1,1,6,51,27,41,9,17,258,,8,417,0,19,436,596
3,27,TABASCO,9,CENTRO,4,CENTRO,337,2,2,17,42,20,48,15,23,363,,16,544,1,30,575,1017
3,27,TABASCO,9,CENTRO,4,CENTRO,338,2,2,37,86,32,46,28,29,308,,9,575,1,24,600,872
3,27,TABASCO,9,CENTRO,4,CENTRO,339,1,1,16,39,15,23,15,26,160,,4,298,0,22,320,454
3,27,TABASCO,9,CENTRO,4,CENTRO,340,2,2,47,119,28,48,32,46,328,,9,657,2,34,693,1068
3,27,TABASCO,9,CENTRO,4,CENTRO,341,2,2,20,56,18,26,11,33,218,,5,387,0,26,413,706
3,27,TABASCO,9,CENTRO,4,CENTRO,350,2,2,48,87,34,56,31,57,445,,17,775,1,48,824,1324
3,27,TABASCO,9,CENTRO,4,CENTRO,351,1,1,31,52,23,32,19,24,227,,12,420,0,27,447,740
3,27,TABASCO,9,CENTRO,4,CENTRO,352,2,2,111,95,33,30,25,48,268,,12,622,0,26,648,954
3,27,TABASCO,9,CENTRO,4,CENTRO,353,2,2,22,52,10,38,25,28,315,,6,496,0,38,534,928
3,27,TABASCO,9,CENTRO,4,CENTRO,354,2,2,42,94,48,57,27,64,293,,1,626,4,42,672,1028
3,27,TABASCO,9,CENTRO,4,CENTRO,355,2,2,12,37,8,49,31,26,413,,0,576,0,38,614,948
3,27,TABASCO,9,CENTRO,4,CENTRO,356,3,3,25,66,19,65,25,38,790,,10,1038,0,47,1085,1778
3,27,TABASCO,9,CENTRO,4,CENTRO,357,2,2,6,47,22,62,19,46,469,,0,671,1,52,724,1152
3,27,TABASCO,9,CENTRO,4,CENTRO,358,3,3,30,107,33,76,28,49,691,,13,1027,1,78,1106,1740
3,27,TABASCO,9,CENTRO,4,CENTRO,359,3,3,14,76,29,92,38,49,794,,24,1116,3,64,1183,2027
3,27,TABASCO,9,CENTRO,4,CENTRO,360,3,3,28,74,26,78,70,41,742,,22,1081,3,82,1166,1995
3,27,TABASCO,9,CENTRO,4,CENTRO,361,3,3,11,82,31,101,44,45,812,,24,1150,0,79,1229,2183
3,27,TABASCO,9,CENTRO,4,CENTRO,362,2,2,21,75,17,71,22,303,266,,0,775,16,450,1241,1319
3,27,TABASCO,9,CENTRO,4,CENTRO,363,2,2,35,71,33,32,22,39,384,,10,626,0,43,669,938
3,27,TABASCO,9,CENTRO,4,CENTRO,364,2,2,37,59,20,53,26,132,326,,4,657,5,40,702,953
3,27,TABASCO,9,CENTRO,4,CENTRO,365,2,2,33,49,33,47,31,36,332,,6,567,0,28,595,962
3,27,TABASCO,9,CENTRO,4,CENTRO,377,2,2,42,95,25,77,37,43,301,,0,620,0,35,655,1035
3,27,TABASCO,9,CENTRO,4,CENTRO,378,1,1,42,59,22,31,17,27,205,,4,407,0,21,428,668
3,27,TABASCO,9,CENTRO,4,CENTRO,379,2,2,24,55,21,49,28,40,391,,9,617,0,35,652,1056
3,27,TABASCO,9,CENTRO,4,CENTRO,380,2,2,42,46,17,45,33,40,282,,9,514,1,35,550,793
3,27,TABASCO,9,CENTRO,4,CENTRO,381,2,2,12,42,15,57,21,14,421,,9,591,0,25,616,1115
3,27,TABASCO,9,CENTRO,4,CENTRO,382,3,3,15,87,41,85,55,48,713,,14,1058,1,52,1111,2021
3,27,TABASCO,9,CENTRO,4,CENTRO,383,4,4,23,81,32,112,53,61,835,,53,1250,0,90,1340,2314
3,27,TABASCO,9,CENTRO,4,CENTRO,384,3,3,18,75,27,81,41,50,691,,15,998,0,70,1068,1811
3,27,TABASCO,9,CENTRO,4,CENTRO,385,2,2,20,67,24,53,23,37,326,,7,557,0,37,594,977
3,27,TABASCO,9,CENTRO,4,CENTRO,386,2,2,24,54,13,49,25,43,359,,6,573,0,38,611,928
3,27,TABASCO,9,CENTRO,4,CENTRO,387,2,2,25,74,27,48,31,36,350,,28,619,2,36,657,1040
3,27,TABASCO,9,CENTRO,4,CENTRO,388,2,2,106,123,38,60,31,68,404,,10,840,3,45,888,1317
3,27,TABASCO,9,CENTRO,4,CENTRO,389,1,1,66,85,36,22,13,35,198,,1,456,0,11,467,646
3,27,TABASCO,9,CENTRO,4,CENTRO,390,1,1,32,64,16,18,28,17,235,,4,414,0,21,435,659
3,27,TABASCO,9,CENTRO,4,CENTRO,391,2,2,38,43,22,68,31,52,436,,18,708,1,49,758,1285
3,27,TABASCO,9,CENTRO,4,CENTRO,401,4,4,111,174,56,103,65,114,874,,26,1523,3,85,1611,2472
3,27,TABASCO,9,CENTRO,4,CENTRO,402,2,2,58,84,33,36,39,52,323,,4,629,0,41,670,962
3,27,TABASCO,9,CENTRO,4,CENTRO,403,2,2,32,82,30,43,23,33,407,,9,659,1,44,704,1165
3,27,TABASCO,9,CENTRO,4,CENTRO,404,3,3,76,158,50,90,59,324,502,,7,1266,0,59,1325,2136
3,27,TABASCO,9,CENTRO,4,CENTRO,406,2,2,28,39,28,52,36,39,347,,11,580,1,40,621,1108
3,27,TABASCO,9,CENTRO,4,CENTRO,413,2,2,10,42,25,58,17,32,392,,20,596,0,46,642,1207
3,27,TABASCO,9,CENTRO,4,CENTRO,414,2,2,13,58,24,52,17,34,473,,0,671,2,37,710,1222
3,27,TABASCO,9,CENTRO,4,CENTRO,415,6,6,298,262,146,190,86,188,1363,,28,2561,5,93,2659,4361
3,27,TABASCO,9,CENTRO,4,CENTRO,416,9,9,338,404,140,245,152,322,1890,,48,3539,8,165,3712,6191
3,27,TABASCO,9,CENTRO,4,CENTRO,417,2,2,60,53,18,41,39,50,338,,4,603,1,34,638,907
3,27,TABASCO,10,CENTRO,4,CENTRO,0,0,2,1,3,0,0,0,1,2,,,7,0,0,7,8
3,27,TABASCO,10,CENTRO,4,CENTRO,457,3,3,40,36,26,107,51,20,615,,,895,0,93,988,1702
3,27,TABASCO,10,CENTRO,4,CENTRO,466,3,3,49,58,20,125,49,20,749,,,1070,4,92,1166,2081
3,27,TABASCO,10,CENTRO,4,CENTRO,471,2,2,62,74,11,75,54,9,496,,,781,0,65,846,1409
3,27,TABASCO,10,CENTRO,4,CENTRO,473,3,3,102,48,14,59,13,17,253,,,506,0,56,562,975
3,27,TABASCO,10,CENTRO,4,CENTRO,474,9,9,42,93,76,303,174,39,2032,,,2759,1,247,3007,6533
3,27,TABASCO,10,CENTRO,4,CENTRO,483,3,3,62,100,36,126,121,23,834,,,1302,0,79,1381,2117
3,27,TABASCO,10,CENTRO,4,CENTRO,484,6,6,100,118,51,240,161,36,1491,,,2197,2,123,2322,3807
3,27,TABASCO,10,CENTRO,4,CENTRO,485,3,3,35,53,36,139,74,20,774,,,1131,1,67,1199,1841
3,27,TABASCO,10,CENTRO,4,CENTRO,486,9,9,195,224,102,391,229,60,2456,,,3657,0,211,3868,6654
3,27,TABASCO,10,CENTRO,4,CENTRO,487,4,4,74,111,41,120,118,29,1018,,,1511,21,67,1599,2639
3,27,TABASCO,10,CENTRO,4,CENTRO,488,1,1,9,17,5,31,39,6,297,,,404,0,37,441,711
3,27,TABASCO,10,CENTRO,4,CENTRO,489,3,3,23,41,19,101,36,22,650,,,892,0,77,969,1844
3,27,TABASCO,10,CENTRO,4,CENTRO,493,2,2,15,21,8,52,22,7,517,,,642,0,48,690,1274
3,27,TABASCO,10,CENTRO,4,CENTRO,499,1,1,9,8,12,66,18,4,227,,,344,0,44,388,641
3,27,TABASCO,10,CENTRO,4,CENTRO,501,4,4,33,30,15,85,44,9,766,,,982,3,105,1090,1971
3,27,TABASCO,10,CENTRO,4,CENTRO,503,6,6,68,83,23,159,94,27,1339,,,1793,0,154,1947,4260
3,27,TABASCO,10,CENTRO,4,CENTRO,504,2,2,15,45,11,262,40,14,554,,,941,0,73,1014,1423
3,27,TABASCO,10,CENTRO,4,CENTRO,505,2,2,13,17,14,38,37,11,547,,,677,0,83,760,1364
3,27,TABASCO,10,CENTRO,4,CENTRO,509,1,1,3,5,3,33,5,4,233,,,286,0,12,298,531
3,27,TABASCO,10,CENTRO,4,CENTRO,1160,4,4,27,48,31,201,83,22,921,,,1333,1,88,1422,2826
3,27,TABASCO,10,CENTRO,4,CENTRO,1161,4,4,15,59,30,180,73,16,1042,,,1415,1,116,1532,2736
3,27,TABASCO,10,CENTRO,4,CENTRO,1162,3,3,17,18,28,81,38,10,589,,,781,2,80,863,1614
3,27,TABASCO,10,CENTRO,4,CENTRO,1172,4,4,49,70,36,137,103,29,949,,,1373,0,91,1464,2860
3,27,TABASCO,10,CENTRO,4,CENTRO,1173,4,4,14,54,16,83,73,25,555,,,820,196,89,1105,2754
3,27,TABASCO,10,CENTRO,4,CENTRO,1174,4,4,43,60,14,131,107,17,1077,,,1449,11,81,1541,2925
