CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,UDC,MC,MORENA,CAND_IND1,CAND_IND2,PRI_PRD_UDC,PRI_PRD,PRI_UDC,PRD_UDC,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,5,COAHUILA,7,MATAMOROS,35,TORREON,1473,B,1,0,B,0,4,223,0,6,12,0,3,113,0,0,1,0,0,0,2,364,0,22,386,539,Grupo de recuento,,,
2,5,COAHUILA,7,MATAMOROS,35,TORREON,1474,B,1,0,B,0,1,152,0,1,9,0,1,72,0,0,0,0,0,0,0,236,0,7,243,337,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1475,B,1,0,B,0,3,184,0,3,69,0,3,176,0,0,6,1,2,0,20,467,0,18,485,658,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1475,C,1,0,C01,0,5,193,1,1,68,1,0,192,0,0,1,1,1,0,24,488,0,9,497,657,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1476,B,1,0,B,0,4,158,0,1,30,0,1,160,0,0,2,0,0,0,19,375,0,5,380,533,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1476,C,1,0,C01,0,1,160,0,1,50,0,1,143,0,0,3,0,0,0,26,385,0,13,398,533,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1476,C,2,0,C02,0,9,133,0,0,66,1,0,142,0,0,5,4,1,0,20,381,0,6,387,533,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1477,B,1,0,B,0,0,58,0,1,59,1,1,74,0,0,0,0,0,0,3,197,0,2,199,269,Acta levantada en consejo,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1477,E,1,0,E01,0,0,39,0,0,11,0,0,31,0,0,0,1,0,0,1,83,0,2,85,107,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1478,B,1,0,B,0,2,217,1,2,30,2,4,189,0,0,4,0,0,0,8,459,0,12,471,593,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1479,B,1,0,B,0,1,217,1,3,40,0,0,305,0,0,2,1,1,0,13,584,1,14,599,748,Acta casilla,,,
2,5,COAHUILA,7,MATAMOROS,36,VIESCA,1480,B,1,0,B,0,0,266,3,4,8,1,2,82,0,0,3,3,3,0,4,379,0,15,394,499,Acta casilla,,,
