CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PAN_PRI_1,C_PAN_PRD_1,C_PAN_PRD_PUP,C_PAN_PRD_2,C_PAN_PUP,C_PRD_PUP,C_PAN_PRD_NAO,C_PAN_PRD_3,C_PAN_NAO,C_PRD_NAO,C_PRI_PRD_1,C_PRD_PUP_1,C_PRD_NAO_1,C_PVEM_MORENA_NAO_FXMO,C_PVEM_MORENA_NAO,C_PVEM_MORENA_FXMO,C_PVEM_NAO_FXMO,C_MORENA_NAO_FXMO,C_PVEM_MORENA,C_PVEM_NAO,C_PVEM_FXMO,C_MORENA_NAO,C_MORENA_FXMO,C_NAO_FXMO,C_PVEM_MORENA_NAO_1,C_PVEM_MORENA_1,C_PVEM_NAO_1,C_MORENA_NAO_1,C_PVEM_MORENA_2,C_PVEM_MORENA_FXMO_1,C_PVEM_MORENA_3,C_PVEM_FXMO_1,C_MORENA_FXMO_1,C_PVEM_NAO_2,C_PVEM_FXMO_2,C_PT_PUP_NAO,C_PT_PUP,C_PT_NAO,C_PUP_NAO,C_PT_PUP_1,C_PT_NAO_1,C_MORENA_NAO_FXMO_1,C_MORENA_NAO_2,C_MORENA_FXMO_2,C_NAO_FXMO_1,C_MORENA_NAO_3,C_MORENA_FXMO_3,C_PUP_NAO_FXMO,C_PUP_NAO_1,C_PUP_FXMO,C_NAO_FXMO_2,C_PUP_NAO_2,C_PUP_FXMO_1,C_NAO_FXMO_3,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,6,C,1,0,C01,0,0,22,3,32,21,7,257,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,28,376,553,ACTA CASILLA,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,6,C,2,0,C02,0,0,21,2,33,12,10,307,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,25,414,553,ACTA CASILLA,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,7,B,1,0,B,0,0,7,1,29,16,7,209,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,19,292,454,GRUPO DE RECUENTO,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,7,C,1,0,C01,0,0,12,3,23,27,8,245,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,24,346,453,ACTA CASILLA,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,8,B,1,0,B,0,0,40,0,7,50,6,158,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,5,276,410,GRUPO DE RECUENTO,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,8,C,1,0,C01,0,0,0,2,9,82,7,150,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,15,269,410,GRUPO DE RECUENTO,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,9,B,1,0,B,0,0,12,3,17,102,1,315,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,13,475,675,GRUPO DE RECUENTO,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,10,B,1,0,B,0,0,17,4,15,64,3,263,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,10,387,586,ACTA CASILLA,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,10,C,1,0,C01,0,0,16,2,11,63,1,300,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,9,413,585,ACTA CASILLA,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,11,B,1,0,B,0,0,6,1,21,73,5,171,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,9,296,525,ACTA CASILLA,,,
