ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,437,SANTA MARIA TEXCATITLAN,1,1,1,,,,,15,,217,,,201,,,,,,,,,433,0,31,464,741,
20,OAXACA,440,SANTA MARIA TONAMECA,10,35,36,2184,1215,,2871,2612,,2409,125,69,479,166,,,,,,,,12130,0,569,12699,20641,
20,OAXACA,442,SANTA MARIA XADANI,4,11,11,,,,2553,408,,2190,31,,,,,,,,,,,5182,0,169,5351,7259,
20,OAXACA,448,SANTA MARIA ZACATEPEC,10,21,22,263,2706,121,,1640,223,2083,38,,35,26,,,,,,,,7135,0,328,7463,12371,
20,OAXACA,456,SANTIAGO AYUQUILILLA,2,4,4,335,,,,142,,268,,432,,,,,,,,,,1177,0,29,1206,2060,
20,OAXACA,457,SANTIAGO CACALOXTEPEC,3,3,3,361,272,3,,5,6,415,,,,14,,,,,,,,1076,0,27,1103,1537,
20,OAXACA,459,SANTIAGO CHAZUMBA,10,11,11,,652,63,,,312,1119,84,,22,,,,,,,,,2252,2,122,2376,3460,
20,OAXACA,463,SANTIAGO HUAJOLOTITLAN,4,10,10,,319,5,,645,17,306,,219,690,107,,,,,,,,2308,1,123,2432,3599,
20,OAXACA,468,SANTIAGO JAMILTEPEC,13,25,25,,80,80,4183,96,,1908,272,3359,,21,,,,,,,,9999,0,368,10367,14334,
20,OAXACA,470,SANTIAGO JUXTLAHUACA,19,49,49,,302,,4993,1681,211,6869,,608,172,,,,,,,,,14836,6,697,15539,24585,
20,OAXACA,473,SANTIAGO LAOLLAGA,3,6,6,,,,710,379,161,760,3,,,,,,,,,,,2013,1,49,2063,2858,
20,OAXACA,475,SANTIAGO LLANO GRANDE,3,5,5,,884,,,,37,1068,,,5,4,,,,,,,,1998,1,17,2016,2704,
20,OAXACA,481,SANTIAGO NILTEPEC,7,9,9,,,,1572,1571,,289,,,,,,,,,,,,3432,0,79,3511,4459,
20,OAXACA,484,SANTIAGO PINOTEPA NACIONAL,25,68,69,,446,8630,2435,961,1231,5496,1321,1676,175,73,,,,,,,,22444,54,992,23490,40501,
