CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,22,QUERETARO,1,QUERETARO,14,QUERETARO,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,0,2,6,6
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,4,5
5,22,QUERETARO,3,QUERETARO,14,QUERETARO,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
5,22,QUERETARO,5,QUERETARO,14,QUERETARO,0,0,2,4,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,13,0,0,13,16
5,22,QUERETARO,6,QUERETARO,14,QUERETARO,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
5,22,QUERETARO,6,QUERETARO,0,VOTO ANTICIPADO,0,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,7,9
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3
5,22,QUERETARO,8,CORREGIDORA,5,CORREGIDORA,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
5,22,QUERETARO,9,AMEALCO DE BONFIL,0,VOTO ANTICIPADO,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6
5,22,QUERETARO,10,SAN JUAN DEL RIO,16,SAN JUAN DEL RIO,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,4,5
5,22,QUERETARO,11,SAN JUAN DEL RIO,16,SAN JUAN DEL RIO,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5
5,22,QUERETARO,12,TEQUISQUIAPAN,17,TEQUISQUIAPAN,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
5,22,QUERETARO,12,TEQUISQUIAPAN,11,PEDRO ESCOBEDO,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3
5,22,QUERETARO,13,EL MARQUES,10,EL MARQUES,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,5,9
5,22,QUERETARO,15,JALPAN DE SERRA,0,VOTO ANTICIPADO,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,1,2,2,269,95,11,97,66,142,9,13,8,1,1,0,0,14,0,0,726,1,36,763,1071
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,2,2,2,227,114,5,93,53,123,7,10,6,1,2,4,0,18,0,0,663,0,24,687,1013
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,3,3,3,299,129,13,159,61,223,22,26,20,2,1,1,0,34,0,0,990,1,46,1037,1642
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,4,3,3,331,139,14,198,69,251,12,15,19,3,1,1,0,29,0,0,1082,0,49,1131,1824
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,5,5,5,476,150,18,215,100,305,9,28,16,7,3,2,0,36,0,0,1365,0,60,1425,1709
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,6,2,2,207,106,7,43,30,98,12,3,6,1,1,2,0,17,0,0,533,0,28,561,1032
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,7,2,2,132,86,9,75,25,83,7,3,8,2,3,0,0,15,0,0,448,0,29,477,871
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,8,2,2,196,126,7,100,28,130,15,8,9,4,1,1,0,25,0,0,650,0,43,693,1381
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,9,4,4,299,120,10,65,141,126,21,4,11,6,3,0,0,30,0,0,836,0,55,891,2093
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,10,2,2,198,95,9,90,40,124,9,9,9,6,3,0,0,40,0,0,632,0,40,672,1238
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,11,3,3,298,110,13,158,92,270,27,17,20,6,1,3,0,16,0,0,1031,0,50,1081,1714
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,12,2,2,184,84,8,46,43,151,8,6,13,4,2,0,0,24,0,0,573,1,36,610,912
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,13,4,4,345,114,19,212,63,225,18,18,14,12,5,3,0,30,0,0,1078,0,58,1136,1787
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,14,4,4,492,173,28,296,82,250,25,21,11,8,6,2,0,50,0,0,1444,7,108,1559,2692
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,15,5,5,310,88,13,110,98,470,29,13,55,21,13,4,0,29,0,0,1253,11,101,1365,2432
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,16,3,3,288,52,8,107,40,145,9,6,10,3,0,3,0,14,0,0,685,0,38,723,1205
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,17,3,3,280,144,15,141,80,267,24,11,16,6,5,5,0,37,0,0,1031,0,43,1074,1701
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,18,1,1,128,40,5,66,27,120,5,1,10,2,2,0,0,12,0,0,418,0,35,453,749
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,20,2,2,211,59,3,62,24,121,6,3,9,4,0,0,0,17,0,0,519,0,32,551,882
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,21,1,1,118,54,4,65,29,121,5,6,7,5,0,0,0,16,0,0,430,0,19,449,710
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,22,4,4,499,61,10,68,84,311,23,8,31,25,1,4,0,49,0,0,1174,3,79,1256,2206
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,23,4,4,350,140,12,172,102,348,33,16,17,4,3,1,0,19,0,0,1217,0,94,1311,2168
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,24,4,4,455,103,12,128,148,479,46,8,50,15,15,3,0,32,0,0,1494,1,170,1665,2500
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,25,3,3,212,93,4,101,78,334,20,15,21,9,4,1,0,22,0,0,914,0,54,968,1621
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,26,4,4,421,137,9,77,57,197,21,4,19,9,6,2,0,32,0,0,991,0,47,1038,1551
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,27,2,2,331,76,6,53,30,138,72,4,17,5,4,1,0,6,0,0,743,1,40,784,1229
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,28,2,2,175,74,7,51,24,124,12,7,12,9,1,0,0,22,0,0,518,0,28,546,953
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,29,2,2,247,95,4,48,24,121,22,6,10,5,1,4,0,9,0,0,596,4,31,631,999
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,30,3,3,396,97,4,71,46,171,15,8,15,2,5,2,0,22,0,0,854,3,69,926,1366
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,31,2,2,228,100,2,52,15,94,10,14,6,3,0,1,0,18,0,0,543,2,41,586,950
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,32,2,2,203,73,5,108,34,217,16,25,21,4,2,5,0,4,0,0,717,3,72,792,1386
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,33,4,4,342,121,20,148,69,322,68,16,42,11,19,8,0,35,0,0,1221,8,127,1356,2474
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,34,1,1,156,81,4,25,30,101,7,5,3,2,1,2,0,7,0,0,424,0,27,451,697
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,35,3,3,171,308,13,28,298,308,35,43,23,7,3,5,17,9,0,0,1268,0,96,1364,1895
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,36,2,2,70,102,3,9,138,101,11,4,2,5,0,3,1,6,0,0,455,0,24,479,811
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,37,1,1,16,30,0,1,50,54,5,1,0,2,0,0,5,2,0,0,166,0,6,172,278
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,38,1,1,18,33,1,2,40,15,1,1,1,1,1,0,0,5,0,0,119,0,7,126,183
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,39,4,4,159,351,6,18,337,388,40,18,21,18,5,3,8,9,1,0,1382,0,88,1470,2350
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,40,1,1,21,48,3,1,35,39,9,1,2,0,1,0,1,1,0,0,162,0,8,170,260
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,41,3,3,67,176,5,10,131,167,10,4,10,5,4,0,2,1,0,0,592,0,44,636,974
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,42,2,2,72,86,5,21,140,219,21,5,9,10,2,3,4,4,0,1,602,0,30,632,1013
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,43,2,2,95,233,3,11,84,154,10,3,1,5,0,0,4,12,0,0,615,0,22,637,953
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,44,1,1,32,100,1,4,46,51,4,1,0,1,1,0,0,2,0,0,243,0,13,256,352
5,22,QUERETARO,15,JALPAN DE SERRA,2,ARROYO SECO,45,4,4,239,401,8,43,233,646,64,18,14,11,2,5,12,11,0,0,1707,0,105,1812,2713
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,46,5,5,411,95,19,52,84,1297,65,117,31,8,2,6,11,29,5,0,2232,0,90,2322,3495
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,47,4,4,392,73,26,57,71,715,41,93,31,5,13,11,15,17,0,0,1560,1,60,1621,2338
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,48,5,5,684,230,18,71,66,822,59,124,28,11,10,10,26,21,2,0,2182,0,94,2276,2256
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,49,4,4,382,138,14,51,40,751,52,116,37,7,3,3,10,17,0,0,1621,15,53,1689,2592
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,51,2,2,173,66,9,12,27,299,13,31,9,1,0,6,8,9,0,0,663,0,17,680,902
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,52,3,3,10,6,0,6,50,277,10,4,10,5,5,1,0,2,0,0,386,0,19,405,1362
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,53,2,2,38,4,1,1,63,241,6,3,3,5,2,0,1,2,0,0,370,0,7,377,1050
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,54,2,2,75,57,7,4,22,233,28,51,7,4,5,1,0,5,0,0,499,0,32,531,923
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,55,2,2,206,123,10,5,24,314,8,61,9,1,0,3,11,10,0,0,785,0,25,810,1259
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,56,2,2,173,7,4,6,50,300,12,11,4,8,3,3,4,1,0,0,586,0,32,618,1121
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,57,2,2,131,10,3,7,37,223,14,16,11,4,0,1,5,6,0,0,468,0,25,493,778
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,58,2,2,117,21,19,15,51,409,20,34,20,9,7,1,6,5,1,0,735,0,40,775,1264
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,59,2,2,74,26,6,11,26,276,18,13,13,77,6,3,1,5,0,0,555,0,39,594,966
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,60,4,4,62,19,4,17,39,632,23,14,31,12,4,6,2,6,0,0,871,0,34,905,1697
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,61,4,4,236,97,8,19,40,435,32,508,13,13,3,5,15,18,1,1,1444,1,38,1483,2378
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,62,1,1,54,14,4,7,23,226,30,9,9,11,6,7,2,4,0,0,406,1,26,433,689
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,63,2,2,88,53,10,6,44,329,23,26,23,12,4,4,0,1,0,0,623,0,39,662,1321
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,64,2,2,92,25,15,16,21,269,9,104,5,10,2,4,1,6,0,0,579,0,20,599,1059
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,65,4,4,216,137,12,18,61,559,32,94,31,13,5,6,8,10,0,0,1202,0,67,1269,2305
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,67,2,2,133,49,20,8,20,192,21,20,7,4,5,1,5,3,0,0,488,0,19,507,1029
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,68,2,2,201,31,3,5,11,211,14,4,5,3,5,3,9,15,1,1,522,0,36,558,997
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,69,4,4,350,95,22,48,61,625,41,79,35,9,4,10,11,9,2,0,1401,0,58,1459,2363
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,70,5,5,269,92,98,56,99,706,32,90,24,24,4,9,44,10,2,1,1560,0,69,1629,3160
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,71,4,4,256,98,18,25,99,567,42,55,30,3,3,5,14,13,0,0,1228,0,53,1281,2315
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,72,4,4,331,81,51,78,83,735,33,70,31,17,3,4,10,19,0,0,1546,2,60,1608,2400
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,73,4,4,393,36,13,19,39,727,35,17,58,19,12,10,10,15,0,1,1404,0,56,1460,2404
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,74,3,3,137,102,4,7,27,298,15,7,7,8,8,9,4,18,1,0,652,1,17,670,1099
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,75,4,4,252,75,18,28,98,656,38,29,14,12,7,5,9,18,0,1,1260,0,60,1320,2318
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,76,3,3,236,248,9,175,101,264,33,25,0,0,0,0,19,8,0,0,1118,1,47,1166,1752
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,77,3,3,241,204,17,291,129,362,24,25,0,0,0,0,19,10,1,1,1324,0,67,1391,2015
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,78,2,2,233,209,15,145,72,266,32,17,0,0,0,0,10,14,0,2,1015,0,54,1069,1482
