CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,22,QUERETARO,3,QUERETARO,14,QUERETARO,548,C,3,0,C03,0,224,10,3,3,18,123,6,11,11,2,1,2,13,4,2,0,433,0,11,444,734,ACTA CASILLA,,,
5,22,QUERETARO,3,QUERETARO,14,QUERETARO,548,C,4,0,C04,0,207,22,3,23,27,120,9,5,6,3,1,3,14,0,0,0,443,0,11,454,734,ACTA CASILLA,,,
5,22,QUERETARO,3,QUERETARO,14,QUERETARO,548,C,5,0,C05,0,179,12,5,19,24,150,11,8,12,4,1,3,15,2,1,0,446,0,9,455,734,GRUPO DE RECUENTO,,,
5,22,QUERETARO,3,QUERETARO,14,QUERETARO,548,C,6,0,C06,0,233,24,3,23,13,124,8,13,5,1,0,0,11,3,0,0,461,0,9,470,734,ACTA CASILLA,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,549,B,1,0,B,0,100,10,1,20,13,157,6,5,17,3,0,0,0,0,4,0,336,1,9,346,707,GRUPO DE RECUENTO,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,549,C,1,0,C01,0,111,23,5,29,19,168,8,5,3,3,0,4,0,0,5,0,383,0,15,398,707,GRUPO DE RECUENTO,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,549,C,2,0,C02,0,105,15,4,26,13,149,10,5,11,5,0,0,0,0,2,0,345,0,17,362,707,GRUPO DE RECUENTO,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,549,C,3,0,C03,0,108,24,3,29,12,158,10,7,5,2,2,3,0,0,1,0,364,0,13,377,707,GRUPO DE RECUENTO,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,549,C,4,0,C04,0,92,11,7,19,12,149,5,4,15,6,2,1,0,0,4,0,327,0,13,340,707,GRUPO DE RECUENTO,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,549,C,5,0,C05,0,108,18,3,21,8,183,2,7,8,7,2,0,0,0,1,0,368,0,16,384,706,GRUPO DE RECUENTO,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,549,C,6,0,C06,0,86,19,3,29,9,194,10,7,17,3,1,3,0,0,6,0,387,0,13,400,706,GRUPO DE RECUENTO,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,549,C,7,0,C07,0,120,19,4,23,7,167,6,5,11,2,0,1,0,0,4,0,369,0,14,383,706,GRUPO DE RECUENTO,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,549,SMR,1,0,SMR01,0,22,4,1,4,6,17,3,0,0,0,0,0,0,0,1,0,58,0,3,61,0,GRUPO DE RECUENTO,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,549,SMR,2,0,SMR02,0,16,0,0,3,1,10,1,0,1,0,0,1,0,0,0,0,33,0,0,33,0,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,B,1,0,B,0,380,45,2,6,4,72,5,1,10,1,0,1,0,0,2,0,529,0,11,540,698,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,C,1,0,C01,0,378,35,10,16,3,63,5,6,6,1,0,1,0,0,7,0,531,1,11,543,698,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,C,2,0,C02,0,397,38,3,15,6,59,2,3,4,0,0,1,0,0,8,0,536,0,9,545,698,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,C,3,0,C03,0,361,37,7,12,7,61,5,5,7,0,0,2,0,0,6,0,510,1,10,521,698,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,C,4,0,C04,0,383,29,6,13,2,64,5,4,2,0,0,0,0,0,6,0,514,1,8,523,698,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,C,5,0,C05,0,359,36,3,26,12,72,7,6,5,0,1,0,0,0,8,0,535,0,14,549,698,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,C,6,0,C06,0,361,44,2,12,10,77,4,3,5,1,0,2,0,0,6,0,527,1,14,542,698,GRUPO DE RECUENTO,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,550,C,7,0,C07,0,364,37,5,8,7,59,6,2,8,1,0,0,0,0,8,0,505,1,17,523,698,GRUPO DE RECUENTO,,,
