ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,COLIMA,28,73,74,5273,3354,326,1802,851,3510,6888,531,481,269,,23285,23,873,24181,40283,
6,COLIMA,2,COLIMA,39,79,80,4362,3849,441,1064,931,4977,7701,880,810,276,,25291,31,954,26276,40698,
6,COLIMA,3,COLIMA,22,70,71,2229,2256,243,1173,942,3631,7791,336,361,182,,19144,17,813,19974,38390,
6,COLIMA,4,COMALA,21,65,65,3748,4728,323,1682,1265,1700,7482,486,874,227,1002,23517,15,818,24350,37843,
6,COLIMA,5,COQUIMATLAN,25,64,65,2878,3083,683,1031,1023,3341,6585,443,238,240,,19545,27,709,20281,35821,
6,COLIMA,6,CUAUHTEMOC,26,69,71,5247,6684,477,890,875,1529,7571,754,524,205,,24756,14,730,25500,39745,
6,COLIMA,7,VILLA DE ALVAREZ,20,66,67,4613,4667,546,1155,943,2017,7067,962,1176,299,,23445,19,796,24260,39415,
6,COLIMA,8,VILLA DE ALVAREZ,31,63,64,2836,3983,617,842,909,3074,6291,1504,377,361,,20794,22,646,21462,35806,
6,COLIMA,9,ARMERIA,33,72,74,919,1004,1849,2944,781,2019,8570,2211,241,190,,20728,7,808,21543,39704,
6,COLIMA,10,TECOMAN,21,52,52,1260,2297,347,849,560,1651,6639,878,347,145,,14973,12,647,15632,31095,
6,COLIMA,11,MANZANILLO,18,54,55,1910,1331,1506,1189,730,2856,7738,317,242,334,,18153,9,543,18705,34705,
6,COLIMA,12,MANZANILLO,9,51,52,3021,1832,429,1273,508,3694,7020,328,751,323,,19179,14,490,19683,33134,
6,COLIMA,13,MANZANILLO,27,65,66,2228,2195,153,1438,651,2587,8564,283,410,475,,18984,9,647,19640,36193,
6,COLIMA,14,MINATITLAN,20,73,73,1395,2583,257,1989,851,2161,9609,1320,223,190,,20578,16,854,21448,38570,
6,COLIMA,15,TECOMAN,19,53,53,1211,2369,636,,713,1491,7517,385,221,203,,14746,7,931,15684,30963,
6,COLIMA,16,TECOMAN,29,60,61,904,1415,322,,657,1397,6599,2198,2166,,,15658,6,926,16590,31922,
