CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,386,C,1,0,C01,0,93,80,12,8,11,33,72,13,16,3,8,11,10,1,1,1,373,0,11,384,534,ACTA CASILLA,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,387,B,1,0,B,0,138,96,8,11,7,33,97,16,24,2,5,10,4,0,2,1,454,0,14,468,627,ACTA CASILLA,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,387,C,1,0,C01,0,143,75,9,10,4,42,79,10,28,5,12,12,9,1,1,0,440,2,9,451,626,ACTA CASILLA,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,387,C,2,0,C02,0,144,75,10,17,10,39,73,14,18,3,7,11,6,0,0,0,427,1,12,440,626,ACTA CASILLA,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,387,C,3,0,C03,0,142,80,6,13,10,42,82,6,23,4,10,15,9,1,1,0,444,0,21,465,626,ACTA DEL CONSEJO,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,387,C,4,0,C04,0,123,86,5,7,11,32,102,19,21,7,8,10,5,0,1,2,439,1,11,451,626,ACTA CASILLA,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,388,B,1,0,B,0,104,86,7,9,16,32,138,18,24,7,3,13,7,1,0,1,466,0,18,484,670,ACTA CASILLA,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,388,C,1,0,C01,0,73,61,8,11,12,61,131,13,32,2,11,8,7,0,1,0,431,0,11,442,670,ACTA CASILLA,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,388,C,2,0,C02,0,71,72,7,8,16,49,131,26,32,5,4,5,5,0,4,0,435,1,21,457,670,ACTA DEL CONSEJO,,,
5,6,COLIMA,4,COMALA,5,VILLA DE ALVAREZ,389,B,1,0,B,0,85,99,8,21,10,44,111,27,17,5,10,9,8,2,1,0,457,0,15,472,667,ACTA CASILLA,,,
