CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,1,COLIMA,1,COLIMA,0,0,1,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,7,0,0,7,7
5,6,COLIMA,2,COLIMA,1,COLIMA,0,0,1,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,7,0,0,7,7
5,6,COLIMA,3,COLIMA,1,COLIMA,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,3
5,6,COLIMA,5,COQUIMATLAN,3,COQUIMATLAN,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,3
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
5,6,COLIMA,6,CUAUHTEMOC,4,CUAUHTEMOC,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,4
5,6,COLIMA,7,VILLA DE ALVAREZ,5,VILLA DE ALVAREZ,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,3,3
5,6,COLIMA,8,VILLA DE ALVAREZ,5,VILLA DE ALVAREZ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,6,COLIMA,9,ARMERIA,6,ARMERIA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,6,COLIMA,9,ARMERIA,8,MANZANILLO,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,6,COLIMA,12,MANZANILLO,8,MANZANILLO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,6,COLIMA,13,MANZANILLO,8,MANZANILLO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
5,6,COLIMA,16,TECOMAN,10,TECOMAN,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,2,2,2,253,157,14,17,13,43,90,10,9,9,0,27,2,0,0,1,645,0,17,662,933
5,6,COLIMA,2,COLIMA,1,COLIMA,3,3,3,154,126,17,29,33,138,283,36,25,12,0,20,19,0,10,5,907,3,53,963,1503
5,6,COLIMA,2,COLIMA,1,COLIMA,4,1,1,135,86,12,6,8,61,89,17,8,7,0,6,7,0,4,1,447,1,17,465,665
5,6,COLIMA,2,COLIMA,1,COLIMA,5,1,1,77,51,7,10,1,48,82,6,3,3,0,2,7,0,0,0,297,0,12,309,500
5,6,COLIMA,6,CUAUHTEMOC,1,COLIMA,6,3,3,574,314,47,17,19,127,205,24,15,16,0,43,15,0,2,0,1418,0,32,1450,2038
5,6,COLIMA,2,COLIMA,1,COLIMA,7,1,1,86,91,3,19,9,92,122,23,9,7,0,11,9,0,5,5,491,0,17,508,734
5,6,COLIMA,2,COLIMA,1,COLIMA,8,2,2,118,133,15,12,11,103,170,25,18,4,0,10,10,2,3,2,636,0,25,661,938
5,6,COLIMA,2,COLIMA,1,COLIMA,9,2,2,170,118,3,11,10,108,112,18,6,6,0,10,10,0,1,2,585,0,16,601,840
5,6,COLIMA,2,COLIMA,1,COLIMA,10,2,2,149,82,8,22,15,110,163,18,19,3,0,20,9,2,5,2,627,0,24,651,1081
5,6,COLIMA,2,COLIMA,1,COLIMA,11,1,1,136,74,8,7,6,61,56,10,7,5,0,10,6,0,1,0,387,0,11,398,543
5,6,COLIMA,1,COLIMA,1,COLIMA,12,2,2,336,121,8,34,8,127,82,14,9,4,0,24,9,0,0,0,776,1,23,800,1094
5,6,COLIMA,1,COLIMA,1,COLIMA,13,3,3,454,209,13,52,8,152,167,22,18,4,0,30,18,1,8,1,1157,3,21,1181,1613
5,6,COLIMA,2,COLIMA,1,COLIMA,14,2,2,71,82,8,20,18,115,189,27,18,7,0,2,10,3,6,1,577,0,22,599,913
5,6,COLIMA,2,COLIMA,1,COLIMA,15,1,1,48,56,5,4,7,69,75,11,7,3,0,5,6,0,1,3,300,0,12,312,466
5,6,COLIMA,2,COLIMA,1,COLIMA,16,1,1,73,83,9,9,4,60,85,14,11,2,0,5,6,0,0,0,361,0,13,374,560
5,6,COLIMA,2,COLIMA,1,COLIMA,17,1,1,69,58,11,4,9,65,99,21,8,4,0,8,12,0,1,2,371,0,11,382,589
5,6,COLIMA,2,COLIMA,1,COLIMA,18,2,2,92,106,8,19,13,111,137,15,11,10,0,9,11,1,1,2,546,2,15,563,816
5,6,COLIMA,2,COLIMA,1,COLIMA,19,2,2,173,131,21,18,5,126,134,22,11,3,0,19,10,1,0,3,677,0,24,701,935
5,6,COLIMA,1,COLIMA,1,COLIMA,20,2,2,238,142,7,23,9,68,102,8,5,5,0,20,6,0,1,0,634,1,19,654,835
5,6,COLIMA,1,COLIMA,1,COLIMA,21,2,2,282,127,6,34,7,106,106,14,13,9,0,14,11,1,7,1,738,0,20,758,1050
5,6,COLIMA,1,COLIMA,1,COLIMA,22,2,2,100,64,4,18,14,64,123,14,20,2,0,7,21,3,5,0,459,2,16,477,815
5,6,COLIMA,3,COLIMA,1,COLIMA,23,5,5,269,193,30,73,47,284,610,25,47,19,0,18,23,3,17,2,1660,1,83,1744,2929
5,6,COLIMA,3,COLIMA,1,COLIMA,24,7,7,319,296,48,114,102,397,981,36,61,26,0,36,81,5,22,14,2538,2,97,2637,5130
5,6,COLIMA,2,COLIMA,1,COLIMA,25,2,2,60,70,10,24,20,118,197,16,48,5,0,8,19,0,4,2,601,1,18,620,1093
5,6,COLIMA,2,COLIMA,1,COLIMA,26,2,2,74,91,5,23,7,90,130,25,18,5,0,7,11,2,1,4,493,3,19,515,800
5,6,COLIMA,2,COLIMA,1,COLIMA,27,1,1,74,58,25,8,18,94,131,20,20,1,0,5,1,0,3,4,462,1,15,478,706
5,6,COLIMA,2,COLIMA,1,COLIMA,28,2,2,91,85,14,17,20,128,187,21,13,9,0,7,5,0,1,2,600,0,24,624,436
5,6,COLIMA,2,COLIMA,1,COLIMA,29,1,1,114,84,9,11,0,67,90,23,7,3,0,4,4,0,0,0,416,2,20,438,650
5,6,COLIMA,2,COLIMA,1,COLIMA,30,1,1,51,48,10,10,5,37,45,13,12,3,0,7,4,0,1,0,246,0,11,257,428
5,6,COLIMA,2,COLIMA,1,COLIMA,31,2,2,120,79,20,19,17,91,146,24,20,2,0,7,11,1,4,0,561,1,24,586,901
5,6,COLIMA,1,COLIMA,1,COLIMA,32,2,2,131,86,6,45,19,69,172,18,19,9,0,9,23,1,4,0,611,0,27,638,1069
5,6,COLIMA,1,COLIMA,1,COLIMA,33,2,2,185,156,18,89,17,108,203,25,19,6,0,22,13,2,5,2,870,0,22,892,1263
5,6,COLIMA,1,COLIMA,1,COLIMA,34,2,2,123,133,21,44,18,101,199,25,18,7,0,15,17,0,1,1,723,0,24,747,1054
5,6,COLIMA,1,COLIMA,1,COLIMA,35,2,2,124,84,16,61,29,102,204,19,35,7,0,4,16,3,5,2,711,0,20,731,1238
5,6,COLIMA,1,COLIMA,1,COLIMA,36,2,2,115,77,4,48,22,74,278,8,29,2,0,11,17,1,5,4,695,1,32,728,1405
5,6,COLIMA,3,COLIMA,1,COLIMA,37,4,4,162,132,22,62,42,189,462,34,20,12,0,20,44,4,17,4,1226,3,48,1277,2365
5,6,COLIMA,2,COLIMA,1,COLIMA,38,2,2,82,68,8,11,14,85,162,16,14,7,0,10,10,0,5,1,493,0,17,510,833
5,6,COLIMA,2,COLIMA,1,COLIMA,39,1,1,66,43,1,10,9,54,83,17,11,1,0,2,3,1,2,1,304,0,8,312,504
5,6,COLIMA,2,COLIMA,1,COLIMA,40,2,2,84,63,5,15,17,110,173,18,9,6,0,3,8,2,1,1,515,0,24,539,507
5,6,COLIMA,2,COLIMA,1,COLIMA,41,1,1,62,39,8,12,0,48,55,9,3,2,0,5,4,0,0,0,247,1,7,255,387
5,6,COLIMA,1,COLIMA,1,COLIMA,42,1,1,58,48,3,15,13,47,90,6,7,8,0,10,4,0,1,1,311,2,10,323,544
5,6,COLIMA,1,COLIMA,1,COLIMA,43,2,2,100,74,14,41,13,81,142,16,10,2,0,10,19,2,2,1,527,0,21,548,948
5,6,COLIMA,1,COLIMA,1,COLIMA,44,1,1,49,35,4,19,5,27,64,4,4,1,0,5,8,0,1,2,228,0,4,232,402
5,6,COLIMA,1,COLIMA,1,COLIMA,45,2,2,184,121,12,56,30,137,254,23,13,11,0,16,24,5,8,1,895,1,43,939,1472
5,6,COLIMA,1,COLIMA,1,COLIMA,46,2,2,90,77,8,47,18,76,166,7,9,10,0,11,14,1,4,0,538,0,16,554,838
5,6,COLIMA,2,COLIMA,1,COLIMA,47,2,2,125,126,15,21,15,160,215,32,23,6,0,11,16,1,6,1,773,0,28,801,1166
5,6,COLIMA,2,COLIMA,1,COLIMA,48,2,2,144,124,9,18,14,141,142,27,19,6,0,11,14,2,5,2,678,1,27,706,1073
5,6,COLIMA,2,COLIMA,1,COLIMA,49,1,1,47,44,5,5,5,31,40,4,7,5,0,6,3,0,0,0,202,0,7,209,315
5,6,COLIMA,1,COLIMA,1,COLIMA,50,2,2,111,76,1,24,15,76,92,15,6,9,0,7,13,0,3,4,452,0,17,469,791
5,6,COLIMA,1,COLIMA,1,COLIMA,51,2,2,95,67,5,31,18,48,102,11,8,10,0,11,14,4,0,1,425,0,17,442,752
5,6,COLIMA,1,COLIMA,1,COLIMA,52,3,3,159,122,11,85,29,132,305,25,21,13,0,22,32,5,9,3,973,1,35,1009,1545
5,6,COLIMA,1,COLIMA,1,COLIMA,53,2,2,145,104,12,53,10,108,227,15,14,14,0,9,20,2,10,7,750,1,32,783,1311
5,6,COLIMA,2,COLIMA,1,COLIMA,54,5,5,282,265,34,74,65,448,563,82,67,23,0,33,27,4,6,3,1976,2,79,2057,2565
5,6,COLIMA,2,COLIMA,1,COLIMA,55,2,2,50,76,8,21,23,116,161,17,15,9,0,12,10,3,6,3,530,1,29,560,1004
5,6,COLIMA,2,COLIMA,1,COLIMA,56,1,1,64,55,2,11,5,56,70,14,7,5,0,6,5,0,0,0,300,1,7,308,435
5,6,COLIMA,1,COLIMA,1,COLIMA,57,1,1,111,45,6,18,8,60,90,13,8,9,0,11,8,0,2,2,391,1,18,410,708
5,6,COLIMA,1,COLIMA,1,COLIMA,58,2,2,137,92,4,30,9,81,181,13,13,6,0,13,13,2,1,2,597,0,33,630,1012
5,6,COLIMA,1,COLIMA,1,COLIMA,59,2,2,69,37,6,48,28,78,195,15,10,14,0,8,32,4,4,0,548,0,21,569,1090
5,6,COLIMA,1,COLIMA,1,COLIMA,60,14,14,630,402,76,305,118,824,1607,84,77,55,0,60,133,18,28,25,4442,5,196,4643,8596
5,6,COLIMA,3,COLIMA,1,COLIMA,61,3,3,108,102,13,36,40,172,374,12,26,8,0,11,38,2,9,1,952,1,36,989,2031
5,6,COLIMA,2,COLIMA,1,COLIMA,63,2,2,73,47,18,21,10,146,253,14,29,13,0,4,19,3,1,2,653,0,31,684,1137
5,6,COLIMA,2,COLIMA,1,COLIMA,64,2,2,86,59,15,21,19,158,247,15,28,6,0,12,21,1,3,4,695,0,26,721,1126
5,6,COLIMA,2,COLIMA,1,COLIMA,65,4,4,173,156,14,24,34,273,402,21,53,21,0,20,28,1,3,4,1227,3,36,1266,2258
5,6,COLIMA,2,COLIMA,1,COLIMA,66,2,2,62,125,8,19,23,99,198,25,22,4,0,9,17,1,2,5,619,0,16,635,1049
5,6,COLIMA,2,COLIMA,1,COLIMA,67,2,2,86,95,12,14,10,91,135,29,24,3,0,11,20,0,1,2,533,0,27,560,903
5,6,COLIMA,1,COLIMA,1,COLIMA,68,3,3,232,156,19,75,24,137,275,30,22,6,0,14,29,5,9,0,1033,2,39,1074,1775
5,6,COLIMA,1,COLIMA,1,COLIMA,69,7,7,392,223,20,147,59,385,735,54,53,34,0,37,57,6,20,7,2229,2,102,2333,4326
5,6,COLIMA,1,COLIMA,1,COLIMA,70,2,2,264,151,13,21,9,86,108,10,10,5,0,13,2,0,1,0,693,0,19,712,1080
5,6,COLIMA,1,COLIMA,1,COLIMA,71,2,2,70,73,2,18,17,78,159,10,6,3,0,4,8,1,2,3,454,0,14,468,885
5,6,COLIMA,1,COLIMA,1,COLIMA,72,2,2,77,38,7,12,10,77,149,13,5,4,0,7,9,4,6,0,418,0,12,430,765
5,6,COLIMA,2,COLIMA,1,COLIMA,73,8,8,298,238,35,78,99,653,905,64,98,36,0,30,48,7,13,9,2611,5,97,2713,5031
5,6,COLIMA,2,COLIMA,1,COLIMA,74,3,3,108,80,7,58,28,230,317,27,66,7,0,13,24,2,4,4,975,0,38,1013,1858
5,6,COLIMA,3,COLIMA,1,COLIMA,75,3,3,93,73,6,31,24,210,350,15,19,19,0,13,26,2,6,7,894,1,28,923,1673
5,6,COLIMA,3,COLIMA,1,COLIMA,76,4,4,157,100,9,56,37,281,530,23,37,14,0,9,31,2,7,3,1296,4,53,1353,2864
