CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,PAN,PRI,PRD,PT,PVEM,MC,PRS,MORENA,PHBCS,NABCS,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,3,C,1,0,C01,0,70,128,0,0,0,0,0,89,0,0,0,0,11,10,0,308,0,6,314,591,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,3,C,2,0,C02,0,76,133,0,0,0,0,0,103,0,0,0,0,7,12,0,331,1,5,337,591,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,4,B,1,0,B,0,143,172,0,0,0,0,0,81,0,0,0,0,8,9,0,413,3,11,427,672,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,5,B,1,0,B,0,44,118,0,0,0,0,0,75,0,0,0,0,8,9,0,254,0,6,260,468,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,5,C,1,0,C01,0,46,121,0,0,0,0,0,79,0,0,0,0,6,3,0,255,0,10,265,467,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,6,B,1,0,B,0,38,75,0,0,0,0,0,51,0,0,0,0,10,11,0,185,0,5,190,390,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,6,C,1,0,C01,0,30,82,0,0,0,0,0,44,0,0,0,0,6,6,0,168,0,5,173,389,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,7,B,1,0,B,0,84,133,0,0,0,0,0,125,0,0,0,0,12,11,0,365,0,9,374,655,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,7,C,1,0,C01,0,93,126,0,0,0,0,0,103,0,0,0,0,5,9,0,336,1,3,340,655,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,8,B,1,0,B,0,44,109,0,0,0,0,0,67,0,0,0,0,8,15,0,243,0,13,256,456,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,8,SMR,1,0,SMR01,0,4,39,0,0,0,0,0,7,0,0,0,0,0,3,0,53,0,4,57,0,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,8,SRP,1,0,SRP01,0,0,0,109,15,3,24,19,58,0,182,1,2,2,12,1,428,0,45,473,0,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,9,B,1,0,B,0,62,82,0,0,0,0,0,44,0,0,0,0,9,10,0,207,0,6,213,403,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,10,B,1,0,B,0,63,76,0,0,0,0,0,48,0,0,0,0,6,5,0,198,0,10,208,393,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,10,C,1,0,C01,0,50,90,0,0,0,0,0,58,0,0,0,0,12,5,0,215,0,5,220,392,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,11,B,1,0,B,0,49,101,0,0,0,0,0,52,0,0,0,0,5,11,0,218,0,7,225,424,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,12,B,1,0,B,0,60,67,0,0,0,0,0,38,0,0,0,0,4,10,0,179,0,4,183,331,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,13,B,1,0,B,0,75,170,0,0,0,0,0,49,0,0,0,0,8,21,0,323,0,7,330,585,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,13,C,1,0,C01,0,61,121,0,0,0,0,0,66,0,0,0,0,7,19,0,274,0,9,283,585,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,14,B,1,0,B,0,73,148,0,0,0,0,0,63,0,0,0,0,14,21,0,319,1,11,331,742,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,14,C,1,0,C01,0,73,151,0,0,0,0,0,65,0,0,0,0,7,18,0,314,2,16,332,742,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,15,B,1,0,B,0,64,164,0,0,0,0,0,74,0,0,0,0,14,12,0,328,1,10,339,586,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,16,B,1,0,B,0,41,124,0,0,0,0,0,102,0,0,0,0,6,16,0,289,0,9,298,503,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,16,C,1,0,C01,0,41,131,0,0,0,0,0,81,0,0,0,0,9,7,0,269,0,5,274,502,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,17,B,1,0,B,0,43,141,0,0,0,0,0,85,0,0,0,0,9,13,0,291,1,6,298,467,Grupo de recuento,,,
