CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,PVEM_MORENA_FXM_BC,PVEM_MORENA,PVEM_FXM_BC,MORENA_FXM_BC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,5,5
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,5,PLAYAS DE ROSARITO,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,4,4
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,0,0,2,2,0,0,1,1,0,2,0,1,0,0,0,0,0,7,0,1,8,8
1,2,BAJA CALIFORNIA,17,ENSENADA,1,ENSENADA,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,3
1,2,BAJA CALIFORNIA,17,ENSENADA,6,SAN QUINTIN,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,4
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,1,5,5,0,91,21,22,41,140,298,179,99,0,0,0,0,0,891,2,38,931,2400
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,2,3,3,0,40,4,6,9,46,97,41,23,0,0,0,0,0,266,1,16,283,1572
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,3,3,3,0,31,8,24,187,48,383,79,37,0,0,0,0,0,797,7,52,856,1979
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,4,3,3,0,20,13,23,166,48,418,66,35,0,0,0,0,0,789,2,51,842,1937
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,5,1,1,0,14,5,3,19,22,94,27,31,0,0,0,0,0,215,1,22,238,528
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,6,3,3,0,19,18,18,152,42,332,71,37,0,0,0,0,0,689,2,50,741,1665
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,7,1,1,0,5,2,16,82,15,241,19,14,0,0,0,0,0,394,2,26,422,704
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,8,3,3,0,16,9,32,66,46,281,95,100,0,0,0,0,0,645,13,36,694,1591
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,9,2,2,0,22,5,9,147,26,179,53,25,0,0,0,0,0,466,2,34,502,1171
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,10,2,2,0,26,6,14,32,48,216,67,43,0,0,0,0,0,452,0,27,479,1074
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,11,4,4,0,66,30,57,68,104,474,214,96,0,0,0,0,0,1109,6,66,1181,2696
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,12,8,8,380,83,39,95,139,179,967,372,143,0,0,0,0,0,2397,22,119,2538,5357
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,15,3,3,90,40,17,33,76,59,409,132,36,0,0,0,0,0,892,2,60,954,1884
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,16,3,3,95,29,17,24,53,58,360,100,54,0,0,0,0,0,790,9,60,859,1780
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,17,4,4,186,40,22,53,98,70,547,163,65,0,0,0,0,0,1244,7,92,1343,2673
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,18,3,3,325,57,15,30,44,77,355,146,96,0,0,0,0,0,1145,5,63,1213,2057
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,19,2,2,0,35,9,24,46,36,239,99,50,0,0,0,0,0,538,3,46,587,1359
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,20,3,3,0,47,19,30,30,89,231,122,70,0,0,0,0,0,638,0,38,676,1517
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,21,2,2,0,16,6,15,17,21,149,57,36,0,0,0,0,0,317,1,21,339,840
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,22,2,2,0,35,5,12,25,53,196,70,31,0,0,0,0,0,427,2,29,458,1031
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,23,2,2,0,36,13,14,18,46,135,56,57,0,0,0,0,0,375,5,22,402,1287
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,24,2,2,0,43,13,21,31,46,226,70,36,0,0,0,0,0,486,1,34,521,1250
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,25,2,2,0,30,9,10,26,44,150,62,39,0,0,0,0,0,370,6,33,409,980
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,26,2,2,0,24,9,6,15,37,157,50,39,0,0,0,0,0,337,5,20,362,863
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,27,2,2,0,41,12,13,39,39,191,96,44,0,0,0,0,0,475,1,119,595,1064
