ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_PT_MORENA,PAN_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,697,699,,,25876,,,144100,102046,272022,322,5231,277575,384044,
9,CIUDAD DE MEXICO,3,COYOACAN,403,974,977,,,29584,,,176888,201458,407930,589,8526,417045,572022,
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,79,293,293,,,11914,,,57936,64115,133965,249,3012,137226,188127,
9,CIUDAD DE MEXICO,5,GUSTAVO A. MADERO,866,1856,1864,,,67163,,,406435,239699,713297,985,19460,733742,1056400,
9,CIUDAD DE MEXICO,6,IZTACALCO,299,638,640,,,16225,,10414,125584,95843,248066,597,5152,253815,364050,
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1011,2568,2583,,,65868,,,648857,269006,983731,972,26313,1011016,1526203,
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,149,359,360,,,10016,,,69080,64989,144085,183,3460,147728,212554,
9,CIUDAD DE MEXICO,9,MILPA ALTA,45,183,184,,,10072,,,36676,29166,75914,72,3049,79035,119675,
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1056,1063,,,25505,,,208311,194608,428424,500,9233,438157,621043,
9,CIUDAD DE MEXICO,11,TLAHUAC,152,504,506,11817,8218,16862,96318,,,60885,194100,259,11113,205472,318695,
9,CIUDAD DE MEXICO,12,TLALPAN,359,960,966,,,24278,,,214516,157663,396457,385,9056,405898,578802,
9,CIUDAD DE MEXICO,13,XOCHIMILCO,177,581,585,,,18073,,,120587,97255,235915,276,6380,242571,368019,
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,644,646,,,13954,,,72646,203703,290303,387,3986,294676,384081,
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,858,861,,,26880,,,145293,156254,328427,698,8712,337837,493555,
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,257,560,562,,,12663,,,93392,130371,236426,277,3767,240470,329179,
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,700,702,,,21688,,,152767,101058,275513,277,6514,282304,404600,
